Name,Number,Rarity
Alakazam,1/130,Rare Holo
Blastoise,2/130,Rare Holo
Chansey,3/130,Rare Holo
Charizard,4/130,Rare Holo
Clefable,5/130,Rare Holo
Clefairy,6/130,Rare Holo
Gyarados,7/130,Rare Holo
Hitmonchan,8/130,Rare Holo
Magneton,9/130,Rare Holo
Mewtwo,10/130,Rare Holo
Nidoking,11/130,Rare Holo
Nidoqueen,12/130,Rare Holo
Ninetales,13/130,Rare Holo
Pidgeot,14/130,Rare Holo
Poliwrath,15/130,Rare Holo
Raichu,16/130,Rare Holo
Scyther,17/130,Rare Holo
Venusaur,18/130,Rare Holo
Wigglytuff,19/130,Rare Holo
Zapdos,20/130,Rare Holo
Beedrill,21/130,Rare
Dragonair,22/130,Rare
Dugtrio,23/130,Rare
Electabuzz,24/130,Rare
Electrode,25/130,Rare
Kangaskhan,26/130,Rare
Mr. Mime,27/130,Rare
Pidgeotto,28/130,Rare
Pinsir,29/130,Rare
Snorlax,30/130,Rare
Venomoth,31/130,Rare
Victreebel,32/130,Rare
Arcanine,33/130,Uncommon
Butterfree,34/130,Uncommon
Charmeleon,35/130,Uncommon
Dewgong,36/130,Uncommon
Dodrio,37/130,Uncommon
Dratini,38/130,Uncommon
Exeggutor,39/130,Uncommon
Farfetch'd,40/130,Uncommon
Fearow,41/130,Uncommon
Growlithe,42/130,Uncommon
Haunter,43/130,Uncommon
Ivysaur,44/130,Uncommon
Jynx,45/130,Uncommon
Kadabra,46/130,Uncommon
Kakuna,47/130,Uncommon
Lickitung,48/130,Uncommon
Machoke,49/130,Uncommon
Magikarp,50/130,Uncommon
Magmar,51/130,Uncommon
Marowak,52/130,Uncommon
Nidorina,53/130,Uncommon
Nidorino,54/130,Uncommon
Parasect,55/130,Uncommon
Persian,56/130,Uncommon
Poliwhirl,57/130,Uncommon
Raticate,58/130,Uncommon
Rhydon,59/130,Uncommon
Seaking,60/130,Uncommon
Seel,61/130,Uncommon
Tauros,62/130,Uncommon
Wartortle,63/130,Uncommon
Weepinbell,64/130,Uncommon
Abra,65/130,Common
Bellsprout,66/130,Common
Bulbasaur,67/130,Common
Caterpie,68/130,Common
Charmander,69/130,Common
Cubone,70/130,Common
Diglett,71/130,Common
Doduo,72/130,Common
Drowzee,73/130,Common
Exeggcute,74/130,Common
Gastly,75/130,Common
Goldeen,76/130,Common
Jigglypuff,77/130,Common
Machop,78/130,Common
Magnemite,79/130,Common
Meowth,80/130,Common
Metapod,81/130,Common
Nidoran ♀,82/130,Common
Nidoran ♂,83/130,Common
Onix,84/130,Common
Paras,85/130,Common
Pidgey,86/130,Common
Pikachu,87/130,Common
Poliwag,88/130,Common
Rattata,89/130,Common
Rhyhorn,90/130,Common
Sandshrew,91/130,Common
Spearow,92/130,Common
Squirtle,93/130,Common
Starmie,94/130,Common
Staryu,95/130,Common
Tangela,96/130,Common
Venonat,97/130,Common
Voltorb,98/130,Common
Vulpix,99/130,Common
Weedle,100/130,Common
Computer Search,101/130,Rare
Imposter Professor Oak,102/130,Rare
Item Finder,103/130,Rare
Lass,104/130,Rare
Pokémon Breeder,105/130,Rare
Pokémon Trader,106/130,Rare
Scoop Up,107/130,Rare
Super Energy Removal,108/130,Rare
Defender,109/130,Uncommon
Energy Retrieval,110/130,Uncommon
Full Heal,111/130,Uncommon
Maintenance,112/130,Uncommon
PlusPower,113/130,Uncommon
Pokémon Center,114/130,Uncommon
Pokédex,115/130,Uncommon
Professor Oak,116/130,Uncommon
Super Potion,117/130,Uncommon
Bill,118/130,Common
Energy Removal,119/130,Common
Gust of Wind,120/130,Common
Poké Ball,121/130,Common
Potion,122/130,Common
Switch,123/130,Common
Double Colorless Energy,124/130,Uncommon
Fighting Energy,125/130,
Fire Energy,126/130,
Grass Energy,127/130,
Lightning Energy,128/130,
Psychic Energy,129/130,
Water Energy,130/130,
