Name,Number,Rarity
Alakazam,1/102,Rare Holo
Blastoise,2/102,Rare Holo
Chansey,3/102,Rare Holo
Charizard,4/102,Rare Holo
Clefairy,5/102,Rare Holo
Gyarados,6/102,Rare Holo
Hitmonchan,7/102,Rare Holo
Machamp,8/102,Rare Holo
Magneton,9/102,Rare Holo
Mewtwo,10/102,Rare Holo
Nidoking,11/102,Rare Holo
Ninetales,12/102,Rare Holo
Poliwrath,13/102,Rare Holo
Raichu,14/102,Rare Holo
Venusaur,15/102,Rare Holo
Zapdos,16/102,Rare Holo
Beedrill,17/102,Rare
Dragonair,18/102,Rare
Dugtrio,19/102,Rare
Electabuzz,20/102,Rare
Electrode,21/102,Rare
Pidgeotto,22/102,Rare
Arcanine,23/102,Uncommon
Charmeleon,24/102,Uncommon
Dewgong,25/102,Uncommon
Dratini,26/102,Uncommon
Farfetch'd,27/102,Uncommon
Growlithe,28/102,Uncommon
Haunter,29/102,Uncommon
Ivysaur,30/102,Uncommon
Jynx,31/102,Uncommon
Kadabra,32/102,Uncommon
Kakuna,33/102,Uncommon
Machoke,34/102,Uncommon
Magikarp,35/102,Uncommon
Magmar,36/102,Uncommon
Nidorino,37/102,Uncommon
Poliwhirl,38/102,Uncommon
Porygon,39/102,Uncommon
Raticate,40/102,Uncommon
Seel,41/102,Uncommon
Wartortle,42/102,Uncommon
Abra,43/102,Common
Bulbasaur,44/102,Common
Caterpie,45/102,Common
Charmander,46/102,Common
Diglett,47/102,Common
Doduo,48/102,Common
Drowzee,49/102,Common
Gastly,50/102,Common
Koffing,51/102,Common
Machop,52/102,Common
Magnemite,53/102,Common
Metapod,54/102,Common
Nidoran ♂,55/102,Common
Onix,56/102,Common
Pidgey,57/102,Common
Pikachu,58/102,Common
Poliwag,59/102,Common
Ponyta,60/102,Common
Rattata,61/102,Common
Sandshrew,62/102,Common
Squirtle,63/102,Common
Starmie,64/102,Common
Staryu,65/102,Common
Tangela,66/102,Common
Voltorb,67/102,Common
Vulpix,68/102,Common
Weedle,69/102,Common
Clefairy Doll,70/102,Rare
Computer Search,71/102,Rare
Devolution Spray,72/102,Rare
Impostor Professor Oak,73/102,Rare
Item Finder,74/102,Rare
Lass,75/102,Rare
Pokémon Breeder,76/102,Rare
Pokémon Trader,77/102,Rare
Scoop Up,78/102,Rare
Super Energy Removal,79/102,Rare
Defender,80/102,Uncommon
Energy Retrieval,81/102,Uncommon
Full Heal,82/102,Uncommon
Maintenance,83/102,Uncommon
PlusPower,84/102,Uncommon
Pokémon Center,85/102,Uncommon
Pokémon Flute,86/102,Uncommon
Pokédex,87/102,Uncommon
Professor Oak,88/102,Uncommon
Revive,89/102,Uncommon
Super Potion,90/102,Uncommon
Bill,91/102,Common
Energy Removal,92/102,Common
Gust of Wind,93/102,Common
Potion,94/102,Common
Switch,95/102,Common
Double Colorless Energy,96/102,Uncommon
Fighting Energy,97/102,
Fire Energy,98/102,
Grass Energy,99/102,
Lightning Energy,100/102,
Psychic Energy,101/102,
Water Energy,102/102,
