Name,Number,Rarity
Aerodactyl,1/62,Rare Holo
Articuno,2/62,Rare Holo
Ditto,3/62,Rare Holo
Dragonite,4/62,Rare Holo
Gengar,5/62,Rare Holo
Haunter,6/62,Rare Holo
Hitmonlee,7/62,Rare Holo
Hypno,8/62,Rare Holo
Kabutops,9/62,Rare Holo
Lapras,10/62,Rare Holo
Magneton,11/62,Rare Holo
Moltres,12/62,Rare Holo
Muk,13/62,Rare Holo
Raichu,14/62,Rare Holo
Zapdos,15/62,Rare Holo
Aerodactyl,16/62,Rare
Articuno,17/62,Rare
Ditto,18/62,Rare
Dragonite,19/62,Rare
Gengar,20/62,Rare
Haunter,21/62,Rare
Hitmonlee,22/62,Rare
Hypno,23/62,Rare
Kabutops,24/62,Rare
Lapras,25/62,Rare
Magneton,26/62,Rare
Moltres,27/62,Rare
Muk,28/62,Rare
Raichu,29/62,Rare
Zapdos,30/62,Rare
Arbok,31/62,Uncommon
Cloyster,32/62,Uncommon
Gastly,33/62,Uncommon
Golbat,34/62,Uncommon
Golduck,35/62,Uncommon
Golem,36/62,Uncommon
Graveler,37/62,Uncommon
Kingler,38/62,Uncommon
Magmar,39/62,Uncommon
Omastar,40/62,Uncommon
Sandslash,41/62,Uncommon
Seadra,42/62,Uncommon
Slowbro,43/62,Uncommon
Tentacruel,44/62,Uncommon
Weezing,45/62,Uncommon
Ekans,46/62,Common
Geodude,47/62,Common
Grimer,48/62,Common
Horsea,49/62,Common
Kabuto,50/62,Common
Krabby,51/62,Common
Omanyte,52/62,Common
Psyduck,53/62,Common
Shellder,54/62,Common
Slowpoke,55/62,Common
Tentacool,56/62,Common
Zubat,57/62,Common
Mr. Fuji,58/62,Uncommon
Energy Search,59/62,Common
Gambler,60/62,Common
Recycle,61/62,Common
Mysterious Fossil,62/62,Common
