Name,Number,Rarity
Clefable,1/64,Rare Holo
Electrode,2/64,Rare Holo
Flareon,3/64,Rare Holo
Jolteon,4/64,Rare Holo
Kangaskhan,5/64,Rare Holo
Mr. Mime,6/64,Rare Holo
Nidoqueen,7/64,Rare Holo
Pidgeot,8/64,Rare Holo
Pinsir,9/64,Rare Holo
Scyther,10/64,Rare Holo
Snorlax,11/64,Rare Holo
Vaporeon,12/64,Rare Holo
Venomoth,13/64,Rare Holo
Victreebel,14/64,Rare Holo
Vileplume,15/64,Rare Holo
Wigglytuff,16/64,Rare Holo
Clefable,17/64,Rare
Electrode,18/64,Rare
Flareon,19/64,Rare
Jolteon,20/64,Rare
Kangaskhan,21/64,Rare
Mr. Mime,22/64,Rare
Nidoqueen,23/64,Rare
Pidgeot,24/64,Rare
Pinsir,25/64,Rare
Scyther,26/64,Rare
Snorlax,27/64,Rare
Vaporeon,28/64,Rare
Venomoth,29/64,Rare
Victreebel,30/64,Rare
Vileplume,31/64,Rare
Wigglytuff,32/64,Rare
Butterfree,33/64,Uncommon
Dodrio,34/64,Uncommon
Exeggutor,35/64,Uncommon
Fearow,36/64,Uncommon
Gloom,37/64,Uncommon
Lickitung,38/64,Uncommon
Marowak,39/64,Uncommon
Nidorina,40/64,Uncommon
Parasect,41/64,Uncommon
Persian,42/64,Uncommon
Primeape,43/64,Uncommon
Rapidash,44/64,Uncommon
Rhydon,45/64,Uncommon
Seaking,46/64,Uncommon
Tauros,47/64,Uncommon
Weepinbell,48/64,Uncommon
Bellsprout,49/64,Common
Cubone,50/64,Common
Eevee,51/64,Common
Exeggcute,52/64,Common
Goldeen,53/64,Common
Jigglypuff,54/64,Common
Mankey,55/64,Common
Meowth,56/64,Common
Nidoran ♀,57/64,Common
Oddish,58/64,Common
Paras,59/64,Common
Pikachu,60/64,Common
Rhyhorn,61/64,Common
Spearow,62/64,Common
Venonat,63/64,Common
Poké Ball,64/64,Common
