Name,Number,Rarity
Dark Alakazam,1/82,Rare Holo
Dark Arbok,2/82,Rare Holo
Dark Blastoise,3/82,Rare Holo
Dark Charizard,4/82,Rare Holo
Dark Dragonite,5/82,Rare Holo
Dark Dugtrio,6/82,Rare Holo
Dark Golbat,7/82,Rare Holo
Dark Gyarados,8/82,Rare Holo
Dark Hypno,9/82,Rare Holo
Dark Machamp,10/82,Rare Holo
Dark Magneton,11/82,Rare Holo
Dark Slowbro,12/82,Rare Holo
Dark Vileplume,13/82,Rare Holo
Dark Weezing,14/82,Rare Holo
Here Comes Team Rocket!,15/82,Rare Holo
Rocket's Sneak Attack,16/82,Rare Holo
Rainbow Energy,17/82,Rare Holo
Dark Alakazam,18/82,Rare
Dark Arbok,19/82,Rare
Dark Blastoise,20/82,Rare
Dark Charizard,21/82,Rare
Dark Dragonite,22/82,Rare
Dark Dugtrio,23/82,Rare
Dark Golbat,24/82,Rare
Dark Gyarados,25/82,Rare
Dark Hypno,26/82,Rare
Dark Machamp,27/82,Rare
Dark Magneton,28/82,Rare
Dark Slowbro,29/82,Rare
Dark Vileplume,30/82,Rare
Dark Weezing,31/82,Rare
Dark Charmeleon,32/82,Uncommon
Dark Dragonair,33/82,Uncommon
Dark Electrode,34/82,Uncommon
Dark Flareon,35/82,Uncommon
Dark Gloom,36/82,Uncommon
Dark Golduck,37/82,Uncommon
Dark Jolteon,38/82,Uncommon
Dark Kadabra,39/82,Uncommon
Dark Machoke,40/82,Uncommon
Dark Muk,41/82,Uncommon
Dark Persian,42/82,Uncommon
Dark Primeape,43/82,Uncommon
Dark Rapidash,44/82,Uncommon
Dark Vaporeon,45/82,Uncommon
Dark Wartortle,46/82,Uncommon
Magikarp,47/82,Uncommon
Porygon,48/82,Uncommon
Abra,49/82,Common
Charmander,50/82,Common
Dark Raticate,51/82,Common
Diglett,52/82,Common
Dratini,53/82,Common
Drowzee,54/82,Common
Eevee,55/82,Common
Ekans,56/82,Common
Grimer,57/82,Common
Koffing,58/82,Common
Machop,59/82,Common
Magnemite,60/82,Common
Mankey,61/82,Common
Meowth,62/82,Common
Oddish,63/82,Common
Ponyta,64/82,Common
Psyduck,65/82,Common
Rattata,66/82,Common
Slowpoke,67/82,Common
Squirtle,68/82,Common
Voltorb,69/82,Common
Zubat,70/82,Common
Here Comes Team Rocket!,71/82,Rare
Rocket's Sneak Attack,72/82,Rare
The Boss's Way,73/82,Uncommon
Challenge!,74/82,Uncommon
Digger,75/82,Uncommon
Imposter Oak's Revenge,76/82,Uncommon
Nightly Garbage Run,77/82,Uncommon
Goop Gas Attack,78/82,Common
Sleep!,79/82,Common
Rainbow Energy,80/82,Rare
Full Heal Energy,81/82,Uncommon
Potion Energy,82/82,Uncommon
Dark Raichu,83/82,Rare Secret
