Name,Number,Rarity
Pikachu,1/53,Promo
Electabuzz,2/53,Promo
Mewtwo,3/53,Promo
Pikachu,4/53,Promo
Dragonite,5/53,Promo
Arcanine,6/53,Promo
Jigglypuff,7/53,Promo
Mew,8/53,Promo
Mew,9/53,Promo
Meowth,10/53,Promo
Eevee,11/53,Promo
Mewtwo,12/53,Promo
Venusaur,13/53,Promo
Mewtwo,14/53,Promo
Cool Porygon,15/53,Promo
Computer Error,16/53,Promo
Dark Persian,17/53,Promo
Team Rocket's Meowth,18/53,Promo
Sabrina's Abra,19/53,Promo
Psyduck,20/53,Promo
Moltres,21/53,Promo
Articuno,22/53,Promo
Zapdos,23/53,Promo
_____'s Pikachu,24/53,Promo
Flying Pikachu,25/53,Promo
Pikachu,26/53,Promo
Pikachu,27/53,Promo
Surfing Pikachu,28/53,Promo
Marill,29/53,Promo
Togepi,30/53,Promo
Cleffa,31/53,Promo
Smeargle,32/53,Promo
Scizor,33/53,Promo
Entei,34/53,Promo
Pichu,35/53,Promo
Igglybuff,36/53,Promo
Hitmontop,37/53,Promo
Unown [J],38/53,Promo
Misdreavus,39/53,Promo
Pokémon Center,40/53,Promo
Lucky Stadium,41/53,Promo
Pokémon Tower,42/53,Promo
Machamp,43/53,Promo
Magmar,44/53,Promo
Scyther,45/53,Promo
Electabuzz,46/53,Promo
Mew,47/53,Promo
Articuno,48/53,Promo
Snorlax,49/53,Promo
Celebi,50/53,Promo
Rapidash,51/53,Promo
Ho-oh,52/53,Promo
Suicune,53/53,Promo
