Name,Number,Rarity
Snivy,BW01/101,Promo
Tepig,BW02/101,Promo
Oshawott,BW03/101,Promo
Reshiram,BW004/101,Promo
Zekrom,BW005/101,Promo
Snivy,BW06/101,Promo
Tepig,BW07/101,Promo
Oshawott,BW08/101,Promo
Zoroark,BW09/101,Promo
Axew,BW10/101,Promo
Pansage,BW11/101,Promo
Zorua,BW12/101,Promo
Minccino,BW13/101,Promo
Pansage,BW14/101,Promo
Pidove,BW15/101,Promo
Axew,BW16/101,Promo
Ducklett,BW17/101,Promo
Darumaka,BW18/101,Promo
Zoroark,BW19/101,Promo
Serperior,BW20/101,Promo
Emboar,BW21/101,Promo
Samurott,BW22/101,Promo
Reshiram,BW23/101,Promo
Zekrom,BW24/101,Promo
Scraggy,BW25/101,Promo
Axew,BW26/101,Promo
Litwick,BW27/101,Promo
Tropical Beach,BW28/101,Promo
Victory Cup,BW29/101,Promo
Victory Cup,BW30/101,Promo
Victory Cup,BW31/101,Promo
Victini,BW32/101,Promo
Riolu,BW33/101,Promo
Luxio,BW34/101,Promo
Meowth,BW35/101,Promo
Reshiram-EX,BW36/101,Promo
Kyurem-EX,BW37/101,Promo
Zekrom-EX,BW38/101,Promo
Battle City,BW39/101,Promo
Volcarona,BW40/101,Promo
Thundurus,BW41/101,Promo
Tornadus,BW42/101,Promo
Landorus,BW43/101,Promo
Kyurem,BW44/101,Promo
Mewtwo-EX,BW45/101,Promo
Darkrai-EX,BW46/101,Promo
Rayquaza-EX,BW47/101,Promo
Altaria,BW48/101,Promo
Lilligant,BW49/101,Promo
Tropical Beach,BW50/101,Promo
Crobat,BW51/101,Promo
Lillipup,BW52/101,Promo
Flygon,BW53/101,Promo
Pikachu,BW54/101,Promo
Elgyem,BW55/101,Promo
Empoleon,BW56/101,Promo
Haxorus,BW57/101,Promo
Black Kyurem,BW58/101,Promo
White Kyurem,BW59/101,Promo
Keldeo,BW60/101,Promo
Keldeo-EX,BW61/101,Promo
Black Kyurem-EX,BW62/101,Promo
White Kyurem-EX,BW63/101,Promo
Drifblim,BW64/101,Promo
Jigglypuff,BW65/101,Promo
Ninetales,BW66/101,Promo
Ampharos,BW67/101,Promo
Meloetta,BW68/101,Promo
Meloetta,BW69/101,Promo
Virizion,BW70/101,Promo
Terrakion,BW71/101,Promo
Cobalion,BW72/101,Promo
Darkrai,BW73/101,Promo
Giratina,BW74/101,Promo
Metagross,BW75/101,Promo
Electrode,BW76/101,Promo
Pikachu,BW77/101,Promo
Raichu,BW78/101,Promo
Landorus,BW79/101,Promo
Druddigon,BW80/101,Promo
Thundurus-EX,BW81/101,Promo
Deoxys-EX,BW82/101,Promo
Lugia-EX,BW83/101,Promo
Porygon-Z,BW84/101,Promo
Lucario,BW85/101,Promo
Genesect,BW86/101,Promo
Leafeon,BW87/101,Promo
Flareon,BW88/101,Promo
Vaporeon,BW89/101,Promo
Glaceon,BW90/101,Promo
Jolteon,BW91/101,Promo
Espeon,BW92/101,Promo
Umbreon,BW93/101,Promo
Eevee,BW94/101,Promo
Champions Festival,BW95/101,Promo
Tornadus-EX,BW96/101,Promo
Eevee,BW97/101,Promo
Mew,BW98/101,Promo
Genesect,BW99/101,Promo
N,BW100/101,Promo
Genesect,BW101/101,Promo
