Name,Number,Rarity
Dratini,1/20,Rare Holo
Dratini,2/20,Rare Holo
Dragonair,3/20,Rare Holo
Dragonair,4/20,Rare Holo
Dragonite,5/20,Rare Holo
Bagon,6/20,Rare Holo
Shelgon,7/20,Rare Holo
Salamence,8/20,Rare Holo
Latias,9/20,Rare Holo
Latios,10/20,Rare Holo
Rayquaza,11/20,Rare Holo
Axew,12/20,Rare Holo
Axew,13/20,Rare Holo
Fraxure,14/20,Rare Holo
Fraxure,15/20,Rare Holo
Haxorus,16/20,Rare Holo
Druddigon,17/20,Rare Holo
Exp. Share,18/20,
First Ticket,19/20,
Super Rod,20/20,Rare Holo
Kyurem,21/20,
