Name,Number,Rarity
Turtwig,DP01/56,Promo
Chimchar,DP02/56,Promo
Piplup,DP03/56,Promo
Pachirisu,DP04/56,Promo
Tropical Wind,DP05/56,Promo
Buneary,DP06/56,Promo
Cranidos,DP07/56,Promo
Shieldon,DP08/56,Promo
Torterra LV.X,DP09/56,Promo
Infernape LV.X,DP10/56,Promo
Empoleon LV.X,DP11/56,Promo
Lucario LV.X,DP12/56,Promo
Buizel,DP13/56,Promo
Chatot,DP14/56,Promo
Shinx,DP15/56,Promo
Pikachu,DP16/56,Promo
Dialga LV.X,DP17/56,Promo
Palkia LV.X,DP18/56,Promo
Darkrai LV.X,DP19/56,Promo
Magmortar,DP20/56,Promo
Raichu,DP21/56,Promo
Mime Jr.,DP22/56,Promo
Glameow,DP23/56,Promo
Darkrai,DP24/56,Promo
Tropical Wind,DP25/56,Promo
Dialga,DP26/56,Promo
Palkia,DP27/56,Promo
Mewtwo LV.X,DP28/56,Promo
Rhyperior LV.X,DP29/56,Promo
Regigigas LV.X,DP30/56,Promo
Heatran LV.X,DP31/56,Promo
Magnezone,DP32/56,Promo
Dusknoir,DP33/56,Promo
Drifblim,DP34/56,Promo
Porygon-Z,DP35/56,Promo
Gliscor,DP36/56,Promo
Dialga LV.X,DP37/56,Promo
Giratina LV.X,DP38/56,Promo
Shaymin LV.X,DP39/56,Promo
Regigigas,DP40/56,Promo
Toxicroak G,DP41/56,Promo
Carnivine G,DP42/56,Promo
Probopass G,DP43/56,Promo
Magnezone,DP44/56,Promo
Charizard G LV.X,DP45/56,Promo
Garchomp C LV.X,DP46/56,Promo
Rayquaza C LV.X,DP47/56,Promo
Tropical Wind,DP48/56,Promo
Dialga,DP49/56,Promo
Arceus,DP50/56,Promo
Cresselia,DP51/56,Promo
Darkrai,DP52/56,Promo
Arceus LV.X,DP53/56,Promo
Beginning Door,DP54/56,Promo
Ultimate Zone,DP55/56,Promo
Arceus LV.X,DP56/56,Promo
