Name,Number,Rarity
Dialga,1/130,Rare Holo
Dusknoir,2/130,Rare Holo
Electivire,3/130,Rare Holo
Empoleon,4/130,Rare Holo
Infernape,5/130,Rare Holo
Lucario,6/130,Rare Holo
Luxray,7/130,Rare Holo
Magnezone,8/130,Rare Holo
Manaphy,9/130,Rare Holo
Mismagius,10/130,Rare Holo
Palkia,11/130,Rare Holo
Rhyperior,12/130,Rare Holo
Roserade,13/130,Rare Holo
Shiftry,14/130,Rare Holo
Skuntank,15/130,Rare Holo
Staraptor,16/130,Rare Holo
Torterra,17/130,Rare Holo
Azumarill,18/130,Rare
Beautifly,19/130,Rare
Bibarel,20/130,Rare
Carnivine,21/130,Rare
Clefable,22/130,Rare
Drapion,23/130,Rare
Drifblim,24/130,Rare
Dustox,25/130,Rare
Floatzel,26/130,Rare
Gengar,27/130,Rare
Heracross,28/130,Rare
Hippowdon,29/130,Rare
Lopunny,30/130,Rare
Machamp,31/130,Rare
Medicham,32/130,Rare
Munchlax,33/130,Rare
Noctowl,34/130,Rare
Pachirisu,35/130,Rare
Purugly,36/130,Rare
Snorlax,37/130,Rare
Steelix,38/130,Rare
Vespiquen,39/130,Rare
Weavile,40/130,Rare
Wobbuffet,41/130,Rare
Wynaut,42/130,Rare
Budew,43/130,Uncommon
Cascoon,44/130,Uncommon
Cherrim,45/130,Uncommon
Drifloon,46/130,Uncommon
Dusclops,47/130,Uncommon
Elekid,48/130,Uncommon
Grotle,49/130,Uncommon
Haunter,50/130,Uncommon
Hippopotas,51/130,Uncommon
Luxio,52/130,Uncommon
Machoke,53/130,Uncommon
Magneton,54/130,Uncommon
Mantyke,55/130,Uncommon
Monferno,56/130,Uncommon
Nuzleaf,57/130,Uncommon
Prinplup,58/130,Uncommon
Rapidash,59/130,Uncommon
Rhydon,60/130,Uncommon
Riolu,61/130,Uncommon
Seaking,62/130,Uncommon
Silcoon,63/130,Uncommon
Staravia,64/130,Uncommon
Unown [A],65/130,Uncommon
Unown [B],66/130,Uncommon
Unown [C],67/130,Uncommon
Unown [D],68/130,Uncommon
Azurill,69/130,Common
Bidoof,70/130,Common
Bonsly,71/130,Common
Buizel,72/130,Common
Buneary,73/130,Common
Chatot,74/130,Common
Cherubi,75/130,Common
Chimchar,76/130,Common
Clefairy,77/130,Common
Cleffa,78/130,Common
Combee,79/130,Common
Duskull,80/130,Common
Electabuzz,81/130,Common
Gastly,82/130,Common
Glameow,83/130,Common
Goldeen,84/130,Common
Hoothoot,85/130,Common
Machop,86/130,Common
Magnemite,87/130,Common
Marill,88/130,Common
Meditite,89/130,Common
Mime Jr.,90/130,Common
Misdreavus,91/130,Common
Onix,92/130,Common
Piplup,93/130,Common
Ponyta,94/130,Common
Rhyhorn,95/130,Common
Roselia,96/130,Common
Seedot,97/130,Common
Shinx,98/130,Common
Skorupi,99/130,Common
Sneasel,100/130,Common
Starly,101/130,Common
Stunky,102/130,Common
Turtwig,103/130,Common
Wurmple,104/130,Common
Double Full Heal,105/130,Uncommon
Energy Restore,106/130,Uncommon
Energy Switch,107/130,Uncommon
Night Pokémon Center,108/130,Uncommon
PlusPower,109/130,Uncommon
Poké Ball,110/130,Uncommon
Pokédex HANDY910is,111/130,Uncommon
Professor Rowan,112/130,Uncommon
Rival,113/130,Uncommon
Speed Stadium,114/130,Uncommon
Super Scoop Up,115/130,Uncommon
Warp Point,116/130,Uncommon
Energy Search,117/130,Common
Potion,118/130,Common
Switch,119/130,Common
Empoleon LV.X,120/130,Rare Holo LV.X
Infernape LV.X,121/130,Rare Holo LV.X
Torterra LV.X,122/130,Rare Holo LV.X
Grass Energy,123/130,Common
Fire Energy,124/130,Common
Water Energy,125/130,Common
Lightning Energy,126/130,Common
Psychic Energy,127/130,Common
Fighting Energy,128/130,Common
Darkness Energy,129/130,Common
Metal Energy,130/130,Common
