Name,Number,Rarity
Blaziken,1/106,Rare Holo
Cresselia,2/106,Rare Holo
Darkrai,3/106,Rare Holo
Darkrai,4/106,Rare Holo
Pachirisu,5/106,Rare Holo
Porygon-Z,6/106,Rare Holo
Rotom,7/106,Rare Holo
Sceptile,8/106,Rare Holo
Swampert,9/106,Rare Holo
Tangrowth,10/106,Rare Holo
Togekiss,11/106,Rare Holo
Altaria,12/106,Rare
Beedrill,13/106,Rare
Butterfree,14/106,Rare
Claydol,15/106,Rare
Dialga,16/106,Rare
Exploud,17/106,Rare
Houndoom,18/106,Rare
Hypno,19/106,Rare
Kingler,20/106,Rare
Lapras,21/106,Rare
Latias,22/106,Rare
Latios,23/106,Rare
Mawile,24/106,Rare
Milotic,25/106,Rare
Palkia,26/106,Rare
Primeape,27/106,Rare
Slowking,28/106,Rare
Unown [H],29/106,Rare
Wailord,30/106,Rare
Weezing,31/106,Rare
Wigglytuff,32/106,Rare
Arbok,33/106,Uncommon
Cacturne,34/106,Uncommon
Combusken,35/106,Uncommon
Delibird,36/106,Uncommon
Floatzel,37/106,Uncommon
Gorebyss,38/106,Uncommon
Granbull,39/106,Uncommon
Grovyle,40/106,Common
Hariyama,41/106,Uncommon
Huntail,42/106,Uncommon
Linoone,43/106,Uncommon
Loudred,44/106,Uncommon
Magcargo,45/106,Uncommon
Marshtomp,46/106,Uncommon
Metapod,47/106,Uncommon
Pelipper,48/106,Uncommon
Porygon2,49/106,Uncommon
Purugly,50/106,Uncommon
Relicanth,51/106,Uncommon
Seviper,52/106,Uncommon
Skarmory,53/106,Uncommon
Slowbro,54/106,Uncommon
Togetic,55/106,Uncommon
Unown [F],56/106,Uncommon
Unown [G],57/106,Uncommon
Wailmer,58/106,Uncommon
Zangoose,59/106,Uncommon
Baltoy,60/106,Common
Buizel,61/106,Common
Cacnea,62/106,Common
Caterpie,63/106,Common
Clamperl,64/106,Common
Drowzee,65/106,Common
Ekans,66/106,Common
Feebas,67/106,Common
Glameow,68/106,Common
Houndour,69/106,Common
Igglybuff,70/106,Common
Illumise,71/106,Common
Jigglypuff,72/106,Common
Kakuna,73/106,Common
Koffing,74/106,Common
Krabby,75/106,Common
Lunatone,76/106,Common
Luvdisc,77/106,Common
Makuhita,78/106,Common
Mankey,79/106,Common
Mudkip,80/106,Common
Porygon,81/106,Common
Slowpoke,82/106,Common
Slugma,83/106,Common
Snubbull,84/106,Common
Solrock,85/106,Common
Swablu,86/106,Common
Tangela,87/106,Common
Togepi,88/106,Common
Torchic,89/106,Common
Treecko,90/106,Common
Unown [L],91/106,Common
Volbeat,92/106,Common
Weedle,93/106,Common
Whismur,94/106,Common
Wingull,95/106,Common
Zigzagoon,96/106,Common
Amulet Coin,97/106,Uncommon
Felicity's Drawing,98/106,Uncommon
Leftovers,99/106,Uncommon
Moonlight Stadium,100/106,Uncommon
Premier Ball,101/106,Uncommon
Rare Candy,102/106,Uncommon
Cresselia LV.X,103/106,Rare Holo LV.X
Darkrai LV.X,104/106,Rare Holo LV.X
Dialga LV.X,105/106,Rare Holo LV.X
Palkia LV.X,106/106,Rare Holo LV.X
