Name,Number,Rarity
Deoxys Normal Forme,1/146,Rare Holo
Dragonite,2/146,Rare Holo
Froslass,3/146,Rare Holo
Giratina,4/146,Rare Holo
Gliscor,5/146,Rare Holo
Heatran,6/146,Rare Holo
Kingdra,7/146,Rare Holo
Luxray,8/146,Rare Holo
Mamoswine,9/146,Rare Holo
Metagross,10/146,Rare Holo
Mewtwo,11/146,Rare Holo
Politoed,12/146,Rare Holo
Probopass,13/146,Rare Holo
Rayquaza,14/146,Rare Holo
Regigigas,15/146,Rare Holo
Spiritomb,16/146,Rare Holo
Yanmega,17/146,Rare Holo
Armaldo,18/146,Rare
Azelf,19/146,Rare
Bellossom,20/146,Rare
Cradily,21/146,Rare
Crawdaunt,22/146,Rare
Delcatty,23/146,Rare
Deoxys Attack Forme,24/146,Rare
Deoxys Defense Forme,25/146,Rare
Deoxys Speed Forme,26/146,Rare
Ditto,27/146,Rare
Forretress,28/146,Rare
Groudon,29/146,Rare
Heatran,30/146,Rare
Jirachi,31/146,Rare
Kyogre,32/146,Rare
Lopunny,33/146,Rare
Mesprit,34/146,Rare
Poliwrath,35/146,Rare
Regice,36/146,Rare
Regigigas,37/146,Rare
Regirock,38/146,Rare
Registeel,39/146,Rare
Shedinja,40/146,Rare
Torkoal,41/146,Rare
Unown [!],42/146,Rare
Uxie,43/146,Rare
Victreebel,44/146,Rare
Vileplume,45/146,Rare
Anorith,46/146,Uncommon
Camerupt,47/146,Uncommon
Castform,48/146,Uncommon
Castform Rain Form,49/146,Uncommon
Castform Snow-Cloud Form,50/146,Uncommon
Castform Sunny Form,51/146,Uncommon
Dragonair,52/146,Uncommon
Drifblim,53/146,Uncommon
Exeggutor,54/146,Uncommon
Gliscor,55/146,Uncommon
Grumpig,56/146,Uncommon
Houndoom,57/146,Uncommon
Lanturn,58/146,Uncommon
Lanturn,59/146,Uncommon
Ledian,60/146,Uncommon
Lucario,61/146,Uncommon
Luxio,62/146,Uncommon
Marowak,63/146,Uncommon
Metang,64/146,Uncommon
Metang,65/146,Uncommon
Mightyena,66/146,Uncommon
Ninjask,67/146,Uncommon
Persian,68/146,Uncommon
Piloswine,69/146,Uncommon
Seadra,70/146,Uncommon
Starmie,71/146,Uncommon
Swalot,72/146,Uncommon
Swellow,73/146,Uncommon
Tauros,74/146,Uncommon
Tentacruel,75/146,Uncommon
Unown [J],76/146,Uncommon
Unown [R],77/146,Uncommon
Unown [U],78/146,Uncommon
Unown [V],79/146,Uncommon
Unown [W],80/146,Uncommon
Unown [Y],81/146,Uncommon
Unown [?],82/146,Uncommon
Beldum,83/146,Common
Beldum,84/146,Common
Bellsprout,85/146,Common
Buneary,86/146,Common
Chinchou,87/146,Common
Chinchou,88/146,Common
Corphish,89/146,Common
Cubone,90/146,Common
Dratini,91/146,Common
Drifloon,92/146,Common
Exeggcute,93/146,Common
Gligar,94/146,Common
Gligar,95/146,Common
Gloom,96/146,Common
Gloom,97/146,Common
Gulpin,98/146,Common
Hitmonchan,99/146,Common
Hitmonlee,100/146,Common
Hitmontop,101/146,Common
Horsea,102/146,Common
Houndour,103/146,Common
Ledyba,104/146,Common
Lileep,105/146,Common
Meowth,106/146,Common
Misdreavus,107/146,Common
Nincada,108/146,Common
Nosepass,109/146,Common
Numel,110/146,Common
Oddish,111/146,Common
Oddish,112/146,Common
Pineco,113/146,Common
Poliwag,114/146,Common
Poliwhirl,115/146,Common
Poochyena,116/146,Common
Riolu,117/146,Common
Shinx,118/146,Common
Skitty,119/146,Common
Sneasel,120/146,Common
Spoink,121/146,Common
Staryu,122/146,Common
Swinub,123/146,Common
Taillow,124/146,Common
Tentacool,125/146,Common
Tyrogue,126/146,Common
Weepinbell,127/146,Common
Yanma,128/146,Common
Bubble Coat,129/146,Uncommon
Buck's Training,130/146,Uncommon
Cynthia's Feelings,131/146,Uncommon
Energy Pickup,132/146,Uncommon
Poké Radar,133/146,Uncommon
Snowpoint Temple,134/146,Uncommon
Stark Mountain,135/146,Uncommon
Technical Machine TS-1,136/146,Uncommon
Technical Machine TS-2,137/146,Uncommon
Claw Fossil,138/146,Common
Root Fossil,139/146,Common
Azelf LV.X,140/146,Rare Holo LV.X
Gliscor LV.X,141/146,Rare Holo LV.X
Magnezone LV.X,142/146,Rare Holo LV.X
Mesprit LV.X,143/146,Rare Holo LV.X
Mewtwo LV.X,144/146,Rare Holo LV.X
Rhyperior LV.X,145/146,Rare Holo LV.X
Uxie LV.X,146/146,Rare Holo LV.X
