Name,Number,Rarity
Articuno,1/100,Rare Holo
Cresselia,2/100,Rare Holo
Darkrai,3/100,Rare Holo
Dialga,4/100,Rare Holo
Glaceon,5/100,Rare Holo
Kabutops,6/100,Rare Holo
Leafeon,7/100,Rare Holo
Manaphy,8/100,Rare Holo
Mewtwo,9/100,Rare Holo
Moltres,10/100,Rare Holo
Palkia,11/100,Rare Holo
Phione,12/100,Rare Holo
Rotom,13/100,Rare Holo
Zapdos,14/100,Rare Holo
Aerodactyl,15/100,Rare
Bronzong,16/100,Rare
Empoleon,17/100,Rare
Espeon,18/100,Rare
Flareon,19/100,Rare
Glaceon,20/100,Rare
Hippowdon,21/100,Rare
Infernape,22/100,Rare
Jolteon,23/100,Rare
Leafeon,24/100,Rare
Minun,25/100,Rare
Omastar,26/100,Rare
Phione,27/100,Rare
Plusle,28/100,Rare
Scizor,29/100,Rare
Torterra,30/100,Rare
Toxicroak,31/100,Rare
Umbreon,32/100,Rare
Unown [P],33/100,Rare
Vaporeon,34/100,Rare
Ambipom,35/100,Uncommon
Fearow,36/100,Uncommon
Grotle,37/100,Uncommon
Kangaskhan,38/100,Uncommon
Lickitung,39/100,Uncommon
Manectric,40/100,Uncommon
Monferno,41/100,Uncommon
Mothim,42/100,Uncommon
Pachirisu,43/100,Uncommon
Prinplup,44/100,Uncommon
Raichu,45/100,Uncommon
Scyther,46/100,Uncommon
Staravia,47/100,Uncommon
Sudowoodo,48/100,Uncommon
Unown [Q],49/100,Uncommon
Aipom,50/100,Common
Aipom,51/100,Common
Bronzor,52/100,Common
Buneary,53/100,Common
Burmy Sandy Cloak,54/100,Common
Chatot,55/100,Common
Chimchar,56/100,Common
Chimchar,57/100,Common
Chingling,58/100,Common
Combee,59/100,Common
Croagunk,60/100,Common
Drifloon,61/100,Common
Eevee,62/100,Common
Eevee,63/100,Common
Electrike,64/100,Common
Glameow,65/100,Common
Hippopotas,66/100,Common
Kabuto,67/100,Common
Munchlax,68/100,Common
Omanyte,69/100,Common
Pikachu,70/100,Common
Piplup,71/100,Common
Piplup,72/100,Common
Shellos East Sea,73/100,Common
Spearow,74/100,Common
Starly,75/100,Common
Stunky,76/100,Common
Turtwig,77/100,Common
Turtwig,78/100,Common
Dawn Stadium,79/100,Uncommon
Dusk Ball,80/100,Uncommon
Energy Restore,81/100,Uncommon
Fossil Excavator,82/100,Uncommon
Mom's Kindness,83/100,Uncommon
Old Amber,84/100,Uncommon
Poké Ball,85/100,Uncommon
Quick Ball,86/100,Uncommon
Super Scoop Up,87/100,Uncommon
Warp Point,88/100,Uncommon
Dome Fossil,89/100,Common
Energy Search,90/100,Common
Helix Fossil,91/100,Common
Call Energy,92/100,Uncommon
Darkness Energy,93/100,Uncommon
Health Energy,94/100,Uncommon
Metal Energy,95/100,Uncommon
Recover Energy,96/100,Uncommon
Garchomp LV.X,97/100,Rare Holo LV.X
Glaceon LV.X,98/100,Rare Holo LV.X
Leafeon LV.X,99/100,Rare Holo LV.X
Porygon-Z LV.X,100/100,Rare Holo LV.X
