Name,Number,Rarity
Aggron,1/123,Rare Holo
Alakazam,2/123,Rare Holo
Ambipom,3/123,Rare Holo
Azelf,4/123,Rare Holo
Blissey,5/123,Rare Holo
Bronzong,6/123,Rare Holo
Celebi,7/123,Rare Holo
Feraligatr,8/123,Rare Holo
Garchomp,9/123,Rare Holo
Honchkrow,10/123,Rare Holo
Lumineon,11/123,Rare Holo
Magmortar,12/123,Rare Holo
Meganium,13/123,Rare Holo
Mesprit,14/123,Rare Holo
Raichu,15/123,Rare Holo
Typhlosion,16/123,Rare Holo
Tyranitar,17/123,Rare Holo
Uxie,18/123,Rare Holo
Abomasnow,19/123,Rare
Ariados,20/123,Rare
Bastiodon,21/123,Rare
Chimecho,22/123,Rare
Crobat,23/123,Rare
Exeggutor,24/123,Rare
Glalie,25/123,Rare
Gyarados,26/123,Rare
Kricketune,27/123,Rare
Manectric,28/123,Rare
Mantine,29/123,Rare
Mr. Mime,30/123,Rare
Nidoqueen,31/123,Rare
Ninetales,32/123,Rare
Rampardos,33/123,Rare
Slaking,34/123,Rare
Sudowoodo,35/123,Rare
Toxicroak,36/123,Rare
Unown [I],37/123,Rare
Ursaring,38/123,Rare
Walrein,39/123,Rare
Whiscash,40/123,Rare
Bayleef,41/123,Uncommon
Chingling,42/123,Uncommon
Cranidos,43/123,Uncommon
Croconaw,44/123,Uncommon
Dewgong,45/123,Uncommon
Dodrio,46/123,Uncommon
Dunsparce,47/123,Uncommon
Gabite,48/123,Uncommon
Girafarig,49/123,Uncommon
Golbat,50/123,Uncommon
Graveler,51/123,Uncommon
Happiny,52/123,Uncommon
Lairon,53/123,Uncommon
Magmar,54/123,Uncommon
Masquerain,55/123,Uncommon
Nidorina,56/123,Uncommon
Octillery,57/123,Uncommon
Parasect,58/123,Uncommon
Pupitar,59/123,Uncommon
Quilava,60/123,Uncommon
Sandslash,61/123,Uncommon
Sealeo,62/123,Uncommon
Shieldon,63/123,Uncommon
Tropius,64/123,Uncommon
Unown [E],65/123,Uncommon
Unown [M],66/123,Uncommon
Unown [T],67/123,Uncommon
Vigoroth,68/123,Uncommon
Abra,69/123,Common
Aipom,70/123,Common
Aron,71/123,Common
Barboach,72/123,Common
Bidoof,73/123,Common
Bronzor,74/123,Common
Buizel,75/123,Common
Chansey,76/123,Common
Chikorita,77/123,Common
Croagunk,78/123,Common
Cyndaquil,79/123,Common
Doduo,80/123,Common
Electrike,81/123,Common
Exeggcute,82/123,Common
Finneon,83/123,Common
Geodude,84/123,Common
Gible,85/123,Common
Kricketot,86/123,Common
Larvitar,87/123,Common
Magby,88/123,Common
Magikarp,89/123,Common
Murkrow,90/123,Common
Nidoran ♀,91/123,Common
Paras,92/123,Common
Pichu,93/123,Common
Pikachu,94/123,Common
Remoraid,95/123,Common
Sandshrew,96/123,Common
Seel,97/123,Common
Shinx,98/123,Common
Slakoth,99/123,Common
Snorunt,100/123,Common
Snover,101/123,Common
Spheal,102/123,Common
Spinarak,103/123,Common
Surskit,104/123,Common
Teddiursa,105/123,Common
Totodile,106/123,Common
Vulpix,107/123,Common
Zubat,108/123,Common
Bebe's Search,109/123,Uncommon
Dusk Ball,110/123,Uncommon
Fossil Excavator,111/123,Uncommon
Lake Boundary,112/123,Uncommon
Night Maintenance,113/123,Uncommon
Quick Ball,114/123,Uncommon
Team Galactic's Wager,115/123,Uncommon
Armor Fossil,116/123,Common
Skull Fossil,117/123,Common
Multi Energy,118/123,Rare
Darkness Energy,119/123,Uncommon
Metal Energy,120/123,Uncommon
Electivire LV.X,121/123,Rare Holo LV.X
Lucario LV.X,122/123,Rare Holo LV.X
Magmortar LV.X,123/123,Rare Holo LV.X
Time-Space Distortion,124/123,Rare Secret
