Name,Number,Rarity
Ampharos,1/132,Rare Holo
Blastoise,2/132,Rare Holo
Charizard,3/132,Rare Holo
Entei,4/132,Rare Holo
Flygon,5/132,Rare Holo
Gallade,6/132,Rare Holo
Gardevoir,7/132,Rare Holo
Gastrodon East Sea,8/132,Rare Holo
Gastrodon West Sea,9/132,Rare Holo
Ho-Oh,10/132,Rare Holo
Jumpluff,11/132,Rare Holo
Lickilicky,12/132,Rare Holo
Ludicolo,13/132,Rare Holo
Lugia,14/132,Rare Holo
Mew,15/132,Rare Holo
Raikou,16/132,Rare Holo
Roserade,17/132,Rare Holo
Salamence,18/132,Rare Holo
Suicune,19/132,Rare Holo
Venusaur,20/132,Rare Holo
Absol,21/132,Rare
Arcanine,22/132,Rare
Banette,23/132,Rare
Dugtrio,24/132,Rare
Electivire,25/132,Rare
Electrode,26/132,Rare
Furret,27/132,Rare
Golduck,28/132,Rare
Golem,29/132,Rare
Jynx,30/132,Rare
Magmortar,31/132,Rare
Minun,32/132,Rare
Mothim,33/132,Rare
Nidoking,34/132,Rare
Pidgeot,35/132,Rare
Plusle,36/132,Rare
Sharpedo,37/132,Rare
Sunflora,38/132,Rare
Unown [S],39/132,Rare
Weavile,40/132,Rare
Wormadam Plant Cloak,41/132,Rare
Wormadam Sandy Cloak,42/132,Rare
Wormadam Trash Cloak,43/132,Rare
Xatu,44/132,Rare
Breloom,45/132,Uncommon
Charmeleon,46/132,Uncommon
Cloyster,47/132,Uncommon
Donphan,48/132,Uncommon
Farfetch'd,49/132,Uncommon
Flaaffy,50/132,Uncommon
Ivysaur,51/132,Uncommon
Kecleon,52/132,Uncommon
Kirlia,53/132,Uncommon
Lombre,54/132,Uncommon
Miltank,55/132,Uncommon
Muk,56/132,Uncommon
Nidorino,57/132,Uncommon
Pidgeotto,58/132,Uncommon
Pinsir,59/132,Uncommon
Quagsire,60/132,Uncommon
Raticate,61/132,Uncommon
Roselia,62/132,Uncommon
Sableye,63/132,Uncommon
Shelgon,64/132,Uncommon
Skiploom,65/132,Uncommon
Smeargle,66/132,Uncommon
Smoochum,67/132,Uncommon
Unown [K],68/132,Uncommon
Unown [N],69/132,Uncommon
Unown [O],70/132,Uncommon
Unown [X],71/132,Uncommon
Unown [Z],72/132,Uncommon
Venomoth,73/132,Uncommon
Vibrava,74/132,Uncommon
Wartortle,75/132,Uncommon
Bagon,76/132,Common
Bulbasaur,77/132,Common
Burmy Plant Cloak,78/132,Common
Burmy Sandy Cloak,79/132,Common
Burmy Trash Cloak,80/132,Common
Carvanha,81/132,Common
Charmander,82/132,Common
Clefairy,83/132,Common
Corsola,84/132,Common
Diglett,85/132,Common
Duskull,86/132,Common
Electabuzz,87/132,Common
Grimer,88/132,Common
Growlithe,89/132,Common
Hoppip,90/132,Common
Lickitung,91/132,Common
Lotad,92/132,Common
Magmar,93/132,Common
Mareep,94/132,Common
Murkrow,95/132,Common
Natu,96/132,Common
Nidoran ♂,97/132,Common
Phanpy,98/132,Common
Pidgey,99/132,Common
Psyduck,100/132,Common
Qwilfish,101/132,Common
Ralts,102/132,Common
Rattata,103/132,Common
Sentret,104/132,Common
Shellder,105/132,Common
Shellos East Sea,106/132,Common
Shellos West Sea,107/132,Common
Shroomish,108/132,Common
Shuckle,109/132,Common
Shuppet,110/132,Common
Spinda,111/132,Common
Squirtle,112/132,Common
Stantler,113/132,Common
Sunkern,114/132,Common
Trapinch,115/132,Common
Venonat,116/132,Common
Voltorb,117/132,Common
Wooper,118/132,Common
Bebe's Search,119/132,Uncommon
Night Maintenance,120/132,Uncommon
PlusPower,121/132,Uncommon
Professor Oak's Visit,122/132,Uncommon
Professor Rowan,123/132,Uncommon
Rival,124/132,Uncommon
Roseanne's Research,125/132,Uncommon
Team Galactic's Mars,126/132,Uncommon
Potion,127/132,Common
Switch,128/132,Common
Darkness Energy,129/132,Uncommon
Metal Energy,130/132,Uncommon
Gardevoir LV.X,131/132,Rare Holo LV.X
Honchkrow LV.X,132/132,Rare Holo LV.X
