Name,Number,Rarity
Dusknoir,1/100,Rare Holo
Empoleon,2/100,Rare Holo
Infernape,3/100,Rare Holo
Lumineon,4/100,Rare Holo
Magnezone,5/100,Rare Holo
Magnezone,6/100,Rare Holo
Mismagius,7/100,Rare Holo
Raichu,8/100,Rare Holo
Regigigas,9/100,Rare Holo
Sceptile,10/100,Rare Holo
Torterra,11/100,Rare Holo
Abomasnow,12/100,Rare
Bronzong,13/100,Rare
Cherrim,14/100,Rare
Drapion,15/100,Rare
Drifblim,16/100,Rare
Dusknoir,17/100,Rare
Gengar,18/100,Rare
Gyarados,19/100,Rare
Machamp,20/100,Rare
Mamoswine,21/100,Rare
Rapidash,22/100,Rare
Roserade,23/100,Rare
Salamence,24/100,Rare
Scizor,25/100,Rare
Skuntank,26/100,Rare
Staraptor,27/100,Rare
Steelix,28/100,Rare
Tangrowth,29/100,Rare
Tyranitar,30/100,Rare
Vespiquen,31/100,Rare
Bibarel,32/100,Uncommon
Budew,33/100,Uncommon
Dusclops,34/100,Uncommon
Dusclops,35/100,Uncommon
Electrode,36/100,Uncommon
Electrode,37/100,Uncommon
Farfetch'd,38/100,Uncommon
Grovyle,39/100,Uncommon
Haunter,40/100,Uncommon
Machoke,41/100,Uncommon
Magneton,42/100,Uncommon
Magneton,43/100,Uncommon
Miltank,44/100,Uncommon
Pichu,45/100,Uncommon
Piloswine,46/100,Uncommon
Pupitar,47/100,Uncommon
Sableye,48/100,Uncommon
Scyther,49/100,Uncommon
Shelgon,50/100,Uncommon
Skarmory,51/100,Uncommon
Staravia,52/100,Uncommon
Bagon,53/100,Common
Bidoof,54/100,Common
Bronzor,55/100,Common
Cherubi,56/100,Common
Combee,57/100,Common
Drifloon,58/100,Common
Duskull,59/100,Common
Duskull,60/100,Common
Finneon,61/100,Common
Gastly,62/100,Common
Larvitar,63/100,Common
Machop,64/100,Common
Magikarp,65/100,Common
Magnemite,66/100,Common
Magnemite,67/100,Common
Misdreavus,68/100,Common
Onix,69/100,Common
Pikachu,70/100,Common
Ponyta,71/100,Common
Roselia,72/100,Common
Skorupi,73/100,Common
Snover,74/100,Common
Starly,75/100,Common
Stunky,76/100,Common
Swinub,77/100,Common
Tangela,78/100,Common
Treecko,79/100,Common
Voltorb,80/100,Common
Voltorb,81/100,Common
Conductive Quarry,82/100,Uncommon
Energy Link,83/100,Uncommon
Energy Switch,84/100,Uncommon
Great Ball,85/100,Uncommon
Luxury Ball,86/100,Uncommon
Marley's Request,87/100,Uncommon
Poké Blower +,88/100,Uncommon
Poké Drawer +,89/100,Uncommon
Poké Healer +,90/100,Uncommon
Premier Ball,91/100,Uncommon
Potion,92/100,Common
Switch,93/100,Common
Cyclone Energy,94/100,Uncommon
Warp Energy,95/100,Uncommon
Dusknoir LV.X,96/100,Rare Holo LV.X
Heatran LV.X,97/100,Rare Holo LV.X
Machamp LV.X,98/100,Rare Holo LV.X
Raichu LV.X,99/100,Rare Holo LV.X
Regigigas LV.X,100/100,Rare Holo LV.X
Charmander,101/100,Rare Secret
Charmeleon,102/100,Rare Secret
Charizard,103/100,Rare Secret
Drifloon,SH1/100,Rare
Duskull,SH2/100,Rare
Voltorb,SH3/100,Rare
