Name,Number,Rarity
Ampharos,1/147,Rare
Arcanine,2/147,Rare
Ariados,3/147,Rare
Azumarill,4/147,Rare
Bellossom,5/147,Rare
Blissey,6/147,Rare
Donphan,7/147,Rare
Electrode,8/147,Rare
Elekid,9/147,Rare
Entei,10/147,Rare
Espeon,11/147,Rare
Exeggutor,12/147,Rare
Exeggutor,13/147,Rare
Houndoom,14/147,Rare
Houndoom,15/147,Rare
Hypno,16/147,Rare
Jumpluff,17/147,Rare
Jynx,18/147,Rare
Kingdra,19/147,Rare
Lanturn,20/147,Rare
Lanturn,21/147,Rare
Magneton,22/147,Rare
Muk,23/147,Rare
Nidoking,24/147,Rare
Ninetales,25/147,Rare
Octillery,26/147,Rare
Parasect,27/147,Rare
Porygon2,28/147,Rare
Primeape,29/147,Rare
Quagsire,30/147,Rare
Rapidash,31/147,Rare
Scizor,32/147,Rare
Slowbro,33/147,Rare
Slowking,34/147,Rare
Steelix,35/147,Rare
Sudowoodo,36/147,Rare
Suicune,37/147,Rare
Tentacruel,38/147,Rare
Togetic,39/147,Rare
Tyranitar,40/147,Rare
Umbreon,41/147,Rare
Victreebel,42/147,Rare
Vileplume,43/147,Rare
Zapdos,44/147,Rare
Bellsprout,45/147,Uncommon
Dodrio,46/147,Uncommon
Flaaffy,47/147,Uncommon
Furret,48/147,Uncommon
Gloom,49/147,Uncommon
Golduck,50/147,Uncommon
Growlithe,51/147,Uncommon
Magnemite,52/147,Uncommon
Marill,53/147,Uncommon
Marowak,54/147,Uncommon
Nidorino,55/147,Uncommon
Pupitar,56/147,Uncommon
Scyther,57/147,Uncommon
Seadra,58/147,Uncommon
Seaking,59/147,Uncommon
Skiploom,60/147,Uncommon
Smoochum,61/147,Uncommon
Spinarak,62/147,Uncommon
Tyrogue,63/147,Uncommon
Voltorb,64/147,Uncommon
Weepinbell,65/147,Uncommon
Wooper,66/147,Uncommon
Aipom,67/147,Common
Bellsprout,68/147,Common
Chansey,69/147,Common
Chinchou,70/147,Common
Chinchou,71/147,Common
Cubone,72/147,Common
Doduo,73/147,Common
Drowzee,74/147,Common
Eevee,75/147,Common
Exeggcute,76/147,Common
Exeggcute,77/147,Common
Goldeen,78/147,Common
Grimer,79/147,Common
Growlithe,80/147,Common
Hitmonchan,81/147,Common
Hitmontop,82/147,Common
Hoppip,83/147,Common
Horsea,84/147,Common
Horsea,85/147,Common
Houndour,86/147,Common
Houndour,87/147,Common
Kangaskhan,88/147,Common
Larvitar,89/147,Common
Lickitung,90/147,Common
Magnemite,91/147,Common
Mankey,92/147,Common
Mareep,93/147,Common
Miltank,94/147,Common
Mr. Mime,95/147,Common
Nidoran ♂,96/147,Common
Oddish,97/147,Common
Onix,98/147,Common
Paras,99/147,Common
Phanpy,100/147,Common
Pinsir,101/147,Common
Ponyta,102/147,Common
Porygon,103/147,Common
Psyduck,104/147,Common
Remoraid,105/147,Common
Scyther,106/147,Common
Sentret,107/147,Common
Slowpoke,108/147,Common
Smeargle,109/147,Common
Sneasel,110/147,Common
Spinarak,111/147,Common
Tangela,112/147,Common
Tentacool,113/147,Common
Togepi,114/147,Common
Voltorb,115/147,Common
Vulpix,116/147,Common
Wooper,117/147,Common
Apricorn Forest,118/147,Rare
Darkness Cube 01,119/147,Uncommon
Energy Switch,120/147,Uncommon
Fighting Cube 01,121/147,Uncommon
Fire Cube 01,122/147,Uncommon
Forest Guardian,123/147,Uncommon
Grass Cube 01,124/147,Uncommon
Healing Berry,125/147,Uncommon
Juggler,126/147,Uncommon
Lightning Cube 01,127/147,Uncommon
Memory Berry,128/147,Uncommon
Metal Cube 01,129/147,Uncommon
Pokémon Fan Club,130/147,Uncommon
Pokémon Park,131/147,Uncommon
Psychic Cube 01,132/147,Uncommon
Seer,133/147,Uncommon
Super Energy Removal 2,134/147,Uncommon
Time Shard,135/147,Uncommon
Town Volunteers,136/147,Uncommon
Traveling Salesman,137/147,Uncommon
Undersea Ruins,138/147,Uncommon
Power Plant,139/147,Uncommon
Water Cube 01,140/147,Uncommon
Weakness Guard,141/147,Uncommon
Darkness Energy,142/147,Rare
Metal Energy,143/147,Rare
Rainbow Energy,144/147,Rare
Boost Energy,145/147,Uncommon
Crystal Energy,146/147,Uncommon
Warp Energy,147/147,Uncommon
Kingdra,148/147,Rare Secret
Lugia,149/147,Rare Secret
Nidoking,150/147,Rare Secret
Ampharos,H1/147,Rare Holo
Arcanine,H2/147,Rare Holo
Ariados,H3/147,Rare Holo
Azumarill,H4/147,Rare Holo
Bellossom,H5/147,Rare Holo
Blissey,H6/147,Rare Holo
Electrode,H7/147,Rare Holo
Entei,H8/147,Rare Holo
Espeon,H9/147,Rare Holo
Exeggutor,H10/147,Rare Holo
Houndoom,H11/147,Rare Holo
Hypno,H12/147,Rare Holo
Jumpluff,H13/147,Rare Holo
Kingdra,H14/147,Rare Holo
Lanturn,H15/147,Rare Holo
Magneton,H16/147,Rare Holo
Muk,H17/147,Rare Holo
Nidoking,H18/147,Rare Holo
Ninetales,H19/147,Rare Holo
Octillery,H20/147,Rare Holo
Scizor,H21/147,Rare Holo
Slowking,H22/147,Rare Holo
Steelix,H23/147,Rare Holo
Sudowoodo,H24/147,Rare Holo
Suicune,H25/147,Rare Holo
Tentacruel,H26/147,Rare Holo
Togetic,H27/147,Rare Holo
Tyranitar,H28/147,Rare Holo
Umbreon,H29/147,Rare Holo
Victreebel,H30/147,Rare Holo
Vileplume,H31/147,Rare Holo
Zapdos,H32/147,Rare Holo
