Name,Number,Rarity
Alakazam,1/165,Rare Holo
Ampharos,2/165,Rare Holo
Arbok,3/165,Rare Holo
Blastoise,4/165,Rare Holo
Butterfree,5/165,Rare Holo
Charizard,6/165,Rare Holo
Clefable,7/165,Rare Holo
Cloyster,8/165,Rare Holo
Dragonite,9/165,Rare Holo
Dugtrio,10/165,Rare Holo
Fearow,11/165,Rare Holo
Feraligatr,12/165,Rare Holo
Gengar,13/165,Rare Holo
Golem,14/165,Rare Holo
Kingler,15/165,Rare Holo
Machamp,16/165,Rare Holo
Magby,17/165,Rare Holo
Meganium,18/165,Rare Holo
Mew,19/165,Rare Holo
Mewtwo,20/165,Rare Holo
Ninetales,21/165,Rare Holo
Pichu,22/165,Rare Holo
Pidgeot,23/165,Rare Holo
Poliwrath,24/165,Rare Holo
Raichu,25/165,Rare Holo
Rapidash,26/165,Rare Holo
Skarmory,27/165,Rare Holo
Typhlosion,28/165,Rare Holo
Tyranitar,29/165,Rare Holo
Venusaur,30/165,Rare Holo
Vileplume,31/165,Rare Holo
Weezing,32/165,Rare Holo
Alakazam,33/165,Rare
Ampharos,34/165,Rare
Arbok,35/165,Rare
Blastoise,36/165,Rare
Blastoise,37/165,Rare
Butterfree,38/165,Rare
Charizard,39/165,Rare
Charizard,40/165,Rare
Clefable,41/165,Rare
Cloyster,42/165,Rare
Dragonite,43/165,Rare
Dugtrio,44/165,Rare
Fearow,45/165,Rare
Feraligatr,46/165,Rare
Feraligatr,47/165,Rare
Gengar,48/165,Rare
Golem,49/165,Rare
Kingler,50/165,Rare
Machamp,51/165,Rare
Magby,52/165,Rare
Meganium,53/165,Rare
Meganium,54/165,Rare
Mew,55/165,Rare
Mewtwo,56/165,Rare
Ninetales,57/165,Rare
Pichu,58/165,Rare
Pidgeot,59/165,Rare
Poliwrath,60/165,Rare
Raichu,61/165,Rare
Rapidash,62/165,Rare
Skarmory,63/165,Rare
Typhlosion,64/165,Rare
Typhlosion,65/165,Rare
Tyranitar,66/165,Rare
Venusaur,67/165,Rare
Venusaur,68/165,Rare
Vileplume,69/165,Rare
Weezing,70/165,Rare
Bayleef,71/165,Uncommon
Chansey,72/165,Uncommon
Charmeleon,73/165,Uncommon
Croconaw,74/165,Uncommon
Dragonair,75/165,Uncommon
Electabuzz,76/165,Uncommon
Flaaffy,77/165,Uncommon
Gloom,78/165,Uncommon
Graveler,79/165,Uncommon
Haunter,80/165,Uncommon
Hitmonlee,81/165,Uncommon
Ivysaur,82/165,Uncommon
Jynx,83/165,Uncommon
Kadabra,84/165,Uncommon
Machoke,85/165,Uncommon
Magmar,86/165,Uncommon
Metapod,87/165,Uncommon
Pidgeotto,88/165,Uncommon
Poliwhirl,89/165,Uncommon
Pupitar,90/165,Uncommon
Quilava,91/165,Uncommon
Wartortle,92/165,Uncommon
Abra,93/165,Common
Bulbasaur,94/165,Common
Bulbasaur,95/165,Common
Caterpie,96/165,Common
Charmander,97/165,Common
Charmander,98/165,Common
Chikorita,99/165,Common
Chikorita,100/165,Common
Clefairy,101/165,Common
Corsola,102/165,Common
Cubone,103/165,Common
Cyndaquil,104/165,Common
Cyndaquil,105/165,Common
Diglett,106/165,Common
Dratini,107/165,Common
Ekans,108/165,Common
Gastly,109/165,Common
Geodude,110/165,Common
Goldeen,111/165,Common
Hoppip,112/165,Common
Houndour,113/165,Common
Koffing,114/165,Common
Krabby,115/165,Common
Larvitar,116/165,Common
Machop,117/165,Common
Magikarp,118/165,Common
Mareep,119/165,Common
Marill,120/165,Common
Meowth,121/165,Common
Oddish,122/165,Common
Pidgey,123/165,Common
Pikachu,124/165,Common
Poliwag,125/165,Common
Ponyta,126/165,Common
Qwilfish,127/165,Common
Rattata,128/165,Common
Shellder,129/165,Common
Spearow,130/165,Common
Squirtle,131/165,Common
Squirtle,132/165,Common
Tauros,133/165,Common
Totodile,134/165,Common
Totodile,135/165,Common
Vulpix,136/165,Common
Bill's Maintenance,137/165,Uncommon
Copycat,138/165,Uncommon
Dual Ball,139/165,Uncommon
Energy Removal 2,140/165,Uncommon
Energy Restore,141/165,Uncommon
Mary's Impulse,142/165,Uncommon
Master Ball,143/165,Uncommon
Multi Technical Machine 01,144/165,Uncommon
Pokémon Nurse,145/165,Uncommon
Pokémon Reversal,146/165,Uncommon
Power Charge,147/165,Uncommon
Professor Elm's Training Method,148/165,Uncommon
Professor Oak's Research,149/165,Uncommon
Strength Charm,150/165,Uncommon
Super Scoop Up,151/165,Uncommon
Warp Point,152/165,Uncommon
Energy Search,153/165,Common
Full Heal,154/165,Common
Moo-Moo Milk,155/165,Common
Potion,156/165,Common
Switch,157/165,Common
Darkness Energy,158/165,Rare
Metal Energy,159/165,Rare
Fighting Energy,160/165,
Fire Energy,161/165,
Grass Energy,162/165,
Lightning Energy,163/165,
Psychic Energy,164/165,
Water Energy,165/165,
