Name,Number,Rarity
Aerodactyl,1/144,Rare
Alakazam,2/144,Rare
Arcanine,3/144,Rare
Articuno,4/144,Rare
Beedrill,5/144,Rare
Crobat,6/144,Rare
Dewgong,7/144,Rare
Flareon,8/144,Rare
Forretress,9/144,Rare
Gengar,10/144,Rare
Gyarados,11/144,Rare
Houndoom,12/144,Rare
Jolteon,13/144,Rare
Kabutops,14/144,Rare
Ledian,15/144,Rare
Machamp,16/144,Rare
Magcargo,17/144,Rare
Magcargo,18/144,Rare
Magneton,19/144,Rare
Magneton,20/144,Rare
Moltres,21/144,Rare
Nidoqueen,22/144,Rare
Omastar,23/144,Rare
Piloswine,24/144,Rare
Politoed,25/144,Rare
Poliwrath,26/144,Rare
Raichu,27/144,Rare
Raikou,28/144,Rare
Rhydon,29/144,Rare
Starmie,30/144,Rare
Steelix,31/144,Rare
Umbreon,32/144,Rare
Vaporeon,33/144,Rare
Wigglytuff,34/144,Rare
Xatu,35/144,Rare
Electrode,36/144,Uncommon
Kabuto,37/144,Uncommon
Machoke,38/144,Uncommon
Misdreavus,39/144,Uncommon
Noctowl,40/144,Uncommon
Omanyte,41/144,Uncommon
Persian,42/144,Uncommon
Piloswine,43/144,Uncommon
Starmie,44/144,Uncommon
Wobbuffet,45/144,Uncommon
Abra,46/144,Common
Buried Fossil,47/144,Common
Cleffa,48/144,Common
Delibird,49/144,Common
Diglett,50/144,Common
Ditto,51/144,Common
Dugtrio,52/144,Common
Dunsparce,53/144,Common
Eevee,54/144,Common
Farfetch'd,55/144,Common
Forretress,56/144,Common
Gastly,57/144,Common
Girafarig,58/144,Common
Gligar,59/144,Common
Golbat,60/144,Common
Granbull,61/144,Common
Growlithe,62/144,Common
Haunter,63/144,Common
Heracross,64/144,Common
Hoothoot,65/144,Common
Houndour,66/144,Common
Igglybuff,67/144,Common
Jigglypuff,68/144,Common
Kadabra,69/144,Common
Kakuna,70/144,Common
Lapras,71/144,Common
Ledyba,72/144,Common
Ledyba,73/144,Common
Machop,74/144,Common
Magikarp,75/144,Common
Magnemite,76/144,Common
Mantine,77/144,Common
Meowth,78/144,Common
Murkrow,79/144,Common
Natu,80/144,Common
Nidoran ♀,81/144,Common
Nidoran ♀,82/144,Common
Nidorina,83/144,Common
Pikachu,84/144,Common
Pineco,85/144,Common
Pineco,86/144,Common
Poliwag,87/144,Common
Poliwhirl,88/144,Common
Raticate,89/144,Common
Rattata,90/144,Common
Rhyhorn,91/144,Common
Sandshrew,92/144,Common
Sandslash,93/144,Common
Seel,94/144,Common
Seel,95/144,Common
Shuckle,96/144,Common
Skarmory,97/144,Common
Slugma,98/144,Common
Slugma,99/144,Common
Snorlax,100/144,Common
Snubbull,101/144,Common
Stantler,102/144,Common
Staryu,103/144,Common
Staryu,104/144,Common
Sunflora,105/144,Common
Sunkern,106/144,Common
Swinub,107/144,Common
Swinub,108/144,Common
Teddiursa,109/144,Common
Ursaring,110/144,Common
Venomoth,111/144,Common
Venonat,112/144,Common
Voltorb,113/144,Common
Weedle,114/144,Common
Weedle,115/144,Common
Yanma,116/144,Common
Zubat,117/144,Common
Zubat,118/144,Common
Ancient Ruins,119/144,Uncommon
Relic Hunter,120/144,Uncommon
Apricorn Maker,121/144,Uncommon
Crystal Shard,122/144,Uncommon
Desert Shaman,123/144,Uncommon
Fast Ball,124/144,Uncommon
Fisherman,125/144,Uncommon
Friend Ball,126/144,Uncommon
Hyper Potion,127/144,Uncommon
Lure Ball,128/144,Uncommon
Miracle Sphere α,129/144,Uncommon
Miracle Sphere β,130/144,Uncommon
Miracle Sphere γ,131/144,Uncommon
Mirage Stadium,132/144,Uncommon
Mystery Plate α,133/144,Uncommon
Mystery Plate β,134/144,Uncommon
Mystery Plate γ,135/144,Uncommon
Mystery Plate δ,136/144,Uncommon
Mystery Zone,137/144,Uncommon
Oracle,138/144,Uncommon
Star Piece,139/144,Uncommon
Underground Expedition,140/144,Uncommon
Underground Lake,141/144,Uncommon
Bounce Energy,142/144,Uncommon
Cyclone Energy,143/144,Uncommon
Retro Energy,144/144,Uncommon
Celebi,145/144,Rare Secret
Charizard,146/144,Rare Secret
Crobat,147/144,Rare Secret
Golem,148/144,Rare Secret
Ho-oh,149/144,Rare Secret
Kabutops,150/144,Rare Secret
Alakazam,H1/144,Rare Holo
Arcanine,H2/144,Rare Holo
Articuno,H3/144,Rare Holo
Beedrill,H4/144,Rare Holo
Crobat,H5/144,Rare Holo
Dewgong,H6/144,Rare Holo
Flareon,H7/144,Rare Holo
Forretress,H8/144,Rare Holo
Gengar,H9/144,Rare Holo
Gyarados,H10/144,Rare Holo
Houndoom,H11/144,Rare Holo
Jolteon,H12/144,Rare Holo
Kabutops,H13/144,Rare Holo
Ledian,H14/144,Rare Holo
Machamp,H15/144,Rare Holo
Magcargo,H16/144,Rare Holo
Magcargo,H17/144,Rare Holo
Magneton,H18/144,Rare Holo
Magneton,H19/144,Rare Holo
Moltres,H20/144,Rare Holo
Nidoqueen,H21/144,Rare Holo
Piloswine,H22/144,Rare Holo
Politoed,H23/144,Rare Holo
Poliwrath,H24/144,Rare Holo
Raichu,H25/144,Rare Holo
Raikou,H26/144,Rare Holo
Rhydon,H27/144,Rare Holo
Starmie,H28/144,Rare Holo
Steelix,H29/144,Rare Holo
Umbreon,H30/144,Rare Holo
Vaporeon,H31/144,Rare Holo
Xatu,H32/144,Rare Holo
