Name,Number,Rarity
Banette,1/100,Rare Holo
Blastoise δ,2/100,Rare Holo
Camerupt,3/100,Rare Holo
Charizard δ,4/100,Rare Holo
Dugtrio,5/100,Rare Holo
Ludicolo δ,6/100,Rare Holo
Luvdisc,7/100,Rare Holo
Manectric,8/100,Rare Holo
Mawile,9/100,Rare Holo
Sableye,10/100,Rare Holo
Swalot,11/100,Rare Holo
Tauros,12/100,Rare Holo
Wigglytuff,13/100,Rare Holo
Blastoise,14/100,Rare
Cacturne δ,15/100,Rare
Combusken,16/100,Rare
Dusclops,17/100,Rare
Fearow δ,18/100,Rare
Grovyle δ,19/100,Rare
Grumpig,20/100,Rare
Igglybuff,21/100,Rare
Kingler δ,22/100,Rare
Loudred,23/100,Rare
Marshtomp,24/100,Rare
Medicham,25/100,Rare
Pelipper δ,26/100,Rare
Swampert,27/100,Rare
Venusaur,28/100,Rare
Charmeleon,29/100,Uncommon
Charmeleon δ,30/100,Uncommon
Combusken,31/100,Uncommon
Grovyle,32/100,Uncommon
Gulpin,33/100,Uncommon
Ivysaur,34/100,Uncommon
Ivysaur,35/100,Uncommon
Lairon,36/100,Uncommon
Lombre,37/100,Uncommon
Marshtomp,38/100,Uncommon
Nuzleaf,39/100,Uncommon
Shuppet,40/100,Uncommon
Skitty,41/100,Uncommon
Wartortle,42/100,Uncommon
Wartortle,43/100,Uncommon
Aron,44/100,Common
Bulbasaur,45/100,Common
Bulbasaur,46/100,Common
Cacnea,47/100,Common
Charmander,48/100,Common
Charmander δ,49/100,Common
Diglett,50/100,Common
Duskull,51/100,Common
Electrike,52/100,Common
Jigglypuff,53/100,Common
Krabby,54/100,Common
Lotad,55/100,Common
Meditite,56/100,Common
Mudkip,57/100,Common
Mudkip,58/100,Common
Numel,59/100,Common
Seedot,60/100,Common
Spearow,61/100,Common
Spoink,62/100,Common
Squirtle,63/100,Common
Squirtle,64/100,Common
Torchic,65/100,Common
Torchic,66/100,Common
Treecko,67/100,Common
Treecko δ,68/100,Common
Whismur,69/100,Common
Wingull,70/100,Common
Bill's Maintenance,71/100,Uncommon
Castaway,72/100,Uncommon
Celio's Network,73/100,Uncommon
Cessation Crystal,74/100,Uncommon
Crystal Beach,75/100,Uncommon
Crystal Shard,76/100,Uncommon
Double Full Heal,77/100,Uncommon
Dual Ball,78/100,Uncommon
Holon Circle,79/100,Uncommon
Memory Berry,80/100,Uncommon
Mysterious Shard,81/100,Uncommon
Poké Ball,82/100,Uncommon
PokéNav,83/100,Uncommon
Warp Point,84/100,Uncommon
Windstorm,85/100,Uncommon
Energy Search,86/100,Common
Potion,87/100,Common
Double Rainbow Energy,88/100,Rare
Aggron ex,89/100,Rare Holo EX
Blaziken ex,90/100,Rare Holo EX
Delcatty ex,91/100,Rare Holo EX
Exploud ex,92/100,Rare Holo EX
Groudon ex,93/100,Rare Holo EX
Jirachi ex,94/100,Rare Holo EX
Kyogre ex,95/100,Rare Holo EX
Sceptile ex δ,96/100,Rare Holo EX
Shiftry ex,97/100,Rare Holo EX
Swampert ex,98/100,Rare Holo EX
Alakazam ★,99/100,Rare Holo Star
Celebi ★,100/100,Rare Holo Star
