Name,Number,Rarity
Beedrill δ,1/113,Rare Holo
Crobat δ,2/113,Rare Holo
Dragonite δ,3/113,Rare Holo
Espeon δ,4/113,Rare Holo
Flareon δ,5/113,Rare Holo
Gardevoir δ,6/113,Rare Holo
Jolteon δ,7/113,Rare Holo
Latias δ,8/113,Rare Holo
Latios δ,9/113,Rare Holo
Marowak δ,10/113,Rare Holo
Metagross δ,11/113,Rare Holo
Mewtwo δ,12/113,Rare Holo
Rayquaza δ,13/113,Rare Holo
Salamence δ,14/113,Rare Holo
Starmie δ,15/113,Rare Holo
Tyranitar δ,16/113,Rare Holo
Umbreon δ,17/113,Rare Holo
Vaporeon δ,18/113,Rare Holo
Azumarill δ,19/113,Rare
Azurill,20/113,Rare
Holon's Electrode,21/113,Rare
Holon's Magneton,22/113,Rare
Hypno,23/113,Rare
Mightyena δ,24/113,Rare
Porygon2,25/113,Rare
Rain Castform,26/113,Rare
Sandslash δ,27/113,Rare
Slowking,28/113,Rare
Snow-cloud Castform,29/113,Rare
Starmie δ,30/113,Rare
Sunny Castform,31/113,Rare
Swellow,32/113,Rare
Weezing,33/113,Rare
Castform,34/113,Uncommon
Ditto,35/113,Uncommon
Ditto,36/113,Uncommon
Ditto,37/113,Uncommon
Ditto,38/113,Uncommon
Ditto,39/113,Uncommon
Ditto,40/113,Uncommon
Dragonair δ,41/113,Uncommon
Dragonair δ,42/113,Uncommon
Golbat,43/113,Uncommon
Hariyama,44/113,Uncommon
Illumise,45/113,Uncommon
Kakuna,46/113,Uncommon
Kirlia,47/113,Uncommon
Magneton,48/113,Uncommon
Metang δ,49/113,Uncommon
Persian,50/113,Uncommon
Pupitar δ,51/113,Uncommon
Rapidash,52/113,Uncommon
Shelgon δ,53/113,Uncommon
Shelgon δ,54/113,Uncommon
Skarmory,55/113,Uncommon
Volbeat,56/113,Uncommon
Bagon δ,57/113,Common
Bagon δ,58/113,Common
Beldum δ,59/113,Common
Cubone,60/113,Common
Ditto,61/113,Common
Ditto,62/113,Common
Ditto,63/113,Common
Ditto,64/113,Common
Dratini δ,65/113,Common
Dratini δ,66/113,Common
Drowzee,67/113,Common
Eevee δ,68/113,Common
Eevee,69/113,Common
Holon's Magnemite,70/113,Common
Holon's Voltorb,71/113,Common
Koffing,72/113,Common
Larvitar δ,73/113,Common
Magnemite,74/113,Common
Makuhita,75/113,Common
Marill,76/113,Common
Meowth,77/113,Common
Ponyta,78/113,Common
Poochyena,79/113,Common
Porygon,80/113,Common
Ralts,81/113,Common
Sandshrew,82/113,Common
Slowpoke,83/113,Common
Staryu,84/113,Common
Staryu,85/113,Common
Taillow,86/113,Common
Weedle,87/113,Common
Zubat,88/113,Common
Dual Ball,89/113,Uncommon
Great Ball,90/113,Uncommon
Holon Farmer,91/113,Uncommon
Holon Lass,92/113,Uncommon
Holon Mentor,93/113,Uncommon
Holon Research Tower,94/113,Uncommon
Holon Researcher,95/113,Uncommon
Holon Ruins,96/113,Uncommon
Holon Scientist,97/113,Uncommon
Holon Transceiver,98/113,Uncommon
Master Ball,99/113,Uncommon
Super Scoop Up,100/113,Uncommon
Potion,101/113,Common
Switch,102/113,Common
Darkness Energy,103/113,Rare
Holon Energy FF,104/113,Rare
Holon Energy GL,105/113,Rare
Holon Energy WP,106/113,Rare
Metal Energy,107/113,Rare
Flareon ex,108/113,Rare Holo EX
Jolteon ex,109/113,Rare Holo EX
Vaporeon ex,110/113,Rare Holo EX
Groudon ★,111/113,Rare Holo Star
Kyogre ★,112/113,Rare Holo Star
Metagross ★,113/113,Rare Holo Star
Azumarill,114/113,Rare Secret
