Name,Number,Rarity
Altaria,1/107,Rare Holo
Beautifly,2/107,Rare Holo
Breloom,3/107,Rare Holo
Camerupt,4/107,Rare Holo
Claydol,5/107,Rare Holo
Crawdaunt,6/107,Rare Holo
Dusclops,7/107,Rare Holo
Gyarados,8/107,Rare Holo
Jirachi,9/107,Rare Holo
Ludicolo,10/107,Rare Holo
Metagross,11/107,Rare Holo
Mightyena,12/107,Rare Holo
Ninjask,13/107,Rare Holo
Shedinja,14/107,Rare Holo
Slaking,15/107,Rare Holo
Deoxys,16/107,Rare
Deoxys,17/107,Rare
Deoxys,18/107,Rare
Ludicolo,19/107,Rare
Magcargo,20/107,Rare
Pelipper,21/107,Rare
Rayquaza,22/107,Rare
Sableye,23/107,Rare
Seaking,24/107,Rare
Shiftry,25/107,Rare
Skarmory,26/107,Rare
Tropius,27/107,Rare
Whiscash,28/107,Rare
Xatu,29/107,Rare
Donphan,30/107,Uncommon
Golbat,31/107,Uncommon
Grumpig,32/107,Uncommon
Lombre,33/107,Uncommon
Lombre,34/107,Uncommon
Lotad,35/107,Uncommon
Lunatone,36/107,Uncommon
Magcargo,37/107,Uncommon
Manectric,38/107,Uncommon
Masquerain,39/107,Uncommon
Metang,40/107,Uncommon
Minun,41/107,Uncommon
Nosepass,42/107,Uncommon
Nuzleaf,43/107,Uncommon
Plusle,44/107,Uncommon
Shelgon,45/107,Uncommon
Silcoon,46/107,Uncommon
Solrock,47/107,Uncommon
Starmie,48/107,Uncommon
Swellow,49/107,Uncommon
Vigoroth,50/107,Uncommon
Weezing,51/107,Uncommon
Bagon,52/107,Common
Baltoy,53/107,Common
Barboach,54/107,Common
Beldum,55/107,Common
Carvanha,56/107,Common
Corphish,57/107,Common
Duskull,58/107,Common
Electrike,59/107,Common
Electrike,60/107,Common
Goldeen,61/107,Common
Koffing,62/107,Common
Lotad,63/107,Common
Magikarp,64/107,Common
Makuhita,65/107,Common
Natu,66/107,Common
Nincada,67/107,Common
Numel,68/107,Common
Phanpy,69/107,Common
Poochyena,70/107,Common
Seedot,71/107,Common
Shroomish,72/107,Common
Slakoth,73/107,Common
Slugma,74/107,Common
Slugma,75/107,Common
Spoink,76/107,Common
Staryu,77/107,Common
Surskit,78/107,Common
Swablu,79/107,Common
Taillow,80/107,Common
Wingull,81/107,Common
Wurmple,82/107,Common
Zubat,83/107,Common
Balloon Berry,84/107,Uncommon
Crystal Shard,85/107,Uncommon
Energy Charge,86/107,Uncommon
Lady Outing,87/107,Uncommon
Master Ball,88/107,Uncommon
Meteor Falls,89/107,Uncommon
Professor Cozmo's Discovery,90/107,Uncommon
Space Center,91/107,Uncommon
Strength Charm,92/107,Uncommon
Boost Energy,93/107,Uncommon
Heal Energy,94/107,Uncommon
Scramble Energy,95/107,Uncommon
Crobat ex,96/107,Rare Holo EX
Deoxys ex,97/107,Rare Holo EX
Deoxys ex,98/107,Rare Holo EX
Deoxys ex,99/107,Rare Holo EX
Hariyama ex,100/107,Rare Holo EX
Manectric ex,101/107,Rare Holo EX
Rayquaza ex,102/107,Rare Holo EX
Salamence ex,103/107,Rare Holo EX
Sharpedo ex,104/107,Rare Holo EX
Latias ★,105/107,Rare Holo Star
Latios ★,106/107,Rare Holo Star
Rayquaza ★,107/107,Rare Holo Star
Rocket's Raikou ex,108/107,Rare Secret
