Name,Number,Rarity
Ampharos δ,1/101,Rare Holo
Feraligatr δ,2/101,Rare Holo
Heracross δ,3/101,Rare Holo
Meganium δ,4/101,Rare Holo
Milotic δ,5/101,Rare Holo
Nidoking δ,6/101,Rare Holo
Nidoqueen δ,7/101,Rare Holo
Ninetales δ,8/101,Rare Holo
Pinsir δ,9/101,Rare Holo
Snorlax δ,10/101,Rare Holo
Togetic δ,11/101,Rare Holo
Typhlosion δ,12/101,Rare Holo
Arbok δ,13/101,Rare
Cloyster δ,14/101,Rare
Dewgong δ,15/101,Rare
Gligar δ,16/101,Rare
Jynx δ,17/101,Rare
Ledian δ,18/101,Rare
Lickitung δ,19/101,Rare
Mantine δ,20/101,Rare
Quagsire δ,21/101,Rare
Seadra δ,22/101,Rare
Tropius δ,23/101,Rare
Vibrava δ,24/101,Rare
Xatu δ,25/101,Rare
Bayleef δ,26/101,Uncommon
Croconaw δ,27/101,Uncommon
Dragonair δ,28/101,Uncommon
Electabuzz δ,29/101,Uncommon
Flaaffy δ,30/101,Uncommon
Horsea δ,31/101,Uncommon
Kirlia,32/101,Uncommon
Kirlia δ,33/101,Uncommon
Nidorina δ,34/101,Uncommon
Nidorino δ,35/101,Uncommon
Quilava δ,36/101,Uncommon
Seadra δ,37/101,Uncommon
Shelgon δ,38/101,Uncommon
Smeargle δ,39/101,Uncommon
Swellow δ,40/101,Uncommon
Togepi δ,41/101,Uncommon
Vibrava δ,42/101,Uncommon
Bagon δ,43/101,Common
Chikorita δ,44/101,Common
Cyndaquil δ,45/101,Common
Dratini δ,46/101,Common
Ekans δ,47/101,Common
Elekid δ,48/101,Common
Feebas δ,49/101,Common
Horsea δ,50/101,Common
Larvitar,51/101,Common
Larvitar δ,52/101,Common
Ledyba δ,53/101,Common
Mareep δ,54/101,Common
Natu δ,55/101,Common
Nidoran ♀ δ,56/101,Common
Nidoran ♂ δ,57/101,Common
Pupitar,58/101,Common
Pupitar δ,59/101,Common
Ralts,60/101,Common
Ralts δ,61/101,Common
Seel δ,62/101,Common
Shellder δ,63/101,Common
Smoochum δ,64/101,Common
Swablu δ,65/101,Common
Taillow δ,66/101,Common
Totodile δ,67/101,Common
Trapinch δ,68/101,Common
Trapinch δ,69/101,Common
Vulpix δ,70/101,Common
Wooper δ,71/101,Common
Buffer Piece,72/101,Uncommon
Copycat,73/101,Uncommon
Holon Legacy,74/101,Uncommon
Holon Mentor,75/101,Uncommon
Island Hermit,76/101,Uncommon
Mr. Stone's Project,77/101,Uncommon
Old Rod,78/101,Uncommon
Professor Elm's Training Method,79/101,Uncommon
Professor Oak's Research,80/101,Uncommon
Strength Charm,81/101,Uncommon
TV Reporter,82/101,Uncommon
Switch,83/101,Common
Holon Energy FF,84/101,Rare
Holon Energy GL,85/101,Rare
Holon Energy WP,86/101,Rare
Boost Energy,87/101,Uncommon
δ Rainbow Energy,88/101,Uncommon
Scramble Energy,89/101,Uncommon
Altaria ex δ,90/101,Rare Holo EX
Dragonite ex δ,91/101,Rare Holo EX
Flygon ex δ,92/101,Rare Holo EX
Gardevoir ex δ,93/101,Rare Holo EX
Kingdra ex δ,94/101,Rare Holo EX
Latias ex δ,95/101,Rare Holo EX
Latios ex δ,96/101,Rare Holo EX
Rayquaza ex δ,97/101,Rare Holo EX
Salamence ex δ,98/101,Rare Holo EX
Tyranitar ex δ,99/101,Rare Holo EX
Charizard ★ δ,100/101,Rare Holo Star
Mew ★ δ,101/101,Rare Holo Star
