Name,Number,Rarity
Absol,1/97,Rare Holo
Altaria,2/97,Rare Holo
Crawdaunt,3/97,Rare Holo
Flygon,4/97,Rare Holo
Golem,5/97,Rare Holo
Grumpig,6/97,Rare Holo
Minun,7/97,Rare Holo
Plusle,8/97,Rare Holo
Roselia,9/97,Rare Holo
Salamence,10/97,Rare Holo
Shedinja,11/97,Rare Holo
Torkoal,12/97,Rare Holo
Crawdaunt,13/97,Rare
Dragonair,14/97,Rare
Flygon,15/97,Rare
Girafarig,16/97,Rare
Magneton,17/97,Rare
Ninjask,18/97,Rare
Salamence,19/97,Rare
Shelgon,20/97,Rare
Skarmory,21/97,Rare
Vibrava,22/97,Rare
Bagon,23/97,Uncommon
Camerupt,24/97,Uncommon
Combusken,25/97,Uncommon
Dratini,26/97,Uncommon
Flaaffy,27/97,Uncommon
Forretress,28/97,Uncommon
Graveler,29/97,Uncommon
Graveler,30/97,Uncommon
Grovyle,31/97,Uncommon
Gyarados,32/97,Uncommon
Horsea,33/97,Uncommon
Houndoom,34/97,Uncommon
Magneton,35/97,Uncommon
Marshtomp,36/97,Uncommon
Meditite,37/97,Uncommon
Ninjask,38/97,Uncommon
Seadra,39/97,Uncommon
Seadra,40/97,Uncommon
Shelgon,41/97,Uncommon
Shelgon,42/97,Uncommon
Shuppet,43/97,Uncommon
Snorunt,44/97,Uncommon
Swellow,45/97,Uncommon
Vibrava,46/97,Uncommon
Vibrava,47/97,Uncommon
Whiscash,48/97,Uncommon
Bagon,49/97,Common
Bagon,50/97,Common
Barboach,51/97,Common
Corphish,52/97,Common
Corphish,53/97,Common
Corphish,54/97,Common
Geodude,55/97,Common
Geodude,56/97,Common
Grimer,57/97,Common
Horsea,58/97,Common
Houndour,59/97,Common
Magikarp,60/97,Common
Magnemite,61/97,Common
Magnemite,62/97,Common
Magnemite,63/97,Common
Mareep,64/97,Common
Mudkip,65/97,Common
Nincada,66/97,Common
Nincada,67/97,Common
Nincada,68/97,Common
Numel,69/97,Common
Numel,70/97,Common
Pineco,71/97,Common
Slugma,72/97,Common
Spoink,73/97,Common
Spoink,74/97,Common
Swablu,75/97,Common
Taillow,76/97,Common
Torchic,77/97,Common
Trapinch,78/97,Common
Trapinch,79/97,Common
Treecko,80/97,Common
Wurmple,81/97,Common
Balloon Berry,82/97,Uncommon
Buffer Piece,83/97,Uncommon
Energy Recycle System,84/97,Uncommon
High Pressure System,85/97,Uncommon
Low Pressure System,86/97,Uncommon
Mr. Briney's Compassion,87/97,Uncommon
TV Reporter,88/97,Uncommon
Ampharos ex,89/97,Rare Holo EX
Dragonite ex,90/97,Rare Holo EX
Golem ex,91/97,Rare Holo EX
Kingdra ex,92/97,Rare Holo EX
Latias ex,93/97,Rare Holo EX
Latios ex,94/97,Rare Holo EX
Magcargo ex,95/97,Rare Holo EX
Muk ex,96/97,Rare Holo EX
Rayquaza ex,97/97,Rare Holo EX
Charmander,98/97,Rare Secret
Charmeleon,99/97,Rare Secret
Charizard,100/97,Rare Secret
