Name,Number,Rarity
Blaziken,1/106,Rare Holo
Deoxys,2/106,Rare Holo
Exploud,3/106,Rare Holo
Gardevoir,4/106,Rare Holo
Groudon,5/106,Rare Holo
Kyogre,6/106,Rare Holo
Manectric,7/106,Rare Holo
Milotic,8/106,Rare Holo
Rayquaza,9/106,Rare Holo
Sceptile,10/106,Rare Holo
Swampert,11/106,Rare Holo
Chimecho,12/106,Rare
Glalie,13/106,Rare
Groudon,14/106,Rare
Kyogre,15/106,Rare
Manectric,16/106,Rare
Nosepass,17/106,Rare
Relicanth,18/106,Rare
Rhydon,19/106,Rare
Seviper,20/106,Rare
Zangoose,21/106,Rare
Breloom,22/106,Uncommon
Camerupt,23/106,Uncommon
Claydol,24/106,Uncommon
Combusken,25/106,Uncommon
Dodrio,26/106,Uncommon
Electrode,27/106,Uncommon
Grovyle,28/106,Uncommon
Grumpig,29/106,Uncommon
Grumpig,30/106,Uncommon
Hariyama,31/106,Uncommon
Illumise,32/106,Uncommon
Kirlia,33/106,Uncommon
Linoone,34/106,Uncommon
Loudred,35/106,Uncommon
Marshtomp,36/106,Uncommon
Minun,37/106,Uncommon
Ninetales,38/106,Uncommon
Plusle,39/106,Uncommon
Swalot,40/106,Uncommon
Swellow,41/106,Uncommon
Volbeat,42/106,Uncommon
Baltoy,43/106,Common
Cacnea,44/106,Common
Doduo,45/106,Common
Duskull,46/106,Common
Electrike,47/106,Common
Electrike,48/106,Common
Feebas,49/106,Common
Feebas,50/106,Common
Gulpin,51/106,Common
Larvitar,52/106,Common
Luvdisc,53/106,Common
Makuhita,54/106,Common
Meditite,55/106,Common
Mudkip,56/106,Common
Numel,57/106,Common
Numel,58/106,Common
Pichu,59/106,Common
Pikachu,60/106,Common
Ralts,61/106,Common
Rhyhorn,62/106,Common
Shroomish,63/106,Common
Snorunt,64/106,Common
Spoink,65/106,Common
Spoink,66/106,Common
Swablu,67/106,Common
Taillow,68/106,Common
Torchic,69/106,Common
Treecko,70/106,Common
Voltorb,71/106,Common
Vulpix,72/106,Common
Whismur,73/106,Common
Zigzagoon,74/106,Common
Battle Frontier,75/106,Uncommon
Double Full Heal,76/106,Uncommon
Lanette's Net Search,77/106,Uncommon
Lum Berry,78/106,Uncommon
Mr. Stone's Project,79/106,Uncommon
Oran Berry,80/106,Uncommon
PokéNav,81/106,Uncommon
Professor Birch,82/106,Uncommon
Rare Candy,83/106,Uncommon
Scott,84/106,Uncommon
Wally's Training,85/106,Uncommon
Darkness Energy,86/106,Rare
Double Rainbow Energy,87/106,Rare
Metal Energy,88/106,Rare
Multi Energy,89/106,Rare
Altaria ex,90/106,Rare Holo EX
Cacturne ex,91/106,Rare Holo EX
Camerupt ex,92/106,Rare Holo EX
Deoxys ex,93/106,Rare Holo EX
Dusclops ex,94/106,Rare Holo EX
Medicham ex,95/106,Rare Holo EX
Milotic ex,96/106,Rare Holo EX
Raichu ex,97/106,Rare Holo EX
Regice ex,98/106,Rare Holo EX
Regirock ex,99/106,Rare Holo EX
Registeel ex,100/106,Rare Holo EX
Grass Energy,101/106,Rare Holo
Fire Energy,102/106,Rare Holo
Water Energy,103/106,Rare Holo
Lightning Energy,104/106,Rare Holo
Psychic Energy,105/106,Rare Holo
Fighting Energy,106/106,Rare Holo
Farfetch'd,107/106,Rare Secret
