Name,Number,Rarity
Beedrill,1/112,Rare Holo
Butterfree,2/112,Rare Holo
Dewgong,3/112,Rare Holo
Ditto,4/112,Rare Holo
Exeggutor,5/112,Rare Holo
Kangaskhan,6/112,Rare Holo
Marowak,7/112,Rare Holo
Nidoking,8/112,Rare Holo
Nidoqueen,9/112,Rare Holo
Pidgeot,10/112,Rare Holo
Poliwrath,11/112,Rare Holo
Raichu,12/112,Rare Holo
Rapidash,13/112,Rare Holo
Slowbro,14/112,Rare Holo
Snorlax,15/112,Rare Holo
Tauros,16/112,Rare Holo
Victreebel,17/112,Rare Holo
Arcanine,18/112,Rare
Chansey,19/112,Rare
Cloyster,20/112,Rare
Dodrio,21/112,Rare
Dugtrio,22/112,Rare
Farfetch'd,23/112,Rare
Fearow,24/112,Rare
Hypno,25/112,Rare
Kingler,26/112,Rare
Magneton,27/112,Rare
Primeape,28/112,Rare
Scyther,29/112,Rare
Tangela,30/112,Rare
Charmeleon,31/112,Uncommon
Drowzee,32/112,Uncommon
Exeggcute,33/112,Uncommon
Haunter,34/112,Uncommon
Ivysaur,35/112,Uncommon
Kakuna,36/112,Uncommon
Lickitung,37/112,Uncommon
Mankey,38/112,Uncommon
Metapod,39/112,Uncommon
Nidorina,40/112,Uncommon
Nidorino,41/112,Uncommon
Onix,42/112,Uncommon
Parasect,43/112,Uncommon
Persian,44/112,Uncommon
Pidgeotto,45/112,Uncommon
Poliwhirl,46/112,Uncommon
Porygon,47/112,Uncommon
Raticate,48/112,Uncommon
Venomoth,49/112,Uncommon
Wartortle,50/112,Uncommon
Weepinbell,51/112,Uncommon
Wigglytuff,52/112,Uncommon
Bellsprout,53/112,Common
Bulbasaur,54/112,Common
Bulbasaur,55/112,Common
Caterpie,56/112,Common
Charmander,57/112,Common
Charmander,58/112,Common
Clefairy,59/112,Common
Cubone,60/112,Common
Diglett,61/112,Common
Doduo,62/112,Common
Gastly,63/112,Common
Growlithe,64/112,Common
Jigglypuff,65/112,Common
Krabby,66/112,Common
Magikarp,67/112,Common
Magnemite,68/112,Common
Meowth,69/112,Common
Nidoran ♀,70/112,Common
Nidoran ♂,71/112,Common
Paras,72/112,Common
Pidgey,73/112,Common
Pikachu,74/112,Common
Poliwag,75/112,Common
Ponyta,76/112,Common
Rattata,77/112,Common
Seel,78/112,Common
Shellder,79/112,Common
Slowpoke,80/112,Common
Spearow,81/112,Common
Squirtle,82/112,Common
Squirtle,83/112,Common
Venonat,84/112,Common
Voltorb,85/112,Common
Weedle,86/112,Common
Bill's Maintenance,87/112,Uncommon
Celio's Network,88/112,Uncommon
Energy Removal 2,89/112,Uncommon
Energy Switch,90/112,Uncommon
EXP.ALL,91/112,Uncommon
Great Ball,92/112,Uncommon
Life Herb,93/112,Uncommon
Mt. Moon,94/112,Uncommon
Poké Ball,95/112,Uncommon
PokéDex HANDY909,96/112,Uncommon
Pokémon Reversal,97/112,Uncommon
Prof. Oak's Research,98/112,Uncommon
Super Scoop Up,99/112,Uncommon
VS Seeker,100/112,Uncommon
Potion,101/112,Common
Switch,102/112,Common
Multi Energy,103/112,Rare
Blastoise ex,104/112,Rare Holo EX
Charizard ex,105/112,Rare Holo EX
Clefable ex,106/112,Rare Holo EX
Electrode ex,107/112,Rare Holo EX
Gengar ex,108/112,Rare Holo EX
Gyarados ex,109/112,Rare Holo EX
Mr. Mime ex,110/112,Rare Holo EX
Mr. Mime ex,111/112,Rare Holo EX
Venusaur ex,112/112,Rare Holo EX
Charmander,113/112,Rare Secret
Articuno ex,114/112,Rare Secret
Moltres ex,115/112,Rare Secret
Zapdos ex,116/112,Rare Secret
