Name,Number,Rarity
Banette,1/101,Rare Holo
Claydol,2/101,Rare Holo
Crobat,3/101,Rare Holo
Dark Celebi,4/101,Rare Holo
Electrode,5/101,Rare Holo
Exploud,6/101,Rare Holo
Heracross,7/101,Rare Holo
Jirachi,8/101,Rare Holo
Machamp,9/101,Rare Holo
Medicham,10/101,Rare Holo
Metagross,11/101,Rare Holo
Milotic,12/101,Rare Holo
Pinsir,13/101,Rare Holo
Shiftry,14/101,Rare Holo
Walrein,15/101,Rare Holo
Bellossom,16/101,Rare
Chimecho,17/101,Rare
Gorebyss,18/101,Rare
Huntail,19/101,Rare
Masquerain,20/101,Rare
Metang,21/101,Rare
Ninetales,22/101,Rare
Rain Castform,23/101,Rare
Relicanth,24/101,Rare
Snow-cloud Castform,25/101,Rare
Sunny Castform,26/101,Rare
Tropius,27/101,Rare
Beldum,28/101,Uncommon
Beldum,29/101,Uncommon
Castform,30/101,Uncommon
Claydol,31/101,Uncommon
Corsola,32/101,Uncommon
Dodrio,33/101,Uncommon
Glalie,34/101,Uncommon
Gloom,35/101,Uncommon
Golbat,36/101,Uncommon
Igglybuff,37/101,Uncommon
Lanturn,38/101,Uncommon
Loudred,39/101,Uncommon
Luvdisc,40/101,Uncommon
Machoke,41/101,Uncommon
Medicham,42/101,Uncommon
Metang,43/101,Uncommon
Metang,44/101,Uncommon
Nuzleaf,45/101,Uncommon
Rhydon,46/101,Uncommon
Sealeo,47/101,Uncommon
Spinda,48/101,Uncommon
Starmie,49/101,Uncommon
Swalot,50/101,Uncommon
Tentacruel,51/101,Uncommon
Baltoy,52/101,Common
Baltoy,53/101,Common
Beldum,54/101,Common
Chikorita,55/101,Common
Chinchou,56/101,Common
Chinchou,57/101,Common
Clamperl,58/101,Common
Cyndaquil,59/101,Common
Doduo,60/101,Common
Feebas,61/101,Common
Gulpin,62/101,Common
Jigglypuff,63/101,Common
Machop,64/101,Common
Meditite,65/101,Common
Meditite,66/101,Common
Minun,67/101,Common
Oddish,68/101,Common
Plusle,69/101,Common
Rhyhorn,70/101,Common
Seedot,71/101,Common
Shuppet,72/101,Common
Snorunt,73/101,Common
Spheal,74/101,Common
Staryu,75/101,Common
Surskit,76/101,Common
Tentacool,77/101,Common
Togepi,78/101,Common
Totodile,79/101,Common
Voltorb,80/101,Common
Vulpix,81/101,Common
Whismur,82/101,Common
Zubat,83/101,Common
Ancient Technical Machine [Ice],84/101,Uncommon
Ancient Technical Machine [Rock],85/101,Uncommon
Ancient Technical Machine [Steel],86/101,Uncommon
Ancient Tomb,87/101,Uncommon
Desert Ruins,88/101,Uncommon
Island Cave,89/101,Uncommon
Life Herb,90/101,Uncommon
Magnetic Storm,91/101,Uncommon
Steven's Advice,92/101,Uncommon
Groudon ex,93/101,Rare Holo EX
Kyogre ex,94/101,Rare Holo EX
Metagross ex,95/101,Rare Holo EX
Ninetales ex,96/101,Rare Holo EX
Regice ex,97/101,Rare Holo EX
Regirock ex,98/101,Rare Holo EX
Registeel ex,99/101,Rare Holo EX
Vileplume ex,100/101,Rare Holo EX
Wigglytuff ex,101/101,Rare Holo EX
Groudon,102/101,Rare Secret
