Name,Number,Rarity
Armaldo δ,1/110,Rare Holo
Cradily δ,2/110,Rare Holo
Deoxys δ,3/110,Rare Holo
Deoxys δ,4/110,Rare Holo
Deoxys δ,5/110,Rare Holo
Deoxys δ,6/110,Rare Holo
Flygon δ,7/110,Rare Holo
Gyarados δ,8/110,Rare Holo
Kabutops δ,9/110,Rare Holo
Kingdra δ,10/110,Rare Holo
Latias δ,11/110,Rare Holo
Latios δ,12/110,Rare Holo
Omastar δ,13/110,Rare Holo
Pidgeot δ,14/110,Rare Holo
Raichu δ,15/110,Rare Holo
Rayquaza δ,16/110,Rare Holo
Vileplume δ,17/110,Rare Holo
Absol,18/110,Rare
Bellossom δ,19/110,Rare
Blaziken,20/110,Rare
Latias δ,21/110,Rare
Latios δ,22/110,Rare
Mawile,23/110,Rare
Mewtwo δ,24/110,Rare
Nosepass,25/110,Rare
Rayquaza δ,26/110,Rare
Regice,27/110,Rare
Regirock,28/110,Rare
Registeel,29/110,Rare
Relicanth,30/110,Rare
Sableye,31/110,Rare
Seviper,32/110,Rare
Torkoal,33/110,Rare
Zangoose,34/110,Rare
Aerodactyl δ,35/110,Uncommon
Camerupt,36/110,Uncommon
Chimecho δ,37/110,Uncommon
Claydol,38/110,Uncommon
Combusken,39/110,Uncommon
Donphan,40/110,Uncommon
Exeggutor δ,41/110,Uncommon
Gloom δ,42/110,Uncommon
Golduck δ,43/110,Uncommon
Holon's Castform,44/110,Uncommon
Lairon,45/110,Uncommon
Manectric,46/110,Uncommon
Masquerain,47/110,Uncommon
Persian δ,48/110,Uncommon
Pidgeotto δ,49/110,Uncommon
Primeape δ,50/110,Uncommon
Raichu,51/110,Uncommon
Seadra δ,52/110,Uncommon
Sharpedo δ,53/110,Uncommon
Vibrava δ,54/110,Uncommon
Whiscash,55/110,Uncommon
Wobbuffet,56/110,Uncommon
Anorith δ,57/110,Common
Aron,58/110,Common
Baltoy,59/110,Common
Barboach,60/110,Common
Carvanha δ,61/110,Common
Corphish,62/110,Common
Corphish,63/110,Common
Electrike,64/110,Common
Exeggcute δ,65/110,Common
Horsea δ,66/110,Common
Kabuto δ,67/110,Common
Lileep δ,68/110,Common
Magikarp δ,69/110,Common
Mankey δ,70/110,Common
Meowth δ,71/110,Common
Numel,72/110,Common
Oddish δ,73/110,Common
Omanyte δ,74/110,Common
Phanpy,75/110,Common
Pichu δ,76/110,Common
Pidgey δ,77/110,Common
Pikachu,78/110,Common
Pikachu δ,79/110,Common
Poochyena,80/110,Common
Psyduck δ,81/110,Common
Surskit,82/110,Common
Torchic,83/110,Common
Trapinch δ,84/110,Common
Holon Adventurer,85/110,Uncommon
Holon Fossil,86/110,Uncommon
Holon Lake,87/110,Uncommon
Mr. Stone's Project,88/110,Uncommon
Professor Cozmo's Discovery,89/110,Uncommon
Rare Candy,90/110,Uncommon
Claw Fossil,91/110,Common
Mysterious Fossil,92/110,Common
Root Fossil,93/110,Common
Darkness Energy,94/110,Rare
Metal Energy,95/110,Rare
Multi Energy,96/110,Rare
Dark Metal Energy,97/110,Uncommon
δ Rainbow Energy,98/110,Uncommon
Crawdaunt ex,99/110,Rare Holo EX
Mew ex,100/110,Rare Holo EX
Mightyena ex,101/110,Rare Holo EX
Gyarados ★ δ,102/110,Rare Holo Star
Mewtwo ★,103/110,Rare Holo Star
Pikachu ★,104/110,Rare Holo Star
Grass Energy,105/110,Rare Holo
Fire Energy,106/110,Rare Holo
Water Energy,107/110,Rare Holo
Lightning Energy,108/110,Rare Holo
Psychic Energy,109/110,Rare Holo
Fighting Energy,110/110,Rare Holo
Mew,111/110,Rare Secret
