Name,Number,Rarity
Aerodactyl,1/92,Rare Holo
Aggron,2/92,Rare Holo
Cradily,3/92,Rare Holo
Delcatty,4/92,Rare Holo
Gengar,5/92,Rare Holo
Golem,6/92,Rare Holo
Kabutops,7/92,Rare Holo
Lapras,8/92,Rare Holo
Machamp,9/92,Rare Holo
Mew,10/92,Rare Holo
Muk,11/92,Rare Holo
Shiftry,12/92,Rare Holo
Victreebel,13/92,Rare Holo
Wailord,14/92,Rare Holo
Absol,15/92,Rare
Girafarig,16/92,Rare
Gorebyss,17/92,Rare
Huntail,18/92,Rare
Lanturn,19/92,Rare
Lunatone,20/92,Rare
Magmar,21/92,Rare
Magneton,22/92,Rare
Omastar,23/92,Rare
Pinsir,24/92,Rare
Solrock,25/92,Rare
Spinda,26/92,Rare
Torkoal,27/92,Rare
Wobbuffet,28/92,Rare
Anorith,29/92,Uncommon
Cascoon,30/92,Uncommon
Dunsparce,31/92,Uncommon
Electrode,32/92,Uncommon
Furret,33/92,Uncommon
Graveler,34/92,Uncommon
Haunter,35/92,Uncommon
Kabuto,36/92,Uncommon
Kecleon,37/92,Uncommon
Lairon,38/92,Uncommon
Machoke,39/92,Uncommon
Misdreavus,40/92,Uncommon
Nuzleaf,41/92,Uncommon
Roselia,42/92,Uncommon
Sealeo,43/92,Uncommon
Tangela,44/92,Uncommon
Tentacruel,45/92,Uncommon
Vibrava,46/92,Uncommon
Weepinbell,47/92,Uncommon
Aron,48/92,Common
Bellsprout,49/92,Common
Chinchou,50/92,Common
Clamperl,51/92,Common
Gastly,52/92,Common
Geodude,53/92,Common
Grimer,54/92,Common
Growlithe,55/92,Common
Lileep,56/92,Common
Machop,57/92,Common
Magby,58/92,Common
Magnemite,59/92,Common
Omanyte,60/92,Common
Seedot,61/92,Common
Sentret,62/92,Common
Shuppet,63/92,Common
Skitty,64/92,Common
Spheal,65/92,Common
Tentacool,66/92,Common
Trapinch,67/92,Common
Voltorb,68/92,Common
Wailmer,69/92,Common
Wurmple,70/92,Common
Wynaut,71/92,Common
Cursed Stone,72/92,Uncommon
Fieldworker,73/92,Uncommon
Full Flame,74/92,Uncommon
Giant Stump,75/92,Uncommon
Power Tree,76/92,Uncommon
Strange Cave,77/92,Uncommon
Claw Fossil,78/92,Common
Mysterious Fossil,79/92,Common
Root Fossil,80/92,Common
Rainbow Energy,81/92,Rare
React Energy,82/92,Uncommon
Arcanine ex,83/92,Rare Holo EX
Armaldo ex,84/92,Rare Holo EX
Banette ex,85/92,Rare Holo EX
Dustox ex,86/92,Rare Holo EX
Flygon ex,87/92,Rare Holo EX
Mew ex,88/92,Rare Holo EX
Walrein ex,89/92,Rare Holo EX
Regice ★,90/92,Rare Holo Star
Regirock ★,91/92,Rare Holo Star
Registeel ★,92/92,Rare Holo Star
Pikachu δ,93/92,Rare Secret
