Name,Number,Rarity
Aggron,1/108,Rare Holo
Altaria,2/108,Rare Holo
Armaldo,3/108,Rare Holo
Banette,4/108,Rare Holo
Blaziken,5/108,Rare Holo
Charizard,6/108,Rare Holo
Cradily,7/108,Rare Holo
Delcatty,8/108,Rare Holo
Gardevoir,9/108,Rare Holo
Kabutops,10/108,Rare Holo
Machamp,11/108,Rare Holo
Raichu,12/108,Rare Holo
Slaking,13/108,Rare Holo
Dusclops,14/108,Rare
Lanturn,15/108,Rare
Magneton,16/108,Rare
Mawile,17/108,Rare
Mightyena,18/108,Rare
Ninetales,19/108,Rare
Omastar,20/108,Rare
Pichu,21/108,Rare
Sableye,22/108,Rare
Seviper,23/108,Rare
Wobbuffet,24/108,Rare
Zangoose,25/108,Rare
Anorith,26/108,Uncommon
Cacturne,27/108,Uncommon
Charmeleon,28/108,Uncommon
Combusken,29/108,Uncommon
Glalie,30/108,Uncommon
Kirlia,31/108,Uncommon
Lairon,32/108,Uncommon
Machoke,33/108,Uncommon
Medicham,34/108,Uncommon
Metang,35/108,Uncommon
Nuzleaf,36/108,Uncommon
Sealeo,37/108,Uncommon
Sharpedo,38/108,Uncommon
Shelgon,39/108,Uncommon
Vibrava,40/108,Uncommon
Vigoroth,41/108,Uncommon
Aron,42/108,Common
Bagon,43/108,Common
Baltoy,44/108,Common
Beldum,45/108,Common
Cacnea,46/108,Common
Carvanha,47/108,Common
Charmander,48/108,Common
Chinchou,49/108,Common
Duskull,50/108,Common
Kabuto,51/108,Common
Lileep,52/108,Common
Machop,53/108,Common
Magnemite,54/108,Common
Meditite,55/108,Common
Omanyte,56/108,Common
Pikachu,57/108,Common
Poochyena,58/108,Common
Ralts,59/108,Common
Seedot,60/108,Common
Shuppet,61/108,Common
Skitty,62/108,Common
Slakoth,63/108,Common
Snorunt,64/108,Common
Spheal,65/108,Common
Swablu,66/108,Common
Torchic,67/108,Common
Trapinch,68/108,Common
Vulpix,69/108,Common
Wynaut,70/108,Common
Battle Frontier,71/108,Uncommon
Drake's Stadium,72/108,Uncommon
Energy Recycle System,73/108,Uncommon
Energy Removal 2,74/108,Uncommon
Energy Switch,75/108,Uncommon
Glacia's Stadium,76/108,Uncommon
Great Ball,77/108,Uncommon
Master Ball,78/108,Uncommon
Phoebe's Stadium,79/108,Uncommon
Professor Birch,80/108,Uncommon
Scott,81/108,Uncommon
Sidney's Stadium,82/108,Uncommon
Steven's Advice,83/108,Uncommon
Claw Fossil,84/108,Common
Mysterious Fossil,85/108,Common
Root Fossil,86/108,Common
Darkness Energy,87/108,Rare
Metal Energy,88/108,Rare
Multi Energy,89/108,Rare
Cyclone Energy,90/108,Uncommon
Warp Energy,91/108,Uncommon
Absol ex,92/108,Rare Holo EX
Claydol ex,93/108,Rare Holo EX
Flygon ex,94/108,Rare Holo EX
Metagross ex,95/108,Rare Holo EX
Salamence ex,96/108,Rare Holo EX
Shiftry ex,97/108,Rare Holo EX
Skarmory ex,98/108,Rare Holo EX
Walrein ex,99/108,Rare Holo EX
Flareon ★,100/108,Rare Holo Star
Jolteon ★,101/108,Rare Holo Star
Vaporeon ★,102/108,Rare Holo Star
Grass Energy,103/108,Rare Holo
Fire Energy,104/108,Rare Holo
Water Energy,105/108,Rare Holo
Lightning Energy,106/108,Rare Holo
Psychic Energy,107/108,Rare Holo
Fighting Energy,108/108,Rare Holo
