Name,Number,Rarity
Aggron,1/109,Rare Holo
Beautifly,2/109,Rare Holo
Blaziken,3/109,Rare Holo
Camerupt,4/109,Rare Holo
Delcatty,5/109,Rare Holo
Dustox,6/109,Rare Holo
Gardevoir,7/109,Rare Holo
Hariyama,8/109,Rare Holo
Manectric,9/109,Rare Holo
Mightyena,10/109,Rare Holo
Sceptile,11/109,Rare Holo
Slaking,12/109,Rare Holo
Swampert,13/109,Rare Holo
Wailord,14/109,Rare Holo
Blaziken,15/109,Rare
Breloom,16/109,Rare
Donphan,17/109,Rare
Nosepass,18/109,Rare
Pelipper,19/109,Rare
Sceptile,20/109,Rare
Seaking,21/109,Rare
Sharpedo,22/109,Rare
Swampert,23/109,Rare
Weezing,24/109,Rare
Aron,25/109,Uncommon
Cascoon,26/109,Uncommon
Combusken,27/109,Uncommon
Combusken,28/109,Uncommon
Delcatty,29/109,Uncommon
Electrike,30/109,Uncommon
Grovyle,31/109,Uncommon
Grovyle,32/109,Uncommon
Hariyama,33/109,Uncommon
Kirlia,34/109,Uncommon
Kirlia,35/109,Uncommon
Lairon,36/109,Uncommon
Lairon,37/109,Uncommon
Linoone,38/109,Uncommon
Manectric,39/109,Uncommon
Marshtomp,40/109,Uncommon
Marshtomp,41/109,Uncommon
Mightyena,42/109,Uncommon
Silcoon,43/109,Uncommon
Skitty,44/109,Uncommon
Slakoth,45/109,Uncommon
Swellow,46/109,Uncommon
Vigoroth,47/109,Uncommon
Wailmer,48/109,Uncommon
Aron,49/109,Common
Aron,50/109,Common
Carvanha,51/109,Common
Electrike,52/109,Common
Electrike,53/109,Common
Koffing,54/109,Common
Goldeen,55/109,Common
Makuhita,56/109,Common
Makuhita,57/109,Common
Makuhita,58/109,Common
Mudkip,59/109,Common
Mudkip,60/109,Common
Numel,61/109,Common
Phanpy,62/109,Common
Poochyena,63/109,Common
Poochyena,64/109,Common
Poochyena,65/109,Common
Ralts,66/109,Common
Ralts,67/109,Common
Ralts,68/109,Common
Shroomish,69/109,Common
Skitty,70/109,Common
Skitty,71/109,Common
Taillow,72/109,Common
Torchic,73/109,Common
Torchic,74/109,Common
Treecko,75/109,Common
Treecko,76/109,Common
Wingull,77/109,Common
Wurmple,78/109,Common
Zigzagoon,79/109,Common
Energy Removal 2,80/109,Uncommon
Energy Restore,81/109,Uncommon
Energy Switch,82/109,Uncommon
Lady Outing,83/109,Uncommon
Lum Berry,84/109,Uncommon
Oran Berry,85/109,Uncommon
Poké Ball,86/109,Uncommon
Pokémon Reversal,87/109,Uncommon
PokéNav,88/109,Uncommon
Professor Birch,89/109,Uncommon
Energy Search,90/109,Common
Potion,91/109,Common
Switch,92/109,Common
Darkness Energy,93/109,Rare
Metal Energy,94/109,Rare
Rainbow Energy,95/109,Rare
Chansey ex,96/109,Rare Holo EX
Electabuzz ex,97/109,Rare Holo EX
Hitmonchan ex,98/109,Rare Holo EX
Lapras ex,99/109,Rare Holo EX
Magmar ex,100/109,Rare Holo EX
Mewtwo ex,101/109,Rare Holo EX
Scyther ex,102/109,Rare Holo EX
Sneasel ex,103/109,Rare Holo EX
Grass Energy,104/109,Common
Fighting Energy,105/109,Common
Water Energy,106/109,Common
Psychic Energy,107/109,Common
Fire Energy,108/109,Common
Lightning Energy,109/109,Common
