Name,Number,Rarity
Armaldo,1/100,Rare Holo
Cacturne,2/100,Rare Holo
Cradily,3/100,Rare Holo
Dusclops,4/100,Rare Holo
Flareon,5/100,Rare Holo
Jolteon,6/100,Rare Holo
Ludicolo,7/100,Rare Holo
Lunatone,8/100,Rare Holo
Mawile,9/100,Rare Holo
Sableye,10/100,Rare Holo
Seviper,11/100,Rare Holo
Shiftry,12/100,Rare Holo
Solrock,13/100,Rare Holo
Zangoose,14/100,Rare Holo
Arcanine,15/100,Rare
Espeon,16/100,Rare
Golduck,17/100,Rare
Kecleon,18/100,Rare
Omastar,19/100,Rare
Pichu,20/100,Rare
Sandslash,21/100,Rare
Shiftry,22/100,Rare
Steelix,23/100,Rare
Umbreon,24/100,Rare
Vaporeon,25/100,Rare
Wobbuffet,26/100,Rare
Anorith,27/100,Uncommon
Anorith,28/100,Uncommon
Arbok,29/100,Uncommon
Azumarill,30/100,Uncommon
Azurill,31/100,Uncommon
Baltoy,32/100,Uncommon
Breloom,33/100,Uncommon
Delcatty,34/100,Uncommon
Electabuzz,35/100,Uncommon
Elekid,36/100,Uncommon
Fearow,37/100,Uncommon
Illumise,38/100,Uncommon
Kabuto,39/100,Uncommon
Kirlia,40/100,Uncommon
Lairon,41/100,Uncommon
Lileep,42/100,Uncommon
Lileep,43/100,Uncommon
Linoone,44/100,Uncommon
Lombre,45/100,Uncommon
Lombre,46/100,Uncommon
Murkrow,47/100,Uncommon
Nuzleaf,48/100,Uncommon
Nuzleaf,49/100,Uncommon
Pelipper,50/100,Uncommon
Quilava,51/100,Uncommon
Vigoroth,52/100,Uncommon
Volbeat,53/100,Uncommon
Wynaut,54/100,Uncommon
Xatu,55/100,Uncommon
Aron,56/100,Common
Cacnea,57/100,Common
Cacnea,58/100,Common
Cyndaquil,59/100,Common
Dunsparce,60/100,Common
Duskull,61/100,Common
Duskull,62/100,Common
Eevee,63/100,Common
Ekans,64/100,Common
Growlithe,65/100,Common
Lotad,66/100,Common
Lotad,67/100,Common
Marill,68/100,Common
Natu,69/100,Common
Omanyte,70/100,Common
Onix,71/100,Common
Pikachu,72/100,Common
Psyduck,73/100,Common
Ralts,74/100,Common
Sandshrew,75/100,Common
Seedot,76/100,Common
Seedot,77/100,Common
Shroomish,78/100,Common
Skitty,79/100,Common
Slakoth,80/100,Common
Spearow,81/100,Common
Trapinch,82/100,Common
Wailmer,83/100,Common
Wingull,84/100,Common
Zigzagoon,85/100,Common
Double Full Heal,86/100,Uncommon
Lanette's Net Search,87/100,Uncommon
Rare Candy,88/100,Uncommon
Wally's Training,89/100,Uncommon
Claw Fossil,90/100,Common
Mysterious Fossil,91/100,Common
Root Fossil,92/100,Common
Multi Energy,93/100,Rare
Aerodactyl ex,94/100,Rare Holo EX
Aggron ex,95/100,Rare Holo EX
Gardevoir ex,96/100,Rare Holo EX
Kabutops ex,97/100,Rare Holo EX
Raichu ex,98/100,Rare Holo EX
Typhlosion ex,99/100,Rare Holo EX
Wailord ex,100/100,Rare Holo EX
