Name,Number,Rarity
Ampharos,1/115,Rare Holo
Ariados,2/115,Rare Holo
Bellossom,3/115,Rare Holo
Feraligatr,4/115,Rare Holo
Flareon,5/115,Rare Holo
Forretress,6/115,Rare Holo
Houndoom,7/115,Rare Holo
Jolteon,8/115,Rare Holo
Meganium,9/115,Rare Holo
Octillery,10/115,Rare Holo
Poliwrath,11/115,Rare Holo
Porygon2,12/115,Rare Holo
Slowbro,13/115,Rare Holo
Slowking,14/115,Rare Holo
Sudowoodo,15/115,Rare Holo
Sunflora,16/115,Rare Holo
Typhlosion,17/115,Rare Holo
Ursaring,18/115,Rare Holo
Vaporeon,19/115,Rare Holo
Chansey,20/115,Rare
Cleffa,21/115,Rare
Electabuzz,22/115,Rare
Elekid,23/115,Rare
Hitmonchan,24/115,Rare
Hitmonlee,25/115,Rare
Hitmontop,26/115,Rare
Ho-Oh,27/115,Rare
Jynx,28/115,Rare
Lugia,29/115,Rare
Murkrow,30/115,Rare
Smoochum,31/115,Rare
Stantler,32/115,Rare
Tyrogue,33/115,Rare
Aipom,34/115,Uncommon
Bayleef,35/115,Uncommon
Clefable,36/115,Uncommon
Corsola,37/115,Uncommon
Croconaw,38/115,Uncommon
Granbull,39/115,Uncommon
Lanturn,40/115,Uncommon
Magcargo,41/115,Uncommon
Miltank,42/115,Uncommon
Noctowl,43/115,Uncommon
Quagsire,44/115,Uncommon
Quilava,45/115,Uncommon
Scyther,46/115,Uncommon
Shuckle,47/115,Uncommon
Smeargle,48/115,Uncommon
Xatu,49/115,Uncommon
Yanma,50/115,Uncommon
Chikorita,51/115,Common
Chinchou,52/115,Common
Clefairy,53/115,Common
Cyndaquil,54/115,Common
Eevee,55/115,Common
Flaaffy,56/115,Common
Gligar,57/115,Common
Gloom,58/115,Common
Hoothoot,59/115,Common
Houndour,60/115,Common
Larvitar,61/115,Common
Mareep,62/115,Common
Natu,63/115,Common
Oddish,64/115,Common
Onix,65/115,Common
Pineco,66/115,Common
Poliwag,67/115,Common
Poliwhirl,68/115,Common
Porygon,69/115,Common
Pupitar,70/115,Common
Remoraid,71/115,Common
Slowpoke,72/115,Common
Slugma,73/115,Common
Snubbull,74/115,Common
Spinarak,75/115,Common
Sunkern,76/115,Common
Teddiursa,77/115,Common
Totodile,78/115,Common
Wooper,79/115,Common
Curse Powder,80/115,Uncommon
Energy Recycle System,81/115,Uncommon
Energy Removal 2,82/115,Uncommon
Energy Root,83/115,Uncommon
Energy Switch,84/115,Uncommon
Fluffy Berry,85/115,Uncommon
Mary's Request,86/115,Uncommon
Poké Ball,87/115,Uncommon
Pokémon Reversal,88/115,Uncommon
Professor Elm's Training Method,89/115,Uncommon
Protective Orb,90/115,Uncommon
Sitrus Berry,91/115,Uncommon
Solid Rage,92/115,Uncommon
Warp Point,93/115,Uncommon
Energy Search,94/115,Common
Potion,95/115,Common
Darkness Energy,96/115,Rare
Metal Energy,97/115,Rare
Boost Energy,98/115,Uncommon
Cyclone Energy,99/115,Uncommon
Warp Energy,100/115,Uncommon
Blissey ex,101/115,Rare Holo EX
Espeon ex,102/115,Rare Holo EX
Feraligatr ex,103/115,Rare Holo EX
Ho-Oh ex,104/115,Rare Holo EX
Lugia ex,105/115,Rare Holo EX
Meganium ex,106/115,Rare Holo EX
Politoed ex,107/115,Rare Holo EX
Scizor ex,108/115,Rare Holo EX
Steelix ex,109/115,Rare Holo EX
Typhlosion ex,110/115,Rare Holo EX
Tyranitar ex,111/115,Rare Holo EX
Umbreon ex,112/115,Rare Holo EX
Entei ★,113/115,Rare Holo Star
Raikou ★,114/115,Rare Holo Star
Suicune ★,115/115,Rare Holo Star
Rocket's Persian ex,116/115,Rare Secret
Celebi ex,117/115,Rare Secret
Unown,A/115,Rare
Unown,B/115,Rare
Unown,C/115,Rare
Unown,D/115,Rare
Unown,E/115,Rare
Unown,F/115,Rare
Unown,G/115,Rare
Unown,H/115,Rare
Unown,I/115,Rare
Unown,J/115,Rare
Unown,K/115,Rare
Unown,L/115,Rare
Unown,M/115,Rare
Unown,N/115,Rare
Unown,O/115,Rare
Unown,P/115,Rare
Unown,Q/115,Rare
Unown,R/115,Rare
Unown,S/115,Rare
Unown,T/115,Rare
Unown,U/115,Rare
Unown,V/115,Rare
Unown,W/115,Rare
Unown,X/115,Rare
Unown,Y/115,Rare
Unown,Z/115,Rare
Unown,!/115,Rare
Unown,?/115,Rare
