Name,Number,Rarity
Blaine's Arcanine,1/132,Rare Holo
Blaine's Charizard,2/132,Rare Holo
Brock's Ninetales,3/132,Rare Holo
Erika's Venusaur,4/132,Rare Holo
Giovanni's Gyarados,5/132,Rare Holo
Giovanni's Machamp,6/132,Rare Holo
Giovanni's Nidoking,7/132,Rare Holo
Giovanni's Persian,8/132,Rare Holo
Koga's Beedrill,9/132,Rare Holo
Koga's Ditto,10/132,Rare Holo
Lt. Surge's Raichu,11/132,Rare Holo
Misty's Golduck,12/132,Rare Holo
Misty's Gyarados,13/132,Rare Holo
Rocket's Mewtwo,14/132,Rare Holo
Rocket's Zapdos,15/132,Rare Holo
Sabrina's Alakazam,16/132,Rare Holo
Blaine,17/132,Rare Holo
Giovanni,18/132,Rare Holo
Koga,19/132,Rare Holo
Sabrina,20/132,Rare Holo
Blaine's Ninetales,21/132,Rare
Brock's Dugtrio,22/132,Rare
Giovanni's Nidoqueen,23/132,Rare
Giovanni's Pinsir,24/132,Rare
Koga's Arbok,25/132,Rare
Koga's Muk,26/132,Rare
Koga's Pidgeotto,27/132,Rare
Lt. Surge's Jolteon,28/132,Rare
Sabrina's Gengar,29/132,Rare
Sabrina's Golduck,30/132,Rare
Blaine's Charmeleon,31/132,Uncommon
Blaine's Dodrio,32/132,Uncommon
Blaine's Rapidash,33/132,Uncommon
Brock's Graveler,34/132,Uncommon
Brock's Primeape,35/132,Uncommon
Brock's Sandslash,36/132,Uncommon
Brock's Vulpix,37/132,Uncommon
Erika's Bellsprout,38/132,Uncommon
Erika's Bulbasaur,39/132,Uncommon
Erika's Clefairy,40/132,Uncommon
Erika's Ivysaur,41/132,Uncommon
Giovanni's Machoke,42/132,Uncommon
Giovanni's Meowth,43/132,Uncommon
Giovanni's Nidorina,44/132,Uncommon
Giovanni's Nidorino,45/132,Uncommon
Koga's Golbat,46/132,Uncommon
Koga's Kakuna,47/132,Uncommon
Koga's Koffing,48/132,Uncommon
Koga's Pidgey,49/132,Uncommon
Koga's Weezing,50/132,Uncommon
Lt. Surge's Eevee,51/132,Uncommon
Lt. Surge's Electrode,52/132,Uncommon
Lt. Surge's Raticate,53/132,Uncommon
Misty's Dewgong,54/132,Uncommon
Sabrina's Haunter,55/132,Uncommon
Sabrina's Hypno,56/132,Uncommon
Sabrina's Jynx,57/132,Uncommon
Sabrina's Kadabra,58/132,Uncommon
Sabrina's Mr. Mime,59/132,Uncommon
Blaine's Charmander,60/132,Common
Blaine's Doduo,61/132,Common
Blaine's Growlithe,62/132,Common
Blaine's Mankey,63/132,Common
Blaine's Ponyta,64/132,Common
Blaine's Rhyhorn,65/132,Common
Blaine's Vulpix,66/132,Common
Brock's Diglett,67/132,Common
Brock's Geodude,68/132,Common
Erika's Jigglypuff,69/132,Common
Erika's Oddish,70/132,Common
Erika's Paras,71/132,Common
Giovanni's Machop,72/132,Common
Giovanni's Magikarp,73/132,Common
Giovanni's Meowth,74/132,Common
Giovanni's Nidoran ♀,75/132,Common
Giovanni's Nidoran ♂,76/132,Common
Koga's Ekans,77/132,Common
Koga's Grimer,78/132,Common
Koga's Koffing,79/132,Common
Koga's Pidgey,80/132,Common
Koga's Tangela,81/132,Common
Koga's Weedle,82/132,Common
Koga's Zubat,83/132,Common
Lt. Surge's Pikachu,84/132,Common
Lt. Surge's Rattata,85/132,Common
Lt. Surge's Voltorb,86/132,Common
Misty's Horsea,87/132,Common
Misty's Magikarp,88/132,Common
Misty's Poliwag,89/132,Common
Misty's Psyduck,90/132,Common
Misty's Seel,91/132,Common
Misty's Staryu,92/132,Common
Sabrina's Abra,93/132,Common
Sabrina's Abra,94/132,Common
Sabrina's Drowzee,95/132,Common
Sabrina's Gastly,96/132,Common
Sabrina's Gastly,97/132,Common
Sabrina's Porygon,98/132,Common
Sabrina's Psyduck,99/132,Common
Blaine,100/132,Rare
Brock's Protection,101/132,Rare
Chaos Gym,102/132,Rare
Erika's Kindness,103/132,Rare
Giovanni,104/132,Rare
Giovanni's Last Resort,105/132,Rare
Koga,106/132,Rare
Lt. Surge's Secret Plan,107/132,Rare
Misty's Wish,108/132,Rare
Resistance Gym,109/132,Rare
Sabrina,110/132,Rare
Blaine's Quiz #2,111/132,Uncommon
Blaine's Quiz #3,112/132,Uncommon
Cinnabar City Gym,113/132,Uncommon
Fuchsia City Gym,114/132,Uncommon
Koga's Ninja Trick,115/132,Uncommon
Master Ball,116/132,Uncommon
Max Revive,117/132,Uncommon
Misty's Tears,118/132,Uncommon
Rocket's Minefield Gym,119/132,Uncommon
Rocket's Secret Experiment,120/132,Uncommon
Sabrina's Psychic Control,121/132,Uncommon
Saffron City Gym,122/132,Uncommon
Viridian City Gym,123/132,Uncommon
Fervor,124/132,Common
Transparent Walls,125/132,Common
Warp Point,126/132,Common
Fighting Energy,127/132,
Fire Energy,128/132,
Grass Energy,129/132,
Lightning Energy,130/132,
Psychic Energy,131/132,
Water Energy,132/132,
