Name,Number,Rarity
Blaine's Moltres,1/132,Rare Holo
Brock's Rhydon,2/132,Rare Holo
Erika's Clefable,3/132,Rare Holo
Erika's Dragonair,4/132,Rare Holo
Erika's Vileplume,5/132,Rare Holo
Lt. Surge's Electabuzz,6/132,Rare Holo
Lt. Surge's Fearow,7/132,Rare Holo
Lt. Surge's Magneton,8/132,Rare Holo
Misty's Seadra,9/132,Rare Holo
Misty's Tentacruel,10/132,Rare Holo
Rocket's Hitmonchan,11/132,Rare Holo
Rocket's Moltres,12/132,Rare Holo
Rocket's Scyther,13/132,Rare Holo
Sabrina's Gengar,14/132,Rare Holo
Brock,15/132,Rare Holo
Erika,16/132,Rare Holo
Lt. Surge,17/132,Rare Holo
Misty,18/132,Rare Holo
The Rocket's Trap,19/132,Rare Holo
Brock's Golem,20/132,Rare
Brock's Onix,21/132,Rare
Brock's Rhyhorn,22/132,Rare
Brock's Sandslash,23/132,Rare
Brock's Zubat,24/132,Rare
Erika's Clefairy,25/132,Rare
Erika's Victreebel,26/132,Rare
Lt. Surge's Electabuzz,27/132,Rare
Lt. Surge's Raichu,28/132,Rare
Misty's Cloyster,29/132,Rare
Misty's Goldeen,30/132,Rare
Misty's Poliwrath,31/132,Rare
Misty's Tentacool,32/132,Rare
Rocket's Snorlax,33/132,Rare
Sabrina's Venomoth,34/132,Rare
Blaine's Growlithe,35/132,Uncommon
Blaine's Kangaskhan,36/132,Uncommon
Blaine's Magmar,37/132,Uncommon
Brock's Geodude,38/132,Uncommon
Brock's Golbat,39/132,Uncommon
Brock's Graveler,40/132,Uncommon
Brock's Lickitung,41/132,Uncommon
Erika's Dratini,42/132,Uncommon
Erika's Exeggcute,43/132,Uncommon
Erika's Exeggutor,44/132,Uncommon
Erika's Gloom,45/132,Uncommon
Erika's Gloom,46/132,Uncommon
Erika's Oddish,47/132,Uncommon
Erika's Weepinbell,48/132,Uncommon
Erika's Weepinbell,49/132,Uncommon
Lt. Surge's Magnemite,50/132,Uncommon
Lt. Surge's Raticate,51/132,Uncommon
Lt. Surge's Spearow,52/132,Uncommon
Misty's Poliwhirl,53/132,Uncommon
Misty's Psyduck,54/132,Uncommon
Misty's Seaking,55/132,Uncommon
Misty's Starmie,56/132,Uncommon
Misty's Tentacool,57/132,Uncommon
Sabrina's Haunter,58/132,Uncommon
Sabrina's Jynx,59/132,Uncommon
Sabrina's Slowbro,60/132,Uncommon
Blaine's Charmander,61/132,Common
Blaine's Growlithe,62/132,Common
Blaine's Ponyta,63/132,Common
Blaine's Tauros,64/132,Common
Blaine's Vulpix,65/132,Common
Brock's Geodude,66/132,Common
Brock's Mankey,67/132,Common
Brock's Mankey,68/132,Common
Brock's Onix,69/132,Common
Brock's Rhyhorn,70/132,Common
Brock's Sandshrew,71/132,Common
Brock's Sandshrew,72/132,Common
Brock's Vulpix,73/132,Common
Brock's Zubat,74/132,Common
Erika's Bellsprout,75/132,Common
Erika's Bellsprout,76/132,Common
Erika's Exeggcute,77/132,Common
Erika's Oddish,78/132,Common
Erika's Tangela,79/132,Common
Lt. Surge's Magnemite,80/132,Common
Lt. Surge's Pikachu,81/132,Common
Lt. Surge's Rattata,82/132,Common
Lt. Surge's Spearow,83/132,Common
Lt. Surge's Voltorb,84/132,Common
Misty's Goldeen,85/132,Common
Misty's Horsea,86/132,Common
Misty's Poliwag,87/132,Common
Misty's Seel,88/132,Common
Misty's Shellder,89/132,Common
Misty's Staryu,90/132,Common
Sabrina's Abra,91/132,Common
Sabrina's Drowzee,92/132,Common
Sabrina's Gastly,93/132,Common
Sabrina's Mr. Mime,94/132,Common
Sabrina's Slowpoke,95/132,Common
Sabrina's Venonat,96/132,Common
Blaine's Quiz #1,97/132,Rare
Brock,98/132,Rare
Charity,99/132,Rare
Erika,100/132,Rare
Lt. Surge,101/132,Rare
Misty,102/132,Rare
No Removal Gym,103/132,Rare
The Rocket's Training Gym,104/132,Rare
Blaine's Last Resort,105/132,Uncommon
Brock's Training Method,106/132,Uncommon
Celadon City Gym,107/132,Uncommon
Cerulean City Gym,108/132,Uncommon
Erika's Maids,109/132,Uncommon
Erika's Perfume,110/132,Uncommon
Good Manners,111/132,Uncommon
Lt. Surge's Treaty,112/132,Uncommon
Minion of Team Rocket,113/132,Uncommon
Misty's Wrath,114/132,Uncommon
Pewter City Gym,115/132,Uncommon
Recall,116/132,Uncommon
Sabrina's ESP,117/132,Uncommon
Secret Mission,118/132,Uncommon
Tickling Machine,119/132,Uncommon
Vermilion City Gym,120/132,Uncommon
Blaine's Gamble,121/132,Common
Energy Flow,122/132,Common
Misty's Duel,123/132,Common
Narrow Gym,124/132,Common
Sabrina's Gaze,125/132,Common
Trash Exchange,126/132,Common
Fighting Energy,127/132,
Fire Energy,128/132,
Grass Energy,129/132,
Lightning Energy,130/132,
Psychic Energy,131/132,
Water Energy,132/132,
