Name,Number,Rarity
Clefable,1/95,Rare Holo
Deoxys,2/95,Rare Holo
Dialga,3/95,Rare Holo
Espeon,4/95,Rare Holo
Forretress,5/95,Rare Holo
Groudon,6/95,Rare Holo
Gyarados,7/95,Rare Holo
Hitmontop,8/95,Rare Holo
Ho-Oh,9/95,Rare Holo
Houndoom,10/95,Rare Holo
Jirachi,11/95,Rare Holo
Kyogre,12/95,Rare Holo
Leafeon,13/95,Rare Holo
Lucario,14/95,Rare Holo
Lugia,15/95,Rare Holo
Magmortar,16/95,Rare Holo
Ninetales,17/95,Rare Holo
Pachirisu,18/95,Rare Holo
Palkia,19/95,Rare Holo
Rayquaza,20/95,Rare Holo
Smeargle,21/95,Rare Holo
Umbreon,22/95,Rare Holo
Ampharos,23/95,Rare
Cleffa,24/95,Rare
Feraligatr,25/95,Rare
Granbull,26/95,Rare
Meganium,27/95,Rare
Mismagius,28/95,Rare
Mr. Mime,29/95,Rare
Pidgeot,30/95,Rare
Skarmory,31/95,Rare
Slowking,32/95,Rare
Snorlax,33/95,Rare
Tangrowth,34/95,Rare
Typhlosion,35/95,Rare
Tyrogue,36/95,Rare
Ursaring,37/95,Rare
Weezing,38/95,Rare
Zangoose,39/95,Rare
Bayleef,40/95,Uncommon
Croconaw,41/95,Uncommon
Donphan,42/95,Uncommon
Flaaffy,43/95,Uncommon
Flareon,44/95,Uncommon
Jolteon,45/95,Uncommon
Magby,46/95,Uncommon
Mime Jr.,47/95,Uncommon
Pidgeotto,48/95,Uncommon
Quilava,49/95,Uncommon
Riolu,50/95,Uncommon
Seviper,51/95,Uncommon
Vaporeon,52/95,Uncommon
Chikorita,53/95,Common
Clefairy,54/95,Common
Cyndaquil,55/95,Common
Eevee,56/95,Common
Hitmonchan,57/95,Common
Hitmonlee,58/95,Common
Houndour,59/95,Common
Koffing,60/95,Common
Magikarp,61/95,Common
Magmar,62/95,Common
Mareep,63/95,Common
Mawile,64/95,Common
Misdreavus,65/95,Common
Phanpy,66/95,Common
Pidgey,67/95,Common
Pineco,68/95,Common
Relicanth,69/95,Common
Slowpoke,70/95,Common
Snubbull,71/95,Common
Tangela,72/95,Common
Teddiursa,73/95,Common
Totodile,74/95,Common
Vulpix,75/95,Common
Cheerleader's Cheer,76/95,Uncommon
Copycat,77/95,Uncommon
Dual Ball,78/95,Uncommon
Interviewer's Questions,79/95,Uncommon
Lost Remover,80/95,Uncommon
Lost World,81/95,Uncommon
Professor Elm's Training Method,82/95,Uncommon
Professor Oak's New Theory,83/95,Uncommon
Research Record,84/95,Uncommon
Sage's Training,85/95,Uncommon
Darkness Energy,86/95,Uncommon
Metal Energy,87/95,Uncommon
Grass Energy,88/95,Common
Fire Energy,89/95,Common
Water Energy,90/95,Common
Lightning Energy,91/95,Common
Psychic Energy,92/95,Common
Fighting Energy,93/95,Common
Darkness Energy,94/95,Common
Metal Energy,95/95,Common
Deoxys,SL1/95,Rare Holo
Dialga,SL2/95,Rare Holo
Entei,SL3/95,Rare Holo
Groudon,SL4/95,Rare Holo
Ho-Oh,SL5/95,Rare Holo
Kyogre,SL6/95,Rare Holo
Lugia,SL7/95,Rare Holo
Palkia,SL8/95,Rare Holo
Raikou,SL9/95,Rare Holo
Rayquaza,SL10/95,Rare Holo
Suicune,SL11/95,Rare Holo
