Name,Number,Rarity
Ho-Oh,HGSS01/25,Promo
Lugia,HGSS02/25,Promo
Pikachu,HGSS03/25,Promo
Wobbuffet,HGSS04/25,Promo
Hoothoot,HGSS05/25,Promo
Noctowl,HGSS06/25,Promo
Feraligatr,HGSS07/25,Promo
Meganium,HGSS08/25,Promo
Typhlosion,HGSS09/25,Promo
Latias,HGSS10/25,Promo
Latios,HGSS11/25,Promo
Cleffa,HGSS12/25,Promo
Smoochum,HGSS13/25,Promo
Lapras,HGSS14/25,Promo
Shuckle,HGSS15/25,Promo
Plusle,HGSS16/25,Promo
Minun,HGSS17/25,Promo
Tropical Tidal Wave,HGSS18/25,Promo
Raikou,HGSS19/25,Promo
Entei,HGSS20/25,Promo
Suicune,HGSS21/25,Promo
Porygon,HGSS22/25,Promo
Porygon2,HGSS23/25,Promo
Hitmonchan,HGSS24/25,Promo
Hitmonlee,HGSS25/25,Promo
