Name,Number,Rarity
Aggron,1/102,Rare Holo
Altaria,2/102,Rare Holo
Celebi,3/102,Rare Holo
Drapion,4/102,Rare Holo
Mamoswine,5/102,Rare Holo
Nidoking,6/102,Rare Holo
Porygon-Z,7/102,Rare Holo
Rapidash,8/102,Rare Holo
Solrock,9/102,Rare Holo
Spiritomb,10/102,Rare Holo
Venomoth,11/102,Rare Holo
Victreebel,12/102,Rare Holo
Ambipom,13/102,Rare
Banette,14/102,Rare
Bronzong,15/102,Rare
Carnivine,16/102,Rare
Ditto,17/102,Rare
Dragonite,18/102,Rare
Dugtrio,19/102,Rare
Electivire,20/102,Rare
Elekid,21/102,Rare
Golduck,22/102,Rare
Grumpig,23/102,Rare
Kricketune,24/102,Rare
Lunatone,25/102,Rare
Machamp,26/102,Rare
Magmortar,27/102,Rare
Nidoqueen,28/102,Rare
Pidgeot,29/102,Rare
Sharpedo,30/102,Rare
Wailord,31/102,Rare
Dragonair,32/102,Uncommon
Electabuzz,33/102,Uncommon
Electrode,34/102,Uncommon
Haunter,35/102,Uncommon
Kangaskhan,36/102,Uncommon
Lairon,37/102,Uncommon
Lickilicky,38/102,Uncommon
Luvdisc,39/102,Uncommon
Machoke,40/102,Uncommon
Magby,41/102,Uncommon
Magmar,42/102,Uncommon
Magneton,43/102,Uncommon
Marowak,44/102,Uncommon
Nidorina,45/102,Uncommon
Nidorino,46/102,Uncommon
Pidgeotto,47/102,Uncommon
Piloswine,48/102,Uncommon
Porygon2,49/102,Uncommon
Tentacruel,50/102,Uncommon
Unown,51/102,Uncommon
Wailmer,52/102,Uncommon
Weepinbell,53/102,Uncommon
Yanmega,54/102,Uncommon
Aipom,55/102,Common
Aron,56/102,Common
Bellsprout,57/102,Common
Bronzor,58/102,Common
Carvanha,59/102,Common
Cubone,60/102,Common
Diglett,61/102,Common
Dratini,62/102,Common
Gastly,63/102,Common
Illumise,64/102,Common
Kricketot,65/102,Common
Lickitung,66/102,Common
Machop,67/102,Common
Magnemite,68/102,Common
Nidoran ♀,69/102,Common
Nidoran ♂,70/102,Common
Pidgey,71/102,Common
Ponyta,72/102,Common
Porygon,73/102,Common
Psyduck,74/102,Common
Shuppet,75/102,Common
Skorupi,76/102,Common
Spoink,77/102,Common
Swablu,78/102,Common
Swinub,79/102,Common
Tentacool,80/102,Common
Venonat,81/102,Common
Volbeat,82/102,Common
Voltorb,83/102,Common
Yanma,84/102,Common
Black Belt,85/102,Uncommon
Indigo Plateau,86/102,Uncommon
Junk Arm,87/102,Uncommon
Seeker,88/102,Uncommon
Twins,89/102,Uncommon
Rescue Energy,90/102,Uncommon
Absol,91/102,Rare Prime
Celebi,92/102,Rare Prime
Electrode,93/102,Rare Prime
Gengar,94/102,Rare Prime
Machamp,95/102,Rare Prime
Magnezone,96/102,Rare Prime
Mew,97/102,Rare Prime
Yanmega,98/102,Rare Prime
Darkrai & Cresselia LEGEND,99/102,LEGEND
Darkrai & Cresselia LEGEND,100/102,LEGEND
Palkia & Dialga LEGEND,101/102,LEGEND
Palkia & Dialga LEGEND,102/102,LEGEND
Alph Lithograph,FOUR/102,Rare Secret
