Name,Number,Rarity
Bellossom,1/90,Rare Holo
Espeon,2/90,Rare Holo
Forretress,3/90,Rare Holo
Gliscor,4/90,Rare Holo
Houndoom,5/90,Rare Holo
Magcargo,6/90,Rare Holo
Scizor,7/90,Rare Holo
Smeargle,8/90,Rare Holo
Togekiss,9/90,Rare Holo
Umbreon,10/90,Rare Holo
Dodrio,11/90,Rare
Drifblim,12/90,Rare
Forretress,13/90,Rare
Hariyama,14/90,Rare
Honchkrow,15/90,Rare
Honchkrow,16/90,Rare
Leafeon,17/90,Rare
Metagross,18/90,Rare
Mismagius,19/90,Rare
Rotom,20/90,Rare
Skarmory,21/90,Rare
Tropius,22/90,Rare
Vespiquen,23/90,Rare
Vileplume,24/90,Rare
Weavile,25/90,Rare
Flareon,26/90,Uncommon
Gloom,27/90,Uncommon
Jolteon,28/90,Uncommon
Lairon,29/90,Uncommon
Metang,30/90,Uncommon
Muk,31/90,Uncommon
Pinsir,32/90,Uncommon
Raichu,33/90,Uncommon
Raticate,34/90,Uncommon
Sableye,35/90,Uncommon
Scyther,36/90,Uncommon
Skuntank,37/90,Uncommon
Slowbro,38/90,Uncommon
Togetic,39/90,Uncommon
Unown,40/90,Uncommon
Vaporeon,41/90,Uncommon
Aron,42/90,Common
Beldum,43/90,Common
Combee,44/90,Common
Doduo,45/90,Common
Drifloon,46/90,Common
Eevee,47/90,Common
Eevee,48/90,Common
Gligar,49/90,Common
Grimer,50/90,Common
Hitmonchan,51/90,Common
Hitmonlee,52/90,Common
Houndour,53/90,Common
Houndour,54/90,Common
Makuhita,55/90,Common
Mawile,56/90,Common
Misdreavus,57/90,Common
Murkrow,58/90,Common
Murkrow,59/90,Common
Oddish,60/90,Common
Pikachu,61/90,Common
Pineco,62/90,Common
Pineco,63/90,Common
Rattata,64/90,Common
Scyther,65/90,Common
Slowpoke,66/90,Common
Slugma,67/90,Common
Sneasel,68/90,Common
Stunky,69/90,Common
Togepi,70/90,Common
Burned Tower,71/90,Uncommon
Defender,72/90,Uncommon
Energy Exchanger,73/90,Uncommon
Flower Shop Lady,74/90,Uncommon
Legend Box,75/90,Uncommon
Ruins of Alph,76/90,Uncommon
Sage's Training,77/90,Uncommon
Team Rocket's Trickery,78/90,Uncommon
Darkness Energy,79/90,Uncommon
Metal Energy,80/90,Uncommon
Espeon,81/90,Rare Prime
Houndoom,82/90,Rare Prime
Raichu,83/90,Rare Prime
Scizor,84/90,Rare Prime
Slowking,85/90,Rare Prime
Umbreon,86/90,Rare Prime
Kyogre & Groudon LEGEND,87/90,LEGEND
Kyogre & Groudon LEGEND,88/90,LEGEND
Rayquaza & Deoxys LEGEND,89/90,LEGEND
Rayquaza & Deoxys LEGEND,90/90,LEGEND
Alph Lithograph,THREE/90,Rare Secret
