Name,Number,Rarity
Jirachi,1/95,Rare Holo
Magmortar,2/95,Rare Holo
Manaphy,3/95,Rare Holo
Metagross,4/95,Rare Holo
Mismagius,5/95,Rare Holo
Octillery,6/95,Rare Holo
Politoed,7/95,Rare Holo
Shaymin,8/95,Rare Holo
Sudowoodo,9/95,Rare Holo
Torterra,10/95,Rare Holo
Xatu,11/95,Rare Holo
Beedrill,12/95,Rare
Blastoise,13/95,Rare
Crobat,14/95,Rare
Fearow,15/95,Rare
Floatzel,16/95,Rare
Kingdra,17/95,Rare
Lanturn,18/95,Rare
Lucario,19/95,Rare
Ninetales,20/95,Rare
Poliwrath,21/95,Rare
Primeape,22/95,Rare
Roserade,23/95,Rare
Steelix,24/95,Rare
Torkoal,25/95,Rare
Tyranitar,26/95,Rare
Ursaring,27/95,Rare
Cherrim,28/95,Uncommon
Dunsparce,29/95,Uncommon
Golbat,30/95,Uncommon
Grotle,31/95,Uncommon
Kakuna,32/95,Uncommon
Metang,33/95,Uncommon
Minun,34/95,Uncommon
Numel,35/95,Uncommon
Plusle,36/95,Uncommon
Poliwhirl,37/95,Uncommon
Pupitar,38/95,Uncommon
Pupitar,39/95,Uncommon
Seadra,40/95,Uncommon
Tauros,41/95,Uncommon
Wartortle,42/95,Uncommon
Aipom,43/95,Common
Beldum,44/95,Common
Buizel,45/95,Common
Carnivine,46/95,Common
Cherubi,47/95,Common
Chinchou,48/95,Common
Horsea,49/95,Common
Larvitar,50/95,Common
Larvitar,51/95,Common
Magmar,52/95,Common
Mankey,53/95,Common
Misdreavus,54/95,Common
Natu,55/95,Common
Onix,56/95,Common
Onix,57/95,Common
Poliwag,58/95,Common
Remoraid,59/95,Common
Riolu,60/95,Common
Roselia,61/95,Common
Spearow,62/95,Common
Squirtle,63/95,Common
Stantler,64/95,Common
Teddiursa,65/95,Common
Tropius,66/95,Common
Turtwig,67/95,Common
Vulpix,68/95,Common
Weedle,69/95,Common
Zubat,70/95,Common
Cheerleader's Cheer,71/95,Uncommon
Dual Ball,72/95,Uncommon
Emcee's Chatter,73/95,Uncommon
Energy Returner,74/95,Uncommon
Engineer's Adjustments,75/95,Uncommon
Good Rod,76/95,Uncommon
Interviewer's Questions,77/95,Uncommon
Judge,78/95,Uncommon
Life Herb,79/95,Uncommon
PlusPower,80/95,Uncommon
Pokémon Circulator,81/95,Uncommon
Rare Candy,82/95,Uncommon
Super Scoop Up,83/95,Uncommon
Crobat,84/95,Rare Prime
Kingdra,85/95,Rare Prime
Lanturn,86/95,Rare Prime
Steelix,87/95,Rare Prime
Tyranitar,88/95,Rare Prime
Ursaring,89/95,Rare Prime
Entei & Raikou LEGEND,90/95,LEGEND
Entei & Raikou LEGEND,91/95,LEGEND
Raikou & Suicune LEGEND,92/95,LEGEND
Raikou & Suicune LEGEND,93/95,LEGEND
Suicune & Entei LEGEND,94/95,LEGEND
Suicune & Entei LEGEND,95/95,LEGEND
Alph Lithograph,TWO/95,Rare Secret
