Name,Number,Rarity
Arcanine,1/123,Rare Holo
Azumarill,2/123,Rare Holo
Clefable,3/123,Rare Holo
Gyarados,4/123,Rare Holo
Hitmontop,5/123,Rare Holo
Jumpluff,6/123,Rare Holo
Ninetales,7/123,Rare Holo
Noctowl,8/123,Rare Holo
Quagsire,9/123,Rare Holo
Raichu,10/123,Rare Holo
Shuckle,11/123,Rare Holo
Slowking,12/123,Rare Holo
Wobbuffet,13/123,Rare Holo
Ampharos,14/123,Rare
Ariados,15/123,Rare
Butterfree,16/123,Rare
Cleffa,17/123,Rare
Exeggutor,18/123,Rare
Farfetch'd,19/123,Rare
Feraligatr,20/123,Rare
Furret,21/123,Rare
Granbull,22/123,Rare
Hypno,23/123,Rare
Lapras,24/123,Rare
Ledian,25/123,Rare
Meganium,26/123,Rare
Persian,27/123,Rare
Pichu,28/123,Rare
Sandslash,29/123,Rare
Smoochum,30/123,Rare
Sunflora,31/123,Rare
Typhlosion,32/123,Rare
Tyrogue,33/123,Rare
Weezing,34/123,Rare
Bayleef,35/123,Uncommon
Blissey,36/123,Uncommon
Corsola,37/123,Uncommon
Croconaw,38/123,Uncommon
Delibird,39/123,Uncommon
Donphan,40/123,Uncommon
Dunsparce,41/123,Uncommon
Flaaffy,42/123,Uncommon
Heracross,43/123,Uncommon
Igglybuff,44/123,Uncommon
Mantine,45/123,Uncommon
Metapod,46/123,Uncommon
Miltank,47/123,Uncommon
Parasect,48/123,Uncommon
Quilava,49/123,Uncommon
Qwilfish,50/123,Uncommon
Skiploom,51/123,Uncommon
Slowbro,52/123,Uncommon
Starmie,53/123,Uncommon
Unown,54/123,Uncommon
Unown,55/123,Uncommon
Wigglytuff,56/123,Uncommon
Caterpie,57/123,Common
Chansey,58/123,Common
Chikorita,59/123,Common
Clefairy,60/123,Common
Cyndaquil,61/123,Common
Drowzee,62/123,Common
Exeggcute,63/123,Common
Girafarig,64/123,Common
Growlithe,65/123,Common
Hoothoot,66/123,Common
Hoppip,67/123,Common
Jigglypuff,68/123,Common
Jynx,69/123,Common
Koffing,70/123,Common
Ledyba,71/123,Common
Magikarp,72/123,Common
Mareep,73/123,Common
Marill,74/123,Common
Meowth,75/123,Common
Paras,76/123,Common
Phanpy,77/123,Common
Pikachu,78/123,Common
Sandshrew,79/123,Common
Sentret,80/123,Common
Slowpoke,81/123,Common
Snubbull,82/123,Common
Spinarak,83/123,Common
Staryu,84/123,Common
Sunkern,85/123,Common
Totodile,86/123,Common
Vulpix,87/123,Common
Wooper,88/123,Common
Bill,89/123,Uncommon
Copycat,90/123,Uncommon
Energy Switch,91/123,Uncommon
Fisherman,92/123,Uncommon
Full Heal,93/123,Uncommon
Moomoo Milk,94/123,Uncommon
Poké Ball,95/123,Uncommon
Pokégear 3.0,96/123,Uncommon
Pokémon Collector,97/123,Uncommon
Pokémon Communication,98/123,Uncommon
Pokémon Reversal,99/123,Uncommon
Professor Elm's Training Method,100/123,Uncommon
Professor Oak's New Theory,101/123,Uncommon
Switch,102/123,Uncommon
Double Colorless Energy,103/123,Uncommon
Rainbow Energy,104/123,Uncommon
Ampharos,105/123,Rare Prime
Blissey,106/123,Rare Prime
Donphan,107/123,Rare Prime
Feraligatr,108/123,Rare Prime
Meganium,109/123,Rare Prime
Typhlosion,110/123,Rare Prime
Ho-Oh LEGEND,111/123,LEGEND
Ho-Oh LEGEND,112/123,LEGEND
Lugia LEGEND,113/123,LEGEND
Lugia LEGEND,114/123,LEGEND
Grass Energy,115/123,Common
Fire Energy,116/123,Common
Water Energy,117/123,Common
Lightning Energy,118/123,Common
Psychic Energy,119/123,Common
Fighting Energy,120/123,Common
Darkness Energy,121/123,Common
Metal Energy,122/123,Common
Gyarados,123/123,Rare Holo
Alph Lithograph,ONE/123,Rare Secret
