Name,Number,Rarity
Kyogre ex,1/40,Promo
Groudon ex,2/40,Promo
Treecko,3/40,Promo
Grovyle,4/40,Promo
Mudkip,5/40,Promo
Torchic,6/40,Promo
Treecko,7/40,Promo
Torchic,8/40,Promo
Combusken,9/40,Promo
Mudkip,10/40,Promo
Marshtomp,11/40,Promo
Pikachu,12/40,Promo
Meowth,13/40,Promo
Latias,14/40,Promo
Latios,15/40,Promo
Treecko,16/40,Promo
Torchic,17/40,Promo
Mudkip,18/40,Promo
Whismur,19/40,Promo
Ludicolo,20/40,Promo
Jirachi,21/40,Promo
Beldum,22/40,Promo
Metang,23/40,Promo
Chimecho,24/40,Promo
Flygon,25/40,Promo
Tropical Wind,26/40,Promo
Tropical Tidal Wave,27/40,Promo
Championship Arena,28/40,Promo
Celebi,29/40,Promo
Suicune,30/40,Promo
Moltres ex,31/40,Promo
Articuno ex,32/40,Promo
Zapdos ex,33/40,Promo
Typhlosion,34/40,Promo
Pikachu δ,35/40,Promo
Tropical Tidal Wave,36/40,Promo
Kyogre ex,37/40,Promo
Groudon ex,38/40,Promo
Rayquaza ex,39/40,Promo
Mew,40/40,Promo
