Name,Number,Rarity
Dark Ampharos,1/105,Rare Holo
Dark Crobat,2/105,Rare Holo
Dark Donphan,3/105,Rare Holo
Dark Espeon,4/105,Rare Holo
Dark Feraligatr,5/105,Rare Holo
Dark Gengar,6/105,Rare Holo
Dark Houndoom,7/105,Rare Holo
Dark Porygon2,8/105,Rare Holo
Dark Scizor,9/105,Rare Holo
Dark Typhlosion,10/105,Rare Holo
Dark Tyranitar,11/105,Rare Holo
Light Arcanine,12/105,Rare Holo
Light Azumarill,13/105,Rare Holo
Light Dragonite,14/105,Rare Holo
Light Togetic,15/105,Rare Holo
Miracle Energy,16/105,Rare Holo
Dark Ariados,17/105,Rare
Dark Magcargo,18/105,Rare
Dark Omastar,19/105,Rare
Dark Slowking,20/105,Rare
Dark Ursaring,21/105,Rare
Light Dragonair,22/105,Rare
Light Lanturn,23/105,Rare
Light Ledian,24/105,Rare
Light Machamp,25/105,Rare
Light Piloswine,26/105,Rare
Unown [G],27/105,Rare
Unown [H],28/105,Rare
Unown [W],29/105,Rare
Unown [X],30/105,Rare
Chansey,31/105,Uncommon
Dark Croconaw,32/105,Uncommon
Dark Exeggutor,33/105,Uncommon
Dark Flaaffy,34/105,Uncommon
Dark Forretress,35/105,Uncommon
Dark Haunter,36/105,Uncommon
Dark Omanyte,37/105,Uncommon
Dark Pupitar,38/105,Uncommon
Dark Quilava,39/105,Uncommon
Dark Wigglytuff,40/105,Uncommon
Heracross,41/105,Uncommon
Hitmonlee,42/105,Uncommon
Houndour,43/105,Uncommon
Jigglypuff,44/105,Uncommon
Light Dewgong,45/105,Uncommon
Light Flareon,46/105,Uncommon
Light Golduck,47/105,Uncommon
Light Jolteon,48/105,Uncommon
Light Machoke,49/105,Uncommon
Light Ninetales,50/105,Uncommon
Light Slowbro,51/105,Uncommon
Light Vaporeon,52/105,Uncommon
Light Venomoth,53/105,Uncommon
Light Wigglytuff,54/105,Uncommon
Scyther,55/105,Uncommon
Togepi,56/105,Uncommon
Unown [C],57/105,Uncommon
Unown [P],58/105,Uncommon
Unown [Q],59/105,Uncommon
Unown [Z],60/105,Uncommon
Cyndaquil,61/105,Common
Dark Octillery,62/105,Common
Dratini,63/105,Common
Exeggcute,64/105,Common
Gastly,65/105,Common
Girafarig,66/105,Common
Gligar,67/105,Common
Growlithe,68/105,Common
Hitmonchan,69/105,Common
Larvitar,70/105,Common
Ledyba,71/105,Common
Light Sunflora,72/105,Common
Machop,73/105,Common
Mantine,74/105,Common
Mareep,75/105,Common
Phanpy,76/105,Common
Pineco,77/105,Common
Porygon,78/105,Common
Psyduck,79/105,Common
Remoraid,80/105,Common
Seel,81/105,Common
Slugma,82/105,Common
Sunkern,83/105,Common
Swinub,84/105,Common
Totodile,85/105,Common
Unown [L],86/105,Common
Unown [S],87/105,Common
Unown [T],88/105,Common
Unown [V],89/105,Common
Venonat,90/105,Common
Vulpix,91/105,Common
Broken Ground Gym,92/105,Rare
EXP.ALL,93/105,Rare
Impostor Professor Oak's Invention,94/105,Rare
Radio Tower,95/105,Rare
Thought Wave Machine,96/105,Rare
Counterattack Claws,97/105,Uncommon
Energy Amplifier,98/105,Uncommon
Energy Stadium,99/105,Uncommon
Lucky Stadium,100/105,Uncommon
Magnifier,101/105,Uncommon
Pokémon Personality Test,102/105,Uncommon
Team Rocket's Evil Deeds,103/105,Uncommon
Heal Powder,104/105,Common
Mail from Bill,105/105,Common
Shining Celebi,106/105,Rare Shining
Shining Charizard,107/105,Rare Shining
Shining Kabutops,108/105,Rare Shining
Shining Mewtwo,109/105,Rare Shining
Shining Noctowl,110/105,Rare Shining
Shining Raichu,111/105,Rare Shining
Shining Steelix,112/105,Rare Shining
Shining Tyranitar,113/105,Rare Shining
