Name,Number,Rarity
Espeon,1/75,Rare Holo
Forretress,2/75,Rare Holo
Hitmontop,3/75,Rare Holo
Houndoom,4/75,Rare Holo
Houndour,5/75,Rare Holo
Kabutops,6/75,Rare Holo
Magnemite,7/75,Rare Holo
Politoed,8/75,Rare Holo
Poliwrath,9/75,Rare Holo
Scizor,10/75,Rare Holo
Smeargle,11/75,Rare Holo
Tyranitar,12/75,Rare Holo
Umbreon,13/75,Rare Holo
Unown [A],14/75,Rare Holo
Ursaring,15/75,Rare Holo
Wobbuffet,16/75,Rare Holo
Yanma,17/75,Rare Holo
Beedrill,18/75,Rare
Butterfree,19/75,Rare
Espeon,20/75,Rare
Forretress,21/75,Rare
Hitmontop,22/75,Rare
Houndoom,23/75,Rare
Houndour,24/75,Rare
Kabutops,25/75,Rare
Magnemite,26/75,Rare
Politoed,27/75,Rare
Poliwrath,28/75,Rare
Scizor,29/75,Rare
Smeargle,30/75,Rare
Tyranitar,31/75,Rare
Umbreon,32/75,Rare
Unown [A],33/75,Rare
Ursaring,34/75,Rare
Wobbuffet,35/75,Rare
Yanma,36/75,Rare
Corsola,37/75,Uncommon
Eevee,38/75,Uncommon
Houndour,39/75,Uncommon
Igglybuff,40/75,Uncommon
Kakuna,41/75,Uncommon
Metapod,42/75,Uncommon
Omastar,43/75,Uncommon
Poliwhirl,44/75,Uncommon
Pupitar,45/75,Uncommon
Scyther,46/75,Uncommon
Unown [D],47/75,Uncommon
Unown [F],48/75,Uncommon
Unown [M],49/75,Uncommon
Unown [N],50/75,Uncommon
Unown [U],51/75,Uncommon
Xatu,52/75,Uncommon
Caterpie,53/75,Common
Dunsparce,54/75,Common
Hoppip,55/75,Common
Kabuto,56/75,Common
Larvitar,57/75,Common
Mareep,58/75,Common
Natu,59/75,Common
Omanyte,60/75,Common
Pineco,61/75,Common
Poliwag,62/75,Common
Sentret,63/75,Common
Spinarak,64/75,Common
Teddiursa,65/75,Common
Tyrogue,66/75,Common
Unown [E],67/75,Common
Unown [I],68/75,Common
Unown [O],69/75,Common
Weedle,70/75,Common
Wooper,71/75,Common
Fossil Egg,72/75,Uncommon
Hyper Devolution Spray,73/75,Uncommon
Ruin Wall,74/75,Uncommon
Energy Ark,75/75,Common
