Name,Number,Rarity
Ampharos,1/111,Rare Holo
Azumarill,2/111,Rare Holo
Bellossom,3/111,Rare Holo
Feraligatr,4/111,Rare Holo
Feraligatr,5/111,Rare Holo
Heracross,6/111,Rare Holo
Jumpluff,7/111,Rare Holo
Kingdra,8/111,Rare Holo
Lugia,9/111,Rare Holo
Meganium,10/111,Rare Holo
Meganium,11/111,Rare Holo
Pichu,12/111,Rare Holo
Skarmory,13/111,Rare Holo
Slowking,14/111,Rare Holo
Steelix,15/111,Rare Holo
Togetic,16/111,Rare Holo
Typhlosion,17/111,Rare Holo
Typhlosion,18/111,Rare Holo
Metal Energy,19/111,Rare Holo
Cleffa,20/111,Rare
Donphan,21/111,Rare
Elekid,22/111,Rare
Magby,23/111,Rare
Murkrow,24/111,Rare
Sneasel,25/111,Rare
Aipom,26/111,Uncommon
Ariados,27/111,Uncommon
Bayleef,28/111,Uncommon
Bayleef,29/111,Uncommon
Clefairy,30/111,Uncommon
Croconaw,31/111,Uncommon
Croconaw,32/111,Uncommon
Electabuzz,33/111,Uncommon
Flaaffy,34/111,Uncommon
Furret,35/111,Uncommon
Gloom,36/111,Uncommon
Granbull,37/111,Uncommon
Lanturn,38/111,Uncommon
Ledian,39/111,Uncommon
Magmar,40/111,Uncommon
Miltank,41/111,Uncommon
Noctowl,42/111,Uncommon
Phanpy,43/111,Uncommon
Piloswine,44/111,Uncommon
Quagsire,45/111,Uncommon
Quilava,46/111,Uncommon
Quilava,47/111,Uncommon
Seadra,48/111,Uncommon
Skiploom,49/111,Uncommon
Sunflora,50/111,Uncommon
Togepi,51/111,Uncommon
Xatu,52/111,Uncommon
Chikorita,53/111,Common
Chikorita,54/111,Common
Chinchou,55/111,Common
Cyndaquil,56/111,Common
Cyndaquil,57/111,Common
Girafarig,58/111,Common
Gligar,59/111,Common
Hoothoot,60/111,Common
Hoppip,61/111,Common
Horsea,62/111,Common
Ledyba,63/111,Common
Mantine,64/111,Common
Mareep,65/111,Common
Marill,66/111,Common
Natu,67/111,Common
Oddish,68/111,Common
Onix,69/111,Common
Pikachu,70/111,Common
Sentret,71/111,Common
Shuckle,72/111,Common
Slowpoke,73/111,Common
Snubbull,74/111,Common
Spinarak,75/111,Common
Stantler,76/111,Common
Sudowoodo,77/111,Common
Sunkern,78/111,Common
Swinub,79/111,Common
Totodile,80/111,Common
Totodile,81/111,Common
Wooper,82/111,Common
Arcade Game,83/111,Rare
Ecogym,84/111,Rare
Energy Charge,85/111,Rare
Focus Band,86/111,Rare
Mary,87/111,Rare
PokéGear,88/111,Rare
Super Energy Retrieval,89/111,Rare
Time Capsule,90/111,Rare
Bill's Teleporter,91/111,Uncommon
Card-Flip Game,92/111,Uncommon
Gold Berry,93/111,Uncommon
Miracle Berry,94/111,Uncommon
New Pokédex,95/111,Uncommon
Professor Elm,96/111,Uncommon
Sprout Tower,97/111,Uncommon
Super Scoop Up,98/111,Uncommon
Berry,99/111,Common
Double Gust,100/111,Common
Moo-Moo Milk,101/111,Common
Pokémon March,102/111,Common
Super Rod,103/111,Common
Darkness Energy,104/111,Rare
Recycle Energy,105/111,Rare
Fighting Energy,106/111,
Fire Energy,107/111,
Grass Energy,108/111,
Lightning Energy,109/111,
Psychic Energy,110/111,
Water Energy,111/111,
