Name,Number,Rarity
Ampharos,1/64,Rare Holo
Blissey,2/64,Rare Holo
Celebi,3/64,Rare Holo
Crobat,4/64,Rare Holo
Delibird,5/64,Rare Holo
Entei,6/64,Rare Holo
Ho-oh,7/64,Rare Holo
Houndoom,8/64,Rare Holo
Jumpluff,9/64,Rare Holo
Magneton,10/64,Rare Holo
Misdreavus,11/64,Rare Holo
Porygon2,12/64,Rare Holo
Raikou,13/64,Rare Holo
Suicune,14/64,Rare Holo
Aerodactyl,15/64,Rare
Celebi,16/64,Rare
Entei,17/64,Rare
Ho-oh,18/64,Rare
Kingdra,19/64,Rare
Lugia,20/64,Rare
Raichu,21/64,Rare
Raikou,22/64,Rare
Skarmory,23/64,Rare
Sneasel,24/64,Rare
Starmie,25/64,Rare
Sudowoodo,26/64,Rare
Suicune,27/64,Rare
Flaaffy,28/64,Uncommon
Golbat,29/64,Uncommon
Graveler,30/64,Uncommon
Jynx,31/64,Uncommon
Lanturn,32/64,Uncommon
Magcargo,33/64,Uncommon
Octillery,34/64,Uncommon
Parasect,35/64,Uncommon
Piloswine,36/64,Uncommon
Seaking,37/64,Uncommon
Stantler,38/64,Uncommon
Unown [B],39/64,Uncommon
Unown [Y],40/64,Uncommon
Aipom,41/64,Common
Chinchou,42/64,Common
Farfetch'd,43/64,Common
Geodude,44/64,Common
Goldeen,45/64,Common
Murkrow,46/64,Common
Paras,47/64,Common
Quagsire,48/64,Common
Qwilfish,49/64,Common
Remoraid,50/64,Common
Shuckle,51/64,Common
Skiploom,52/64,Common
Slugma,53/64,Common
Smoochum,54/64,Common
Snubbull,55/64,Common
Staryu,56/64,Common
Swinub,57/64,Common
Unown [K],58/64,Common
Zubat,59/64,Common
Balloon Berry,60/64,Uncommon
Healing Field,61/64,Uncommon
Pokémon Breeder Fields,62/64,Uncommon
Rocket's Hideout,63/64,Uncommon
Old Rod,64/64,Common
Shining Gyarados,65/64,Rare Shining
Shining Magikarp,66/64,Rare Shining
