Name,Number,Rarity
Alakazam,1/110,Rare Holo
Articuno,2/110,Rare Holo
Charizard,3/110,Rare Holo
Dark Blastoise,4/110,Rare Holo
Dark Dragonite,5/110,Rare Holo
Dark Persian,6/110,Rare Holo
Dark Raichu,7/110,Rare Holo
Dark Slowbro,8/110,Rare Holo
Dark Vaporeon,9/110,Rare Holo
Flareon,10/110,Rare Holo
Gengar,11/110,Rare Holo
Gyarados,12/110,Rare Holo
Hitmonlee,13/110,Rare Holo
Jolteon,14/110,Rare Holo
Machamp,15/110,Rare Holo
Muk,16/110,Rare Holo
Ninetales,17/110,Rare Holo
Venusaur,18/110,Rare Holo
Zapdos,19/110,Rare Holo
Beedrill,20/110,Rare
Butterfree,21/110,Rare
Electrode,22/110,Rare
Exeggutor,23/110,Rare
Golem,24/110,Rare
Hypno,25/110,Rare
Jynx,26/110,Rare
Kabutops,27/110,Rare
Magneton,28/110,Rare
Mewtwo,29/110,Rare
Moltres,30/110,Rare
Nidoking,31/110,Rare
Nidoqueen,32/110,Rare
Pidgeot,33/110,Rare
Pidgeotto,34/110,Rare
Rhydon,35/110,Rare
Arcanine,36/110,Uncommon
Charmeleon,37/110,Uncommon
Dark Dragonair,38/110,Uncommon
Dark Wartortle,39/110,Uncommon
Dewgong,40/110,Uncommon
Dodrio,41/110,Uncommon
Fearow,42/110,Uncommon
Golduck,43/110,Uncommon
Graveler,44/110,Uncommon
Growlithe,45/110,Uncommon
Haunter,46/110,Uncommon
Ivysaur,47/110,Uncommon
Kabuto,48/110,Uncommon
Kadabra,49/110,Uncommon
Kakuna,50/110,Uncommon
Machoke,51/110,Uncommon
Magikarp,52/110,Uncommon
Meowth,53/110,Uncommon
Metapod,54/110,Uncommon
Nidorina,55/110,Uncommon
Nidorino,56/110,Uncommon
Omanyte,57/110,Uncommon
Omastar,58/110,Uncommon
Primeape,59/110,Uncommon
Rapidash,60/110,Uncommon
Raticate,61/110,Uncommon
Sandslash,62/110,Uncommon
Seadra,63/110,Uncommon
Snorlax,64/110,Uncommon
Tauros,65/110,Uncommon
Tentacruel,66/110,Uncommon
Abra,67/110,Common
Bulbasaur,68/110,Common
Caterpie,69/110,Common
Charmander,70/110,Common
Doduo,71/110,Common
Dratini,72/110,Common
Drowzee,73/110,Common
Eevee,74/110,Common
Exeggcute,75/110,Common
Gastly,76/110,Common
Geodude,77/110,Common
Grimer,78/110,Common
Machop,79/110,Common
Magnemite,80/110,Common
Mankey,81/110,Common
Nidoran ♀,82/110,Common
Nidoran ♂,83/110,Common
Onix,84/110,Common
Pidgey,85/110,Common
Pikachu,86/110,Common
Ponyta,87/110,Common
Psyduck,88/110,Common
Rattata,89/110,Common
Rhyhorn,90/110,Common
Sandshrew,91/110,Common
Seel,92/110,Common
Slowpoke,93/110,Common
Spearow,94/110,Common
Squirtle,95/110,Common
Tentacool,96/110,Common
Voltorb,97/110,Common
Vulpix,98/110,Common
Weedle,99/110,Common
Full Heal Energy,100/110,Uncommon
Potion Energy,101/110,Uncommon
Pokémon Breeder,102/110,Rare
Pokémon Trader,103/110,Rare
Scoop Up,104/110,Rare
The Boss's Way,105/110,Uncommon
Challenge!,106/110,Uncommon
Energy Retrieval,107/110,Uncommon
Bill,108/110,Common
Mysterious Fossil,109/110,Common
Potion,110/110,Common
