Name,Number,Rarity
Charizard,1/99,Rare Holo
Froslass,2/99,Rare Holo
Heatran,3/99,Rare Holo
Kabutops,4/99,Rare Holo
Luxray,5/99,Rare Holo
Mothim,6/99,Rare Holo
Probopass,7/99,Rare Holo
Salamence,8/99,Rare Holo
Swalot,9/99,Rare Holo
Tangrowth,10/99,Rare Holo
Toxicroak,11/99,Rare Holo
Zapdos G,12/99,Rare Holo
Aerodactyl,13/99,Rare
Bronzong,14/99,Rare
Cherrim,15/99,Rare
Gengar,16/99,Rare
Gengar,17/99,Rare
Glalie,18/99,Rare
Golem,19/99,Rare
Hariyama,20/99,Rare
Lopunny,21/99,Rare
Manectric,22/99,Rare
Omastar,23/99,Rare
Pelipper,24/99,Rare
Pichu,25/99,Rare
Porygon-Z G,26/99,Rare
Raichu,27/99,Rare
Rapidash,28/99,Rare
Raticate,29/99,Rare
Sceptile,30/99,Rare
Sceptile,31/99,Rare
Spiritomb,32/99,Rare
Bronzong,33/99,Uncommon
Bronzor,34/99,Uncommon
Charmeleon,35/99,Uncommon
Gastly,36/99,Uncommon
Graveler,37/99,Uncommon
Grovyle,38/99,Uncommon
Grovyle,39/99,Uncommon
Gulpin,40/99,Uncommon
Haunter,41/99,Uncommon
Haunter,42/99,Uncommon
Luxio,43/99,Uncommon
Manectric,44/99,Uncommon
Pelipper,45/99,Uncommon
Ponyta,46/99,Uncommon
Rapidash,47/99,Uncommon
Shelgon,48/99,Uncommon
Wormadam Plant Cloak,49/99,Uncommon
Wormadam Sandy Cloak,50/99,Uncommon
Wormadam Trash Cloak,51/99,Uncommon
Bagon,52/99,Common
Beedrill G,53/99,Common
Bronzor,54/99,Common
Buneary,55/99,Common
Burmy Plant Cloak,56/99,Common
Burmy Sandy Cloak,57/99,Common
Burmy Trash Cloak,58/99,Common
Charmander,59/99,Common
Cherubi,60/99,Common
Croagunk,61/99,Common
Electrike,62/99,Common
Electrike,63/99,Common
Gastly,64/99,Common
Geodude,65/99,Common
Gulpin,66/99,Common
Kabuto,67/99,Common
Makuhita,68/99,Common
Nosepass,69/99,Common
Omanyte,70/99,Common
Pikachu,71/99,Common
Ponyta,72/99,Common
Rattata,73/99,Common
Shinx,74/99,Common
Snorunt,75/99,Common
Tangela,76/99,Common
Tangela,77/99,Common
Treecko,78/99,Common
Treecko,79/99,Common
Wingull,80/99,Common
Wingull,81/99,Common
Beginning Door,82/99,Uncommon
Bench Shield,83/99,Uncommon
Buffer Piece,84/99,Uncommon
Department Store Girl,85/99,Uncommon
Energy Restore,86/99,Uncommon
Expert Belt,87/99,Uncommon
Lucky Egg,88/99,Uncommon
Old Amber,89/99,Common
Professor Oak's Visit,90/99,Uncommon
Ultimate Zone,91/99,Uncommon
Dome Fossil,92/99,Common
Helix Fossil,93/99,Common
Arceus LV.X,94/99,Rare Holo LV.X
Arceus LV.X,95/99,Rare Holo LV.X
Arceus LV.X,96/99,Rare Holo LV.X
Gengar LV.X,97/99,Rare Holo LV.X
Salamence LV.X,98/99,Rare Holo LV.X
Tangrowth LV.X,99/99,Rare Holo LV.X
Bagon,SH10/99,Rare
Ponyta,SH11/99,Rare
Shinx,SH12/99,Rare
Arceus,AR1/99,Rare
Arceus,AR2/99,Rare
Arceus,AR3/99,Rare
Arceus,AR4/99,Rare
Arceus,AR5/99,Rare
Arceus,AR6/99,Rare
Arceus,AR7/99,Rare
Arceus,AR8/99,Rare
Arceus,AR9/99,Rare
