Name,Number,Rarity
Ampharos,1/127,Rare Holo
Blastoise,2/127,Rare Holo
Blaziken,3/127,Rare Holo
Delcatty,4/127,Rare Holo
Dialga,5/127,Rare Holo
Dialga,6/127,Rare Holo
Dialga G,7/127,Rare Holo
Gardevoir,8/127,Rare Holo
Giratina,9/127,Rare Holo
Giratina,10/127,Rare Holo
Manectric,11/127,Rare Holo
Palkia G,12/127,Rare Holo
Rampardos,13/127,Rare Holo
Shaymin,14/127,Rare Holo
Shaymin,15/127,Rare Holo
Slaking,16/127,Rare Holo
Weavile G,17/127,Rare Holo
Altaria,18/127,Rare
Banette,19/127,Rare
Bastiodon,20/127,Rare
Beautifly,21/127,Rare
Blissey,22/127,Rare
Dialga,23/127,Rare
Dugtrio,24/127,Rare
Dustox,25/127,Rare
Empoleon,26/127,Rare
Giratina,27/127,Rare
Giratina,28/127,Rare
Golduck,29/127,Rare
Gyarados G,30/127,Rare
Infernape,31/127,Rare
Kricketune,32/127,Rare
Lickilicky,33/127,Rare
Ludicolo,34/127,Rare
Luvdisc,35/127,Rare
Ninetales,36/127,Rare
Palkia,37/127,Rare
Shaymin,38/127,Rare
Torterra,39/127,Rare
Toxicroak G,40/127,Rare
Bronzong G,41/127,Uncommon
Cacturne,42/127,Uncommon
Carnivine,43/127,Uncommon
Cascoon,44/127,Uncommon
Combusken,45/127,Uncommon
Cranidos,46/127,Uncommon
Crobat G,47/127,Uncommon
Flaaffy,48/127,Uncommon
Grotle,49/127,Uncommon
Houndoom G,50/127,Uncommon
Kirlia,51/127,Uncommon
Lombre,52/127,Uncommon
Lucario,53/127,Uncommon
Mightyena,54/127,Uncommon
Mismagius,55/127,Uncommon
Monferno,56/127,Uncommon
Muk,57/127,Uncommon
Octillery,58/127,Uncommon
Prinplup,59/127,Uncommon
Probopass,60/127,Uncommon
Seviper,61/127,Uncommon
Shieldon,62/127,Uncommon
Silcoon,63/127,Uncommon
Vigoroth,64/127,Uncommon
Wartortle,65/127,Uncommon
Zangoose,66/127,Uncommon
Cacnea,67/127,Common
Carnivine,68/127,Common
Chansey,69/127,Common
Chimchar,70/127,Common
Combee,71/127,Common
Diglett,72/127,Common
Dunsparce,73/127,Common
Electrike,74/127,Common
Grimer,75/127,Common
Happiny,76/127,Common
Honchkrow G,77/127,Common
Kricketot,78/127,Common
Lapras,79/127,Common
Lickitung,80/127,Common
Lotad,81/127,Common
Mareep,82/127,Common
Misdreavus,83/127,Common
Nosepass,84/127,Common
Piplup,85/127,Common
Poochyena,86/127,Common
Psyduck,87/127,Common
Purugly G,88/127,Common
Ralts,89/127,Common
Remoraid,90/127,Common
Riolu,91/127,Common
Shuppet,92/127,Common
Skitty,93/127,Common
Skuntank G,94/127,Common
Slakoth,95/127,Common
Squirtle,96/127,Common
Swablu,97/127,Common
Tauros,98/127,Common
Torchic,99/127,Common
Torkoal,100/127,Common
Turtwig,101/127,Common
Vulpix,102/127,Common
Wurmple,103/127,Common
Broken Time-Space,104/127,Uncommon
Cyrus's Conspiracy,105/127,Uncommon
Galactic HQ,106/127,Uncommon
Level Max,107/127,Uncommon
Life Herb,108/127,Uncommon
Looker's Investigation,109/127,Uncommon
Memory Berry,110/127,Uncommon
Miasma Valley,111/127,Uncommon
PlusPower,112/127,Uncommon
Poké Ball,113/127,Uncommon
Pokédex HANDY910is,114/127,Uncommon
Pokémon Rescue,115/127,Uncommon
Team Galactic's Invention G-101 Energy Gain,116/127,Uncommon
Team Galactic's Invention G-103 Power Spray,117/127,Uncommon
Team Galactic's Invention G-105 Poké Turn,118/127,Uncommon
Armor Fossil,119/127,Common
Skull Fossil,120/127,Common
Rainbow Energy,121/127,Uncommon
Dialga G LV.X,122/127,Rare Holo LV.X
Drapion LV.X,123/127,Rare Holo LV.X
Giratina LV.X,124/127,Rare Holo LV.X
Palkia G LV.X,125/127,Rare Holo LV.X
Shaymin LV.X,126/127,Rare Holo LV.X
Shaymin LV.X,127/127,Rare Holo LV.X
Electabuzz,128/127,Rare Secret
Hitmonchan,129/127,Rare Secret
Scyther,130/127,Rare Secret
Lotad,SH4/127,Rare
Swablu,SH5/127,Rare
Vulpix,SH6/127,Rare
