Name,Number,Rarity
Arcanine,1/111,Rare Holo
Bastiodon GL,2/111,Rare Holo
Darkrai G,3/111,Rare Holo
Floatzel GL,4/111,Rare Holo
Flygon,5/111,Rare Holo
Froslass GL,6/111,Rare Holo
Jirachi,7/111,Rare Holo
Lucario GL,8/111,Rare Holo
Luxray GL,9/111,Rare Holo
Mismagius GL,10/111,Rare Holo
Rampardos GL,11/111,Rare Holo
Roserade GL,12/111,Rare Holo
Shiftry,13/111,Rare Holo
Aggron,14/111,Rare
Beedrill,15/111,Rare
Bronzong E4,16/111,Rare
Drapion E4,17/111,Rare
Espeon E4,18/111,Rare
Flareon,19/111,Rare
Gallade E4,20/111,Rare
Gastrodon East Sea,21/111,Rare
Gastrodon West Sea,22/111,Rare
Golem E4,23/111,Rare
Heracross E4,24/111,Rare
Hippowdon,25/111,Rare
Jolteon,26/111,Rare
Mamoswine GL,27/111,Rare
Mr. Mime E4,28/111,Rare
Nidoking,29/111,Rare
Nidoqueen,30/111,Rare
Raichu GL,31/111,Rare
Rhyperior E4,32/111,Rare
Snorlax,33/111,Rare
Vaporeon,34/111,Rare
Vespiquen E4,35/111,Rare
Walrein,36/111,Rare
Yanmega E4,37/111,Rare
Alakazam E4,38/111,Uncommon
Electrode G,39/111,Uncommon
Gengar GL,40/111,Uncommon
Glaceon,41/111,Uncommon
Hippowdon E4,42/111,Uncommon
Infernape E4,43/111,Uncommon
Lairon,44/111,Uncommon
Leafeon,45/111,Uncommon
Machamp GL,46/111,Uncommon
Rapidash E4,47/111,Uncommon
Scizor E4,48/111,Uncommon
Sharpedo,49/111,Uncommon
Starmie,50/111,Uncommon
Steelix GL,51/111,Uncommon
Tropius,52/111,Uncommon
Vibrava,53/111,Uncommon
Whiscash E4,54/111,Uncommon
Aerodactyl GL,55/111,Common
Ambipom G,56/111,Common
Aron,57/111,Common
Carvanha,58/111,Common
Eevee,59/111,Common
Flareon E4,60/111,Common
Forretress G,61/111,Common
Gliscor E4,62/111,Common
Growlithe,63/111,Common
Hippopotas,64/111,Common
Houndoom E4,65/111,Common
Kakuna,66/111,Common
Kecleon,67/111,Common
Koffing,68/111,Common
Munchlax,69/111,Common
Munchlax,70/111,Common
Nidoran ♀,71/111,Common
Nidoran ♂,72/111,Common
Nidorina,73/111,Common
Nidorino,74/111,Common
Nuzleaf,75/111,Common
Quagsire GL,76/111,Common
Sealeo,77/111,Common
Seedot,78/111,Common
Shellos East Sea,79/111,Common
Shellos West Sea,80/111,Common
Snorlax,81/111,Common
Spheal,82/111,Common
Staryu,83/111,Common
Trapinch,84/111,Common
Turtwig GL,85/111,Common
Weedle,86/111,Common
Weezing,87/111,Common
Aaron's Collection,88/111,Uncommon
Bebe's Search,89/111,Uncommon
Bertha's Warmth,90/111,Uncommon
Flint's Willpower,91/111,Uncommon
Lucian's Assignment,92/111,Uncommon
Pokémon Contest Hall,93/111,Uncommon
Sunyshore City Gym,94/111,Uncommon
Team Galactic's Invention G-107 Technical Machine G,95/111,Uncommon
Team Galactic's Invention G-109 SP Radar,96/111,Uncommon
Underground Expedition,97/111,Uncommon
Volkner's Philosophy,98/111,Uncommon
Darkness Energy,99/111,Uncommon
Metal Energy,100/111,Uncommon
SP Energy,101/111,Uncommon
Upper Energy,102/111,Uncommon
Alakazam E4 LV.X,103/111,Rare Holo LV.X
Floatzel GL LV.X,104/111,Rare Holo LV.X
Flygon LV.X,105/111,Rare Holo LV.X
Gallade E4 LV.X,106/111,Rare Holo LV.X
Hippowdon LV.X,107/111,Rare Holo LV.X
Infernape E4 LV.X,108/111,Rare Holo LV.X
Luxray GL LV.X,109/111,Rare Holo LV.X
Mismagius GL LV.X,110/111,Rare Holo LV.X
Snorlax LV.X,111/111,Rare Holo LV.X
Pikachu,112/111,Rare Secret
Flying Pikachu,113/111,Rare Secret
Surfing Pikachu,114/111,Rare Secret
Fan Rotom,RT1/111,Rare
Frost Rotom,RT2/111,Rare
Heat Rotom,RT3/111,Rare
Mow Rotom,RT4/111,Rare
Wash Rotom,RT5/111,Rare
Charon's Choice,RT6/111,Rare
