Name,Number,Rarity
Absol G,1/147,Rare Holo
Blaziken FB,2/147,Rare Holo
Drifblim FB,3/147,Rare Holo
Electivire FB,4/147,Rare Holo
Garchomp,5/147,Rare Holo
Magmortar,6/147,Rare Holo
Metagross,7/147,Rare Holo
Rayquaza C,8/147,Rare Holo
Regigigas FB,9/147,Rare Holo
Rhyperior,10/147,Rare Holo
Staraptor FB,11/147,Rare Holo
Swampert,12/147,Rare Holo
Venusaur,13/147,Rare Holo
Yanmega,14/147,Rare Holo
Arcanine G,15/147,Rare
Articuno,16/147,Rare
Butterfree FB,17/147,Rare
Camerupt,18/147,Rare
Camerupt G,19/147,Rare
Charizard G,20/147,Rare
Chimecho,21/147,Rare
Claydol,22/147,Rare
Crawdaunt G,23/147,Rare
Dewgong,24/147,Rare
Dodrio,25/147,Rare
Dusknoir FB,26/147,Rare
Empoleon FB,27/147,Rare
Exploud,28/147,Rare
Honchkrow,29/147,Rare
Lickilicky C,30/147,Rare
Lucario C,31/147,Rare
Lunatone,32/147,Rare
Mawile,33/147,Rare
Medicham,34/147,Rare
Milotic C,35/147,Rare
Moltres,36/147,Rare
Mr. Mime,37/147,Rare
Parasect,38/147,Rare
Primeape,39/147,Rare
Roserade C,40/147,Rare
Sableye G,41/147,Rare
Sandslash,42/147,Rare
Seaking,43/147,Rare
Shedinja,44/147,Rare
Solrock,45/147,Rare
Spinda,46/147,Rare
Wailord,47/147,Rare
Zapdos,48/147,Rare
Altaria C,49/147,Uncommon
Arcanine,50/147,Uncommon
Bibarel,51/147,Uncommon
Breloom,52/147,Uncommon
Carnivine,53/147,Uncommon
Chatot G,54/147,Uncommon
Cherrim,55/147,Uncommon
Dragonite FB,56/147,Uncommon
Drifblim,57/147,Uncommon
Floatzel,58/147,Uncommon
Gabite,59/147,Uncommon
Garchomp C,60/147,Uncommon
Hippopotas,61/147,Uncommon
Ivysaur,62/147,Uncommon
Lopunny,63/147,Uncommon
Loudred,64/147,Uncommon
Magmar,65/147,Uncommon
Manectric G,66/147,Uncommon
Marshtomp,67/147,Uncommon
Masquerain,68/147,Uncommon
Metang,69/147,Uncommon
Milotic,70/147,Uncommon
Minun,71/147,Uncommon
Murkrow,72/147,Uncommon
Ninjask,73/147,Uncommon
Numel,74/147,Uncommon
Pinsir,75/147,Uncommon
Plusle,76/147,Uncommon
Raichu,77/147,Uncommon
Raticate G,78/147,Uncommon
Relicanth,79/147,Uncommon
Rhydon,80/147,Uncommon
Roserade,81/147,Uncommon
Rotom,82/147,Uncommon
Skarmory FB,83/147,Uncommon
Spiritomb C,84/147,Uncommon
Staravia,85/147,Uncommon
Togekiss C,86/147,Uncommon
Wailmer,87/147,Uncommon
Yanma,88/147,Uncommon
Baltoy,89/147,Common
Beldum,90/147,Common
Bidoof,91/147,Common
Buizel,92/147,Common
Bulbasaur,93/147,Common
Buneary,94/147,Common
Chatot,95/147,Common
Cherubi,96/147,Common
Chimchar,97/147,Common
Chingling,98/147,Common
Combee,99/147,Common
Corphish,100/147,Common
Croagunk,101/147,Common
Doduo,102/147,Common
Drifloon,103/147,Common
Feebas,104/147,Common
Geodude,105/147,Common
Gible,106/147,Common
Goldeen,107/147,Common
Growlithe,108/147,Common
Kricketot,109/147,Common
Magikarp,110/147,Common
Magnemite,111/147,Common
Mankey,112/147,Common
Meditite,113/147,Common
Meowth,114/147,Common
Mime Jr.,115/147,Common
Mudkip,116/147,Common
Nincada,117/147,Common
Pachirisu,118/147,Common
Paras,119/147,Common
Pikachu,120/147,Common
Piplup,121/147,Common
Rhyhorn,122/147,Common
Roselia,123/147,Common
Sandshrew,124/147,Common
Seel,125/147,Common
Shinx,126/147,Common
Shroomish,127/147,Common
Skorupi,128/147,Common
Starly,129/147,Common
Surskit,130/147,Common
Turtwig,131/147,Common
Whismur,132/147,Common
Zubat,133/147,Common
Battle Tower,134/147,Uncommon
Champion's Room,135/147,Uncommon
Cynthia's Guidance,136/147,Uncommon
Cyrus's Initiative,137/147,Uncommon
Night Teleporter,138/147,Uncommon
Palmer's Contribution,139/147,Uncommon
VS Seeker,140/147,Uncommon
Absol G LV.X,141/147,Rare Holo LV.X
Blaziken FB LV.X,142/147,Rare Holo LV.X
Charizard G LV.X,143/147,Rare Holo LV.X
Electivire FB LV.X,144/147,Rare Holo LV.X
Garchomp C LV.X,145/147,Rare Holo LV.X
Rayquaza C LV.X,146/147,Rare Holo LV.X
Staraptor FB LV.X,147/147,Rare Holo LV.X
Articuno,148/147,Rare Secret
Moltres,149/147,Rare Secret
Zapdos,150/147,Rare Secret
Milotic,SH7/147,Rare
Relicanth,SH8/147,Rare
Yanma,SH9/147,Rare
