Name,Number,Rarity
Sprigatito,1/102,Promo
Fuecoco,2/102,Promo
Quaxly,3/102,Promo
Mimikyu ex,4/102,Promo
Quaquaval,5/102,Promo
Pawmot,6/102,Promo
Hawlucha,7/102,Promo
Revavroom,8/102,Promo
Spidops,9/102,Promo
Espathra,10/102,Promo
Arcanine,11/102,Promo
Dondozo,12/102,Promo
Miraidon,13/102,Promo
Koraidon,14/102,Promo
Flaaffy,15/102,Promo
Ampharos ex,16/102,Promo
Lucario ex,17/102,Promo
Cyclizar ex,18/102,Promo
Baxcalibur,19/102,Promo
Tinkaton,20/102,Promo
Murkrow,21/102,Promo
Pelipper,22/102,Promo
Smoliv,23/102,Promo
Growlithe,24/102,Promo
Tinkatink,25/102,Promo
Varoom,26/102,Promo
Pikachu,27/102,Promo
Miraidon ex,28/102,Promo
Koraidon ex,29/102,Promo
Chien-Pao ex,30/102,Promo
Tinkaton ex,31/102,Promo
Annihilape ex,32/102,Promo
Meowscarada ex,33/102,Promo
Skeledirge ex,34/102,Promo
Quaquaval ex,35/102,Promo
Palafin,36/102,Promo
Cleffa,37/102,Promo
Togekiss,38/102,Promo
Mawile,39/102,Promo
Pawmi,40/102,Promo
Paldean Wooper,41/102,Promo
Houndstone,42/102,Promo
Eevee,43/102,Promo
Charmander,44/102,Promo
Paradise Resort,45/102,Promo
Bulbasaur,46/102,Promo
Charmander,47/102,Promo
Squirtle,48/102,Promo
Zapdos ex,49/102,Promo
Alakazam ex,50/102,Promo
Snorlax,51/102,Promo
Mewtwo,52/102,Promo
Mew ex,53/102,Promo
Greninja ex,54/102,Promo
Kangaskhan ex,55/102,Promo
Charizard ex,56/102,Promo
Chi-Yu,57/102,Promo
Iron Bundle,58/102,Promo
Xatu,59/102,Promo
Aegislash,60/102,Promo
Pineco,61/102,Promo
Sinistea,62/102,Promo
Cetitan,63/102,Promo
Arctibax,64/102,Promo
Scream Tail,65/102,Promo
Iron Bundle,66/102,Promo
Roaring Moon ex,67/102,Promo
Iron Valiant ex,68/102,Promo
Fidough,69/102,Promo
Greavard,70/102,Promo
Maschiff,71/102,Promo
Great Tusk ex,72/102,Promo
Iron Treads ex,73/102,Promo
Charizard ex,74/102,Promo
Mimikyu,75/102,Promo
Sprigatito,76/102,Promo
Floragato,77/102,Promo
Meowscarada ex,78/102,Promo
Fuecoco,79/102,Promo
Crocalor,80/102,Promo
Skeledirge ex,81/102,Promo
Quaxly,82/102,Promo
Quaxwell,83/102,Promo
Quaquaval ex,84/102,Promo
Pikachu with Grey Felt Hat,85/102,Promo
Mabosstiff ex,86/102,Promo
Sprigatito ex,87/102,Promo
Pikachu,88/102,Promo
Feraligatr,89/102,Promo
Metang,90/102,Promo
Koraidon,91/102,Promo
Miraidon,92/102,Promo
Carvanha,93/102,Promo
Bellibolt,94/102,Promo
Cleffa,95/102,Promo
Cyclizar,96/102,Promo
Flutter Mane,97/102,Promo
Iron Thorns,98/102,Promo
Shroodle,99/102,Promo
Grafaiai ex,100/102,Promo
Pikachu,101/102,Promo
Oddish,102/102,Promo
Houndoom ex,103/102,Promo
Melmetal ex,104/102,Promo
Armarouge ex,105/102,Promo
Pikachu ex,106/102,Promo
Mareep,107/102,Promo
Flaaffy,108/102,Promo
Ampharos,109/102,Promo
Darkrai ex,110/102,Promo
Pawniard,111/102,Promo
Bisharp,112/102,Promo
Kingambit,113/102,Promo
Picnicker,114/102,Promo
Thwackey,115/102,Promo
Infernape,116/102,Promo
Froslass,117/102,Promo
Tatsugiri,118/102,Promo
Toxel,119/102,Promo
Pupitar,120/102,Promo
Revavroom,121/102,Promo
Snorlax,122/102,Promo
Teal Mask Ogerpon,123/102,Promo
Iono,124/102,Promo
Armarouge ex,125/102,Promo
Palafin ex,126/102,Promo
Walking Wake ex,127/102,Promo
Iron Leaves ex,128/102,Promo
Pecharunt,129/102,Promo
Kingambit,130/102,Promo
Kingdra ex,131/102,Promo
Greninja ex,132/102,Promo
Ledian,133/102,Promo
Crabominable,134/102,Promo
Drifblim,135/102,Promo
Bouffalant,136/102,Promo
Horsea,137/102,Promo
Porygon2,138/102,Promo
Latias,139/102,Promo
Tinkaton,140/102,Promo
Noctowl,141/102,Promo
Victini ex,142/102,Promo
Miraidon ex,143/102,Promo
Gouging Fire ex,144/102,Promo
Raging Bolt ex,145/102,Promo
Iron Crown ex,146/102,Promo
Iron Boulder ex,147/102,Promo
Miraidon,148/102,Promo
Pecharunt,149/102,Promo
Paradise Resort,150/102,Promo
Gouging Fire,151/102,Promo
Chien-Pao,152/102,Promo
Magneton,153/102,Promo
Indeedee,154/102,Promo
Wooper,155/102,Promo
Quagsire,156/102,Promo
Zapdos,157/102,Promo
Pachirisu,158/102,Promo
Magneton,159/102,Promo
Squawkabilly ex,160/102,Promo
Charizard ex,161/102,Promo
Houndstone ex,162/102,Promo
Cinderace ex,163/102,Promo
Lapras ex,164/102,Promo
Terapagos ex,165/102,Promo
