Name,Number,Rarity
Basic Grass Energy,1/8,Common
Basic Fire Energy,2/8,Common
Basic Water Energy,3/8,Common
Basic Lightning Energy,4/8,Common
Basic Psychic Energy,5/8,Common
Basic Fighting Energy,6/8,Common
Basic Darkness Energy,7/8,Common
Basic Metal Energy,8/8,Common
Basic Grass Energy,9/8,Common
Basic Fire Energy,10/8,Common
Basic Water Energy,11/8,Common
Basic Lightning Energy,12/8,Common
Basic Psychic Energy,13/8,Common
Basic Fighting Energy,14/8,Common
Basic Darkness Energy,15/8,Common
Basic Metal Energy,16/8,Common
