Name,Number,Rarity
Scyther,SV1/94,Rare Shiny
Rowlet,SV2/94,Rare Shiny
Dartrix,SV3/94,Rare Shiny
Wimpod,SV4/94,Rare Shiny
Pheromosa,SV5/94,Rare Shiny
Charmander,SV6/94,Rare Shiny
Charmeleon,SV7/94,Rare Shiny
Alolan Vulpix,SV8/94,Rare Shiny
Wooper,SV9/94,Rare Shiny
Quagsire,SV10/94,Rare Shiny
Froakie,SV11/94,Rare Shiny
Frogadier,SV12/94,Rare Shiny
Voltorb,SV13/94,Rare Shiny
Xurkitree,SV14/94,Rare Shiny
Seviper,SV15/94,Rare Shiny
Shuppet,SV16/94,Rare Shiny
Inkay,SV17/94,Rare Shiny
Malamar,SV18/94,Rare Shiny
Poipole,SV19/94,Rare Shiny
Sudowoodo,SV20/94,Rare Shiny
Riolu,SV21/94,Rare Shiny
Lucario,SV22/94,Rare Shiny
Rockruff,SV23/94,Rare Shiny
Buzzwole,SV24/94,Rare Shiny
Zorua,SV25/94,Rare Shiny
Guzzlord,SV26/94,Rare Shiny
Magnemite,SV27/94,Rare Shiny
Magneton,SV28/94,Rare Shiny
Magnezone,SV29/94,Rare Shiny
Beldum,SV30/94,Rare Shiny
Metang,SV31/94,Rare Shiny
Celesteela,SV32/94,Rare Shiny
Kartana,SV33/94,Rare Shiny
Ralts,SV34/94,Rare Shiny
Kirlia,SV35/94,Rare Shiny
Diancie,SV36/94,Rare Shiny
Altaria,SV37/94,Rare Shiny
Gible,SV38/94,Rare Shiny
Gabite,SV39/94,Rare Shiny
Garchomp,SV40/94,Rare Shiny
Eevee,SV41/94,Rare Shiny
Swablu,SV42/94,Rare Shiny
Noibat,SV43/94,Rare Shiny
Oranguru,SV44/94,Rare Shiny
Type: Null,SV45/94,Rare Shiny
Leafeon-GX,SV46/94,Rare Shiny GX
Decidueye-GX,SV47/94,Rare Shiny GX
Golisopod-GX,SV48/94,Rare Shiny GX
Charizard-GX,SV49/94,Rare Shiny GX
Ho-Oh-GX,SV50/94,Rare Shiny GX
Reshiram-GX,SV51/94,Rare Shiny GX
Turtonator-GX,SV52/94,Rare Shiny GX
Alolan Ninetales-GX,SV53/94,Rare Shiny GX
Articuno-GX,SV54/94,Rare Shiny GX
Glaceon-GX,SV55/94,Rare Shiny GX
Greninja-GX,SV56/94,Rare Shiny GX
Electrode-GX,SV57/94,Rare Shiny GX
Xurkitree-GX,SV58/94,Rare Shiny GX
Mewtwo-GX,SV59/94,Rare Shiny GX
Espeon-GX,SV60/94,Rare Shiny GX
Banette-GX,SV61/94,Rare Shiny GX
Nihilego-GX,SV62/94,Rare Shiny GX
Naganadel-GX,SV63/94,Rare Shiny GX
Lucario-GX,SV64/94,Rare Shiny GX
Zygarde-GX,SV65/94,Rare Shiny GX
Lycanroc-GX,SV66/94,Rare Shiny GX
Lycanroc-GX,SV67/94,Rare Shiny GX
Buzzwole-GX,SV68/94,Rare Shiny GX
Umbreon-GX,SV69/94,Rare Shiny GX
Darkrai-GX,SV70/94,Rare Shiny GX
Guzzlord-GX,SV71/94,Rare Shiny GX
Scizor-GX,SV72/94,Rare Shiny GX
Kartana-GX,SV73/94,Rare Shiny GX
Stakataka-GX,SV74/94,Rare Shiny GX
Gardevoir-GX,SV75/94,Rare Shiny GX
Sylveon-GX,SV76/94,Rare Shiny GX
Altaria-GX,SV77/94,Rare Shiny GX
Noivern-GX,SV78/94,Rare Shiny GX
Silvally-GX,SV79/94,Rare Shiny GX
Drampa-GX,SV80/94,Rare Shiny GX
Aether Foundation Employee,SV81/94,Rare Ultra
Cynthia,SV82/94,Rare Ultra
Fisherman,SV83/94,Rare Ultra
Guzma,SV84/94,Rare Ultra
Hiker,SV85/94,Rare Ultra
Lady,SV86/94,Rare Ultra
Aether Paradise Conservation Area,SV87/94,Rare Secret
Brooklet Hill,SV88/94,Rare Secret
Mt. Coronet,SV89/94,Rare Secret
Shrine of Punishment,SV90/94,Rare Secret
Tapu Bulu-GX,SV91/94,Rare Secret
Tapu Fini-GX,SV92/94,Rare Secret
Tapu Koko-GX,SV93/94,Rare Secret
Tapu Lele-GX,SV94/94,Rare Secret
