Name,Number,Rarity
Rowlet,SM01/248,Promo
Litten,SM02/248,Promo
Popplio,SM03/248,Promo
Pikachu,SM04/248,Promo
Snorlax-GX,SM05/248,Promo
Rockruff,SM06/248,Promo
Pikipek,SM07/248,Promo
Litten,SM08/248,Promo
Togedemaru,SM09/248,Promo
Shiinotic,SM10/248,Promo
Bruxish,SM11/248,Promo
Passimian,SM12/248,Promo
Oranguru,SM13/248,Promo
Lycanroc-GX,SM14/248,Promo
Zygarde,SM15/248,Promo
Solgaleo-GX,SM16/248,Promo
Lunala-GX,SM17/248,Promo
Alolan Sandslash,SM18/248,Promo
Oricorio,SM19/248,Promo
Mudsdale,SM20/248,Promo
Drampa,SM21/248,Promo
Rowlet,SM22/248,Promo
Litten,SM23/248,Promo
Popplio,SM24/248,Promo
Lurantis,SM25/248,Promo
Tsareena,SM26/248,Promo
Turtonator,SM27/248,Promo
Vikavolt,SM28/248,Promo
Mimikyu,SM29/248,Promo
Tapu Koko,SM30/248,Promo
Tapu Koko,SM30a/248,Promo
Tapu Koko,SM31/248,Promo
Tapu Bulu-GX,SM32/248,Promo
Tapu Koko-GX,SM33/248,Promo
Bewear-GX,SM34/248,Promo
Espeon-GX,SM35/248,Promo
Umbreon-GX,SM36/248,Promo
Decidueye-GX,SM37/248,Promo
Incineroar-GX,SM38/248,Promo
Primarina-GX,SM39/248,Promo
Jangmo-o,SM40/248,Promo
Komala,SM41/248,Promo
Cosmog,SM42/248,Promo
Alolan Meowth,SM43/248,Promo
Togedemaru,SM44/248,Promo
Tapu Lele,SM45/248,Promo
Seviper,SM46/248,Promo
Crabominable,SM47/248,Promo
Zygarde,SM48/248,Promo
Bewear,SM49/248,Promo
Tapu Koko-GX,SM50/248,Promo
Alolan Meowth,SM51/248,Promo
Golisopod,SM52/248,Promo
Dhelmise,SM53/248,Promo
Lucario,SM54/248,Promo
Decidueye,SM55/248,Promo
Tsareena-GX,SM56/248,Promo
Ho-Oh-GX,SM57/248,Promo
Necrozma-GX,SM58/248,Promo
Marshadow-GX,SM59/248,Promo
Charizard-GX,SM60/248,Promo
Tapu Bulu,SM61/248,Promo
Golisopod-GX,SM62/248,Promo
Salazzle-GX,SM63/248,Promo
Silvally,SM64/248,Promo
Alolan Raichu,SM65/248,Promo
Pheromosa-GX,SM66/248,Promo
Celesteela-GX,SM67/248,Promo
Xurkitree-GX,SM68/248,Promo
Buzzwole-GX,SM69/248,Promo
Shining Ho-Oh,SM70/248,Promo
Kommo-o-GX,SM71/248,Promo
Alolan Raichu,SM72/248,Promo
Salazzle,SM73/248,Promo
Regirock,SM74/248,Promo
Registeel,SM75/248,Promo
Pikachu,SM76/248,Promo
Mewtwo,SM77/248,Promo
Champions Festival,SM78/248,Promo
Shining Celebi,SM79/248,Promo
Ho-Oh-GX,SM80/248,Promo
