Name,Number,Rarity
Abomasnow,TG01/30,Trainer Gallery Rare Holo
Flapple,TG02/30,Trainer Gallery Rare Holo
Kingdra,TG03/30,Trainer Gallery Rare Holo
Frosmoth,TG04/30,Trainer Gallery Rare Holo
Gardevoir,TG05/30,Trainer Gallery Rare Holo
Wyrdeer,TG06/30,Trainer Gallery Rare Holo
Falinks,TG07/30,Trainer Gallery Rare Holo
Kleavor,TG08/30,Trainer Gallery Rare Holo
Mightyena,TG09/30,Trainer Gallery Rare Holo
Galarian Obstagoon,TG10/30,Trainer Gallery Rare Holo
Bronzong,TG11/30,Trainer Gallery Rare Holo
Hoothoot,TG12/30,Trainer Gallery Rare Holo
Starmie V,TG13/30,Rare Holo V
Ice Rider Calyrex V,TG14/30,Rare Holo V
Ice Rider Calyrex VMAX,TG15/30,Rare Holo VMAX
Galarian Articuno V,TG16/30,Rare Holo V
Shadow Rider Calyrex V,TG17/30,Rare Holo V
Shadow Rider Calyrex VMAX,TG18/30,Rare Holo VMAX
Galarian Zapdos V,TG19/30,Rare Holo V
Galarian Moltres V,TG20/30,Rare Holo V
Zacian V,TG21/30,Rare Holo V
Zamazenta V,TG22/30,Rare Holo V
Garchomp V,TG23/30,Rare Holo V
Allister,TG24/30,Rare Ultra
Bea,TG25/30,Rare Ultra
Melony,TG26/30,Rare Ultra
Milo,TG27/30,Rare Ultra
Piers,TG28/30,Rare Ultra
Ice Rider Calyrex VMAX,TG29/30,Rare Secret
Shadow Rider Calyrex VMAX,TG30/30,Rare Secret
