Name,Number,Rarity
Flareon,TG01/30,Trainer Gallery Rare Holo
Vaporeon,TG02/30,Trainer Gallery Rare Holo
Octillery,TG03/30,Trainer Gallery Rare Holo
Jolteon,TG04/30,Trainer Gallery Rare Holo
Zekrom,TG05/30,Trainer Gallery Rare Holo
Dusknoir,TG06/30,Trainer Gallery Rare Holo
Dedenne,TG07/30,Trainer Gallery Rare Holo
Alcremie,TG08/30,Trainer Gallery Rare Holo
Ariados,TG09/30,Trainer Gallery Rare Holo
Houndoom,TG10/30,Trainer Gallery Rare Holo
Eevee,TG11/30,Trainer Gallery Rare Holo
Oranguru,TG12/30,Trainer Gallery Rare Holo
Boltund V,TG13/30,Rare Holo V
Sylveon V,TG14/30,Rare Holo V
Sylveon VMAX,TG15/30,Rare Holo VMAX
Mimikyu V,TG16/30,Rare Holo V
Mimikyu VMAX,TG17/30,Rare Holo VMAX
Single Strike Urshifu V,TG18/30,Rare Holo V
Single Strike Urshifu VMAX,TG19/30,Rare Holo VMAX
Rapid Strike Urshifu V,TG20/30,Rare Holo V
Rapid Strike Urshifu VMAX,TG21/30,Rare Holo VMAX
Umbreon V,TG22/30,Rare Holo V
Umbreon VMAX,TG23/30,Rare Holo VMAX
Acerola's Premonition,TG24/30,Rare Ultra
Café Master,TG25/30,Rare Ultra
Gloria,TG26/30,Rare Ultra
Rapid Strike Style Mustard,TG27/30,Rare Ultra
Single Strike Style Mustard,TG28/30,Rare Ultra
Single Strike Urshifu VMAX,TG29/30,Rare Secret
Rapid Strike Urshifu VMAX,TG30/30,Rare Secret
