Name,Number,Rarity
Blastoise,2/25,Classic Collection
Charizard,4/25,Classic Collection
Venusaur,15/25,Classic Collection
Here Comes Team Rocket!,15/25,Classic Collection
Rocket's Zapdos,15/25,Classic Collection
Claydol,15/25,Classic Collection
Imposter Professor Oak,73/25,Classic Collection
Dark Gyarados,8/25,Classic Collection
_____'s Pikachu,24/25,Classic Collection
Cleffa,20/25,Classic Collection
Shining Magikarp,66/25,Classic Collection
Team Magma's Groudon,9/25,Classic Collection
Rocket's Admin.,86/25,Classic Collection
Mew ex,88/25,Classic Collection
Gardevoir ex δ,93/25,Classic Collection
Umbreon ★,17/25,Classic Collection
Luxray GL LV.X,109/25,Classic Collection
Garchomp C LV.X,145/25,Classic Collection
Donphan,107/25,Classic Collection
Reshiram,113/25,Classic Collection
Zekrom,114/25,Classic Collection
Mewtwo-EX,54/25,Classic Collection
Xerneas-EX,97/25,Classic Collection
M Rayquaza-EX,76/25,Classic Collection
Tapu Lele-GX,60/25,Classic Collection
