Name,Number,Rarity
Venusaur V,1/73,Rare Holo V
Weedle,2/73,Common
Kakuna,3/73,Common
Beedrill,4/73,Uncommon
Eldegoss V,5/73,Rare Holo V
Vulpix,6/73,Common
Victini,7/73,Uncommon
Incineroar V,8/73,Rare Holo V
Sizzlipede,9/73,Common
Centiskorch,10/73,Rare Holo
Carvanha,11/73,Common
Sharpedo,12/73,Uncommon
Wailord V,13/73,Rare Holo V
Drednaw V,14/73,Rare Holo V
Drednaw VMAX,15/73,Rare Holo VMAX
Gardevoir V,16/73,Rare Holo V
Gardevoir VMAX,17/73,Rare Holo VMAX
Hatenna,18/73,Common
Hattrem,19/73,Uncommon
Hatterene,20/73,Rare Holo
Galarian Cursola V,21/73,Rare Holo V
Alcremie V,22/73,Rare Holo V
Alcremie VMAX,23/73,Rare Holo VMAX
Machop,24/73,Common
Machoke,25/73,Uncommon
Machamp,26/73,Rare Holo
Lucario V,27/73,Rare Holo V
Zygarde,28/73,Rare Holo
Rockruff,29/73,Common
Lycanroc,30/73,Rare Holo
Rolycoly,31/73,Common
Grapploct V,32/73,Rare Holo V
Ekans,33/73,Common
Arbok,34/73,Uncommon
Galarian Zigzagoon,35/73,Common
Galarian Linoone,36/73,Common
Galarian Obstagoon,37/73,Rare Holo
Absol,38/73,Uncommon
Purrloin,39/73,Common
Liepard,40/73,Uncommon
Scraggy,41/73,Common
Scrafty,42/73,Rare Holo
Trubbish,43/73,Common
Inkay,44/73,Common
Malamar,45/73,Uncommon
Nickit,46/73,Common
Duraludon V,47/73,Rare Holo V
Swablu,48/73,Common
Altaria,49/73,Rare Holo
Bede,50/73,Uncommon
Full Heal,51/73,Uncommon
Great Ball,52/73,Uncommon
Hop,53/73,Uncommon
Hyper Potion,54/73,Uncommon
Kabu,55/73,Uncommon
Marnie,56/73,Rare Holo
Milo,57/73,Uncommon
Piers,58/73,Uncommon
Poké Ball,59/73,Common
Pokémon Center Lady,60/73,Uncommon
Potion,61/73,Common
Professor's Research (Professor Magnolia),62/73,Rare Holo
Rotom Bike,63/73,Uncommon
Rotom Phone,64/73,Uncommon
Sonia,65/73,Uncommon
Suspicious Food Tin,66/73,Uncommon
Team Yell Grunt,67/73,Uncommon
Turffield Stadium,68/73,Uncommon
Drednaw V,69/73,Rare Ultra
Gardevoir V,70/73,Rare Ultra
Galarian Cursola V,71/73,Rare Ultra
Grapploct V,72/73,Rare Ultra
Hop,73/73,Rare Ultra
Charizard VMAX,74/73,Rare Rainbow
Drednaw VMAX,75/73,Rare Rainbow
Gardevoir VMAX,76/73,Rare Rainbow
Kabu,77/73,Rare Rainbow
Piers,78/73,Rare Rainbow
Charizard V,79/73,Rare Secret
Suspicious Food Tin,80/73,Rare Secret
