Name,Number,Rarity
Hisuian Voltorb,GG01/70,Trainer Gallery Rare Holo
Kricketune,GG02/70,Trainer Gallery Rare Holo
Magmortar,GG03/70,Trainer Gallery Rare Holo
Oricorio,GG04/70,Trainer Gallery Rare Holo
Lapras,GG05/70,Trainer Gallery Rare Holo
Manaphy,GG06/70,Trainer Gallery Rare Holo
Keldeo,GG07/70,Trainer Gallery Rare Holo
Electivire,GG08/70,Trainer Gallery Rare Holo
Toxtricity,GG09/70,Trainer Gallery Rare Holo
Mew,GG10/70,Trainer Gallery Rare Holo
Lunatone,GG11/70,Trainer Gallery Rare Holo
Deoxys,GG12/70,Trainer Gallery Rare Holo
Diancie,GG13/70,Trainer Gallery Rare Holo
Comfey,GG14/70,Trainer Gallery Rare Holo
Solrock,GG15/70,Trainer Gallery Rare Holo
Absol,GG16/70,Trainer Gallery Rare Holo
Thievul,GG17/70,Trainer Gallery Rare Holo
Magnezone,GG18/70,Trainer Gallery Rare Holo
Altaria,GG19/70,Trainer Gallery Rare Holo
Latias,GG20/70,Trainer Gallery Rare Holo
Hisuian Goodra,GG21/70,Trainer Gallery Rare Holo
Ditto,GG22/70,Trainer Gallery Rare Holo
Dunsparce,GG23/70,Trainer Gallery Rare Holo
Miltank,GG24/70,Trainer Gallery Rare Holo
Bibarel,GG25/70,Trainer Gallery Rare Holo
Riolu,GG26/70,Trainer Gallery Rare Holo
Swablu,GG27/70,Trainer Gallery Rare Holo
Duskull,GG28/70,Trainer Gallery Rare Holo
Bidoof,GG29/70,Trainer Gallery Rare Holo
Pikachu,GG30/70,Trainer Gallery Rare Holo
Turtwig,GG31/70,Trainer Gallery Rare Holo
Paras,GG32/70,Trainer Gallery Rare Holo
Poochyena,GG33/70,Trainer Gallery Rare Holo
Mareep,GG34/70,Trainer Gallery Rare Holo
Leafeon VSTAR,GG35/70,Rare Holo VSTAR
Entei V,GG36/70,Rare Holo V
Simisear VSTAR,GG37/70,Rare Holo VSTAR
Suicune V,GG38/70,Rare Holo V
Lumineon V,GG39/70,Rare Holo V
Glaceon VSTAR,GG40/70,Rare Holo VSTAR
Raikou V,GG41/70,Rare Holo V
Zeraora VMAX,GG42/70,Rare Holo VMAX
Zeraora VSTAR,GG43/70,Rare Holo VSTAR
Mewtwo VSTAR,GG44/70,Rare Holo VSTAR
Deoxys VMAX,GG45/70,Rare Holo VMAX
Deoxys VSTAR,GG46/70,Rare Holo VSTAR
Hatterene VMAX,GG47/70,Rare Holo VMAX
Zacian V,GG48/70,Rare Holo V
Drapion V,GG49/70,Rare Holo V
Darkrai VSTAR,GG50/70,Rare Holo VSTAR
Hisuian Samurott V,GG51/70,Rare Holo V
Hisuian Samurott VSTAR,GG52/70,Rare Holo VSTAR
Hoopa V,GG53/70,Rare Holo V
Zamazenta V,GG54/70,Rare Holo V
Regigigas VSTAR,GG55/70,Rare Holo VSTAR
Hisuian Zoroark VSTAR,GG56/70,Rare Holo VSTAR
Adaman,GG57/70,Rare Ultra
Cheren's Care,GG58/70,Rare Ultra
Colress's Experiment,GG59/70,Rare Ultra
Cynthia's Ambition,GG60/70,Rare Ultra
Gardenia's Vigor,GG61/70,Rare Ultra
Grant,GG62/70,Rare Ultra
Irida,GG63/70,Rare Ultra
Melony,GG64/70,Rare Ultra
Raihan,GG65/70,Rare Ultra
Roxanne,GG66/70,Rare Ultra
Origin Forme Palkia VSTAR,GG67/70,Rare Secret
Origin Forme Dialga VSTAR,GG68/70,Rare Secret
Giratina VSTAR,GG69/70,Rare Secret
Arceus VSTAR,GG70/70,Rare Secret
