Name,Number,Rarity
Bulbasaur,1/78,Common
Ivysaur,2/78,Uncommon
Venusaur,3/78,Rare Holo
Radiant Venusaur,4/78,Radiant Rare
Alolan Exeggutor V,5/78,Rare Holo V
Spinarak,6/78,Common
Ariados,7/78,Uncommon
Charmander,8/78,Common
Charmeleon,9/78,Uncommon
Charizard,10/78,Rare Holo
Radiant Charizard,11/78,Radiant Rare
Moltres,12/78,Rare Holo
Numel,13/78,Common
Camerupt,14/78,Uncommon
Squirtle,15/78,Common
Wartortle,16/78,Uncommon
Blastoise,17/78,Rare Holo
Radiant Blastoise,18/78,Radiant Rare
Slowpoke,19/78,Common
Slowbro,20/78,Uncommon
Magikarp,21/78,Common
Gyarados,22/78,Rare Holo
Lapras,23/78,Rare Holo
Articuno,24/78,Rare Holo
Wimpod,25/78,Common
Golisopod,26/78,Rare Holo
Pikachu,27/78,Common
Pikachu,28/78,Rare Holo
Zapdos,29/78,Rare Holo
Mewtwo V,30/78,Rare Holo V
Mewtwo VSTAR,31/78,Rare Holo VSTAR
Natu,32/78,Common
Xatu,33/78,Uncommon
Lunatone,34/78,Uncommon
Sylveon,35/78,Rare Holo
Onix,36/78,Common
Larvitar,37/78,Common
Pupitar,38/78,Uncommon
Solrock,39/78,Uncommon
Conkeldurr V,40/78,Rare Holo V
Alolan Rattata,41/78,Common
Alolan Raticate,42/78,Common
Tyranitar,43/78,Rare Holo
Steelix,44/78,Uncommon
Meltan,45/78,Common
Melmetal,46/78,Rare Holo
Melmetal V,47/78,Rare Holo V
Melmetal VMAX,48/78,Rare Holo VMAX
Dragonite V,49/78,Rare Holo V
Dragonite VSTAR,50/78,Rare Holo VSTAR
Chansey,51/78,Uncommon
Blissey,52/78,Rare Holo
Ditto,53/78,Rare Holo
Eevee,54/78,Common
Snorlax,55/78,Rare Holo
Aipom,56/78,Common
Ambipom,57/78,Common
Slaking V,58/78,Rare Holo V
Bidoof,59/78,Common
Bibarel,60/78,Common
Pidove,61/78,Common
Tranquill,62/78,Common
Unfezant,63/78,Uncommon
Blanche,64/78,Uncommon
Candela,65/78,Uncommon
Egg Incubator,66/78,Uncommon
Lure Module,67/78,Uncommon
PokéStop,68/78,Uncommon
Rare Candy,69/78,Uncommon
Spark,70/78,Uncommon
Alolan Exeggutor V,71/78,Rare Ultra
Mewtwo V,72/78,Rare Ultra
Conkeldurr V,73/78,Rare Ultra
Conkeldurr V,74/78,Rare Ultra
Melmetal V,75/78,Rare Ultra
Dragonite V,76/78,Rare Ultra
Slaking V,77/78,Rare Ultra
Professor's Research,78/78,Rare Ultra
Mewtwo VSTAR,79/78,Rare Rainbow
Melmetal VMAX,80/78,Rare Rainbow
Dragonite VSTAR,81/78,Rare Rainbow
Blanche,82/78,Rare Rainbow
Candela,83/78,Rare Rainbow
Professor's Research,84/78,Rare Rainbow
Spark,85/78,Rare Rainbow
Mewtwo VSTAR,86/78,Rare Secret
Egg Incubator,87/78,Rare Secret
Lure Module,88/78,Rare Secret
