Name,Number,Rarity
Parasect,TG01/30,Trainer Gallery Rare Holo
Roserade,TG02/30,Trainer Gallery Rare Holo
Charizard,TG03/30,Trainer Gallery Rare Holo
Chandelure,TG04/30,Trainer Gallery Rare Holo
Pikachu,TG05/30,Trainer Gallery Rare Holo
Gengar,TG06/30,Trainer Gallery Rare Holo
Banette,TG07/30,Trainer Gallery Rare Holo
Hisuian Arcanine,TG08/30,Trainer Gallery Rare Holo
Spiritomb,TG09/30,Trainer Gallery Rare Holo
Snorlax,TG10/30,Trainer Gallery Rare Holo
Castform,TG11/30,Trainer Gallery Rare Holo
Orbeetle V,TG12/30,Rare Holo V
Orbeetle VMAX,TG13/30,Rare Holo VMAX
Centiskorch V,TG14/30,Rare Holo V
Centiskorch VMAX,TG15/30,Rare Holo VMAX
Pikachu V,TG16/30,Rare Holo V
Pikachu VMAX,TG17/30,Rare Holo VMAX
Enamorus V,TG18/30,Rare Holo V
Gallade V,TG19/30,Rare Holo V
Crobat V,TG20/30,Rare Holo V
Eternatus V,TG21/30,Rare Holo V
Eternatus VMAX,TG22/30,Rare Holo VMAX
Adventurer's Discovery,TG23/30,Rare Ultra
Boss's Orders,TG24/30,Rare Ultra
Cook,TG25/30,Rare Ultra
Kabu,TG26/30,Rare Ultra
Nessa,TG27/30,Rare Ultra
Opal,TG28/30,Rare Ultra
Pikachu VMAX,TG29/30,Rare Secret
Mew VMAX,TG30/30,Rare Secret
