Name,Number,Rarity
Rowlet,SV001/122,Rare Shiny
Dartrix,SV002/122,Rare Shiny
Decidueye,SV003/122,Rare Shiny
Grookey,SV004/122,Rare Shiny
Thwackey,SV005/122,Rare Shiny
Rillaboom,SV006/122,Rare Shiny
Blipbug,SV007/122,Rare Shiny
Dottler,SV008/122,Rare Shiny
Orbeetle,SV009/122,Rare Shiny
Gossifleur,SV010/122,Rare Shiny
Eldegoss,SV011/122,Rare Shiny
Applin,SV012/122,Rare Shiny
Flapple,SV013/122,Rare Shiny
Appletun,SV014/122,Rare Shiny
Scorbunny,SV015/122,Rare Shiny
Raboot,SV016/122,Rare Shiny
Cinderace,SV017/122,Rare Shiny
Sizzlipede,SV018/122,Rare Shiny
Centiskorch,SV019/122,Rare Shiny
Galarian Mr. Mime,SV020/122,Rare Shiny
Galarian Mr. Rime,SV021/122,Rare Shiny
Suicune,SV022/122,Rare Shiny
Galarian Darumaka,SV023/122,Rare Shiny
Galarian Darmanitan,SV024/122,Rare Shiny
Sobble,SV025/122,Rare Shiny
Drizzile,SV026/122,Rare Shiny
Inteleon,SV027/122,Rare Shiny
Chewtle,SV028/122,Rare Shiny
Drednaw,SV029/122,Rare Shiny
Cramorant,SV030/122,Rare Shiny
Arrokuda,SV031/122,Rare Shiny
Barraskewda,SV032/122,Rare Shiny
Snom,SV033/122,Rare Shiny
Frosmoth,SV034/122,Rare Shiny
Eiscue,SV035/122,Rare Shiny
Dracovish,SV036/122,Rare Shiny
Arctovish,SV037/122,Rare Shiny
Rotom,SV038/122,Rare Shiny
Yamper,SV039/122,Rare Shiny
Boltund,SV040/122,Rare Shiny
Toxel,SV041/122,Rare Shiny
Toxtricity,SV042/122,Rare Shiny
Pincurchin,SV043/122,Rare Shiny
Morpeko,SV044/122,Rare Shiny
Dracozolt,SV045/122,Rare Shiny
Arctozolt,SV046/122,Rare Shiny
Galarian Ponyta,SV047/122,Rare Shiny
Galarian Rapidash,SV048/122,Rare Shiny
Galarian Corsola,SV049/122,Rare Shiny
Galarian Cursola,SV050/122,Rare Shiny
Dedenne,SV051/122,Rare Shiny
Sinistea,SV052/122,Rare Shiny
Polteageist,SV053/122,Rare Shiny
Hatenna,SV054/122,Rare Shiny
Hattrem,SV055/122,Rare Shiny
Hatterene,SV056/122,Rare Shiny
Milcery,SV057/122,Rare Shiny
Alcremie,SV058/122,Rare Shiny
Indeedee,SV059/122,Rare Shiny
Dreepy,SV060/122,Rare Shiny
Drakloak,SV061/122,Rare Shiny
Dragapult,SV062/122,Rare Shiny
Galarian Farfetch'd,SV063/122,Rare Shiny
Galarian Sirfetch'd,SV064/122,Rare Shiny
Galarian Yamask,SV065/122,Rare Shiny
Galarian Runerigus,SV066/122,Rare Shiny
Rolycoly,SV067/122,Rare Shiny
Carkol,SV068/122,Rare Shiny
Coalossal,SV069/122,Rare Shiny
Silicobra,SV070/122,Rare Shiny
Sandaconda,SV071/122,Rare Shiny
Clobbopus,SV072/122,Rare Shiny
Grapploct,SV073/122,Rare Shiny
Falinks,SV074/122,Rare Shiny
Stonjourner,SV075/122,Rare Shiny
Koffing,SV076/122,Rare Shiny
Galarian Weezing,SV077/122,Rare Shiny
Galarian Zigzagoon,SV078/122,Rare Shiny
Galarian Linoone,SV079/122,Rare Shiny
Galarian Obstagoon,SV080/122,Rare Shiny
Nickit,SV081/122,Rare Shiny
Thievul,SV082/122,Rare Shiny
Impidimp,SV083/122,Rare Shiny
Morgrem,SV084/122,Rare Shiny
Grimmsnarl,SV085/122,Rare Shiny
Galarian Meowth,SV086/122,Rare Shiny
Galarian Perrserker,SV087/122,Rare Shiny
Galarian Stunfisk,SV088/122,Rare Shiny
Corviknight,SV089/122,Rare Shiny
Cufant,SV090/122,Rare Shiny
Copperajah,SV091/122,Rare Shiny
Duraludon,SV092/122,Rare Shiny
Minccino,SV093/122,Rare Shiny
Cinccino,SV094/122,Rare Shiny
Ducklett,SV095/122,Rare Shiny
Swanna,SV096/122,Rare Shiny
Bunnelby,SV097/122,Rare Shiny
Oranguru,SV098/122,Rare Shiny
Skwovet,SV099/122,Rare Shiny
Greedent,SV100/122,Rare Shiny
Rookidee,SV101/122,Rare Shiny
Corvisquire,SV102/122,Rare Shiny
Wooloo,SV103/122,Rare Shiny
Dubwool,SV104/122,Rare Shiny
Rillaboom V,SV105/122,Rare Holo V
Rillaboom VMAX,SV106/122,Rare Holo VMAX
Charizard VMAX,SV107/122,Rare Holo VMAX
Centiskorch V,SV108/122,Rare Holo V
Centiskorch VMAX,SV109/122,Rare Holo VMAX
Lapras V,SV110/122,Rare Holo V
Lapras VMAX,SV111/122,Rare Holo VMAX
Toxtricity V,SV112/122,Rare Holo V
Toxtricity VMAX,SV113/122,Rare Holo VMAX
Indeedee V,SV114/122,Rare Holo V
Falinks V,SV115/122,Rare Holo V
Grimmsnarl V,SV116/122,Rare Holo V
Grimmsnarl VMAX,SV117/122,Rare Holo VMAX
Ditto V,SV118/122,Rare Holo V
Ditto VMAX,SV119/122,Rare Holo VMAX
Dubwool V,SV120/122,Rare Holo V
Eternatus V,SV121/122,Rare Secret
Eternatus VMAX,SV122/122,Rare Secret
