Name,Number,Rarity
Braixen,TG01/30,Trainer Gallery Rare Holo
Milotic,TG02/30,Trainer Gallery Rare Holo
Flaaffy,TG03/30,Trainer Gallery Rare Holo
Jynx,TG04/30,Trainer Gallery Rare Holo
Gardevoir,TG05/30,Trainer Gallery Rare Holo
Malamar,TG06/30,Trainer Gallery Rare Holo
Rockruff,TG07/30,Trainer Gallery Rare Holo
Passimian,TG08/30,Trainer Gallery Rare Holo
Druddigon,TG09/30,Trainer Gallery Rare Holo
Smeargle,TG10/30,Trainer Gallery Rare Holo
Altaria,TG11/30,Trainer Gallery Rare Holo
Kricketune V,TG12/30,Rare Holo V
Serperior V,TG13/30,Rare Holo V
Blaziken V,TG14/30,Rare Holo V
Blaziken VMAX,TG15/30,Rare Holo VMAX
Zeraora V,TG16/30,Rare Holo V
Mawile V,TG17/30,Rare Holo V
Corviknight V,TG18/30,Rare Holo V
Corviknight VMAX,TG19/30,Rare Holo VMAX
Rayquaza VMAX,TG20/30,Rare Holo VMAX
Duraludon VMAX,TG21/30,Rare Holo VMAX
Blissey V,TG22/30,Rare Holo V
Friends in Galar,TG23/30,Rare Ultra
Gordie,TG24/30,Rare Ultra
Judge,TG25/30,Rare Ultra
Professor Burnet,TG26/30,Rare Ultra
Raihan,TG27/30,Rare Ultra
Sordward & Shielbert,TG28/30,Rare Ultra
Rayquaza VMAX,TG29/30,Rare Secret
Duraludon VMAX,TG30/30,Rare Secret
